family,best_model,parent,child,n_trees,coefficient_median,coefficient_q025,coefficient_q975,minimum_coefficient,maximum_coefficient,sign_stability_rate
integrated,te_evenness_chain,even,iod,201,-0.4312912859323812,-0.4312912875739213,-0.4312912839232616,-0.4312912878415569,-0.4312912806231757,1.0
integrated,te_evenness_chain,iod,ns,201,0.5552300340202896,0.5463208559335915,0.5655805156756221,0.5387132757861414,0.5706885931002139,1.0
integrated,te_evenness_chain,ltr,even,201,-0.6558039232797448,-0.6591903959222498,-0.6512160339731027,-0.6599766598449939,-0.6435934056126476,1.0
integrated,te_evenness_chain,ns,cs,201,0.6247094686035963,0.6247094677862035,0.624709469745711,0.624709465443994,0.6247094702732314,1.0
iod_morphology,iod_nucleus_cell_chain,iod,ns,201,0.5552300340202896,0.5463208559335915,0.5655805156756221,0.5387132757861414,0.5706885931002139,1.0
iod_morphology,iod_nucleus_cell_chain,ns,cs,201,0.6247094686035963,0.6247094677862035,0.624709469745711,0.624709465443994,0.6247094702732314,1.0
te_iod,mediated_evenness,even,iod,201,-0.4312912859323812,-0.4312912875739213,-0.4312912839232616,-0.4312912878415569,-0.4312912806231757,1.0
te_iod,mediated_evenness,ltr,even,201,-0.6558039232797448,-0.6591903959222498,-0.6512160339731027,-0.6599766598449939,-0.6435934056126476,1.0
