species,candidate_id,representation,k,cluster,cluster_size,mean_silhouette,candidate_status,rejection_reasons,PC1,PC2,reproductive_strategy,max_svl_mm,aquaticity_index
orestes,singleton_free_k2,all_23_pcs,2,C2,25,0.1789822345286468,rejected,gap_not_supported;mean_silhouette_below_0.25;feature_instability;species_subsample_instability,0.2747125189595711,-0.3364475875358406,terrestrial_eggs_aquatic_larvae,52,1
pascagoula,singleton_free_k2,all_23_pcs,2,C2,25,0.1789822345286468,rejected,gap_not_supported;mean_silhouette_below_0.25;feature_instability;species_subsample_instability,-0.0846348819408501,0.7562293531594236,terrestrial_eggs_aquatic_larvae,56,3
perlapsus,singleton_free_k2,all_23_pcs,2,C2,25,0.1789822345286468,rejected,gap_not_supported;mean_silhouette_below_0.25;feature_instability;species_subsample_instability,0.2031396686370135,0.1792152668106217,terrestrial_eggs_aquatic_larvae,56,1
santeetlah,singleton_free_k2,all_23_pcs,2,C2,25,0.1789822345286468,rejected,gap_not_supported;mean_silhouette_below_0.25;feature_instability;species_subsample_instability,0.0822570776743079,-0.3025516630043759,terrestrial_eggs_aquatic_larvae,55,1
tilleyi,singleton_free_k2,all_23_pcs,2,C2,25,0.1789822345286468,rejected,gap_not_supported;mean_silhouette_below_0.25;feature_instability;species_subsample_instability,0.0551670909153749,-0.4860921163676541,terrestrial_eggs_aquatic_larvae,52,1
valentinei,singleton_free_k2,all_23_pcs,2,C2,25,0.1789822345286468,rejected,gap_not_supported;mean_silhouette_below_0.25;feature_instability;species_subsample_instability,0.2234660058093351,0.3014591016861191,terrestrial_eggs_aquatic_larvae,61,3
valtos,singleton_free_k2,all_23_pcs,2,C2,25,0.1789822345286468,rejected,gap_not_supported;mean_silhouette_below_0.25;feature_instability;species_subsample_instability,0.0480389825584856,0.7115496208111582,terrestrial_eggs_aquatic_larvae,62,1
welteri,singleton_free_k2,all_23_pcs,2,C2,25,0.1789822345286468,rejected,gap_not_supported;mean_silhouette_below_0.25;feature_instability;species_subsample_instability,2.386165504448161,-0.24189305001574,terrestrial_eggs_aquatic_larvae,75,2
organi,unconstrained_silhouette_k7,all_23_pcs,7,C1,2,0.2280589132065902,rejected,gap_not_supported;mean_silhouette_below_0.25;minimum_cluster_size_below_3;minimum_cluster_size_below_5;feature_stability_not_evaluated_after_prior_gate_failure;species_stability_not_evaluated_after_prior_gate_failure;six_pc_sensitivity_not_evaluated_after_prior_gate_failure,-1.3391794671241628,-0.0752811753739413,direct_development,31,1
wrighti,unconstrained_silhouette_k7,all_23_pcs,7,C1,2,0.2280589132065902,rejected,gap_not_supported;mean_silhouette_below_0.25;minimum_cluster_size_below_3;minimum_cluster_size_below_5;feature_stability_not_evaluated_after_prior_gate_failure;species_stability_not_evaluated_after_prior_gate_failure;six_pc_sensitivity_not_evaluated_after_prior_gate_failure,-1.1044026803601972,0.3744656633144042,direct_development,29,1
amphileucus,unconstrained_silhouette_k7,all_23_pcs,7,C2,6,0.2280589132065902,rejected,gap_not_supported;mean_silhouette_below_0.25;minimum_cluster_size_below_3;minimum_cluster_size_below_5;feature_stability_not_evaluated_after_prior_gate_failure;species_stability_not_evaluated_after_prior_gate_failure;six_pc_sensitivity_not_evaluated_after_prior_gate_failure,-0.8811924812777582,-0.6386926015408846,aquatic_eggs,122,1
gvnigeusgwotli,unconstrained_silhouette_k7,all_23_pcs,7,C2,6,0.2280589132065902,rejected,gap_not_supported;mean_silhouette_below_0.25;minimum_cluster_size_below_3;minimum_cluster_size_below_5;feature_stability_not_evaluated_after_prior_gate_failure;species_stability_not_evaluated_after_prior_gate_failure;six_pc_sensitivity_not_evaluated_after_prior_gate_failure,-0.5918031055138089,-0.6862911288491759,aquatic_eggs,86,1
intermedius,unconstrained_silhouette_k7,all_23_pcs,7,C2,6,0.2280589132065902,rejected,gap_not_supported;mean_silhouette_below_0.25;minimum_cluster_size_below_3;minimum_cluster_size_below_5;feature_stability_not_evaluated_after_prior_gate_failure;species_stability_not_evaluated_after_prior_gate_failure;six_pc_sensitivity_not_evaluated_after_prior_gate_failure,-0.0779544867505741,-0.4503298845662378,aquatic_eggs,85,2
kanawha,unconstrained_silhouette_k7,all_23_pcs,7,C2,6,0.2280589132065902,rejected,gap_not_supported;mean_silhouette_below_0.25;minimum_cluster_size_below_3;minimum_cluster_size_below_5;feature_stability_not_evaluated_after_prior_gate_failure;species_stability_not_evaluated_after_prior_gate_failure;six_pc_sensitivity_not_evaluated_after_prior_gate_failure,-0.3428699878755374,-0.2901157810798501,aquatic_eggs,87,1
marmoratus,unconstrained_silhouette_k7,all_23_pcs,7,C2,6,0.2280589132065902,rejected,gap_not_supported;mean_silhouette_below_0.25;minimum_cluster_size_below_3;minimum_cluster_size_below_5;feature_stability_not_evaluated_after_prior_gate_failure;species_stability_not_evaluated_after_prior_gate_failure;six_pc_sensitivity_not_evaluated_after_prior_gate_failure,-0.5748050147720736,0.2080426767022374,aquatic_eggs,76,2
mavrokoilius,unconstrained_silhouette_k7,all_23_pcs,7,C2,6,0.2280589132065902,rejected,gap_not_supported;mean_silhouette_below_0.25;minimum_cluster_size_below_3;minimum_cluster_size_below_5;feature_stability_not_evaluated_after_prior_gate_failure;species_stability_not_evaluated_after_prior_gate_failure;six_pc_sensitivity_not_evaluated_after_prior_gate_failure,-0.9075150506899744,-0.0178992932705437,aquatic_eggs,80,1
aureatus,unconstrained_silhouette_k7,all_23_pcs,7,C3,1,0.2280589132065902,rejected,gap_not_supported;mean_silhouette_below_0.25;minimum_cluster_size_below_3;minimum_cluster_size_below_5;feature_stability_not_evaluated_after_prior_gate_failure;species_stability_not_evaluated_after_prior_gate_failure;six_pc_sensitivity_not_evaluated_after_prior_gate_failure,-0.1207342151098287,-1.0649004168247485,aquatic_eggs,73,2
aeneus,unconstrained_silhouette_k7,all_23_pcs,7,C4,9,0.2280589132065902,rejected,gap_not_supported;mean_silhouette_below_0.25;minimum_cluster_size_below_3;minimum_cluster_size_below_5;feature_stability_not_evaluated_after_prior_gate_failure;species_stability_not_evaluated_after_prior_gate_failure;six_pc_sensitivity_not_evaluated_after_prior_gate_failure,-0.1534603296878456,0.5716788941728838,direct_development,31,1
auriculatus,unconstrained_silhouette_k7,all_23_pcs,7,C4,9,0.2280589132065902,rejected,gap_not_supported;mean_silhouette_below_0.25;minimum_cluster_size_below_3;minimum_cluster_size_below_5;feature_stability_not_evaluated_after_prior_gate_failure;species_stability_not_evaluated_after_prior_gate_failure;six_pc_sensitivity_not_evaluated_after_prior_gate_failure,0.0917330230531138,0.3966332345203461,terrestrial_eggs_aquatic_larvae,60,3
