match_feature,global_spearman_vs_nuc_iod,median_within_species_spearman_vs_nuc_iod,max_abs_within_species_spearman_vs_nuc_iod
match_log_edge_sharpness,-0.20518084,-0.19917597,0.49483619
match_log_relative_ring_noise,0.28370859,0.20072979,0.34755110
