species,n_frozen_nuclei,n_images,n_specimens
D. amphileucus,33,2,2
D. anicetus,39,1,1
D. apalachicolae,37,2,2
D. auriculatus,36,2,2
D. bairdi,37,1,1
D. brimleyorum,35,2,2
D. campi,36,2,2
D. folkertsi,37,2,2
D. fuscus,35,4,4
D. gvnigeusgwotli,37,1,1
D. intermedius,35,2,2
D. kanawha,34,2,2
D. marmoratus,37,2,2
D. mavrokoilius,38,2,2
D. monticola,36,2,2
D. ocoee,35,3,3
D. perlapsus,33,3,3
D. tilleyi,36,2,2
D. valtos,37,2,2
D. welteri,38,2,2
