Unnamed: 0,DIRS,Helitron,LINE,LTR,Maverick,PLE,SINE,TIR,Transposon Derivatives,YR,Simpson_Diversity,Shannon_Diversity,Pielou_Evenness
D.apalachicolae,1.664503321479298,0.1645956570374226,17.788751890209607,61.3098244580161,0.3155658911692147,0.0076002392896559,1.007558555855225,17.368018692883023,0.2093377044513681,0.1642435896090858,0.5619034382691934,1.0785046288346836,0.4683886090100178
D.carolinensis,1.8338541646590936,0.2005801649558821,17.799344565981936,60.10080866809895,0.2122157666757713,0.0079192473155987,1.077876853038278,18.37112884053975,0.2100838837929657,0.1861878449417774,0.5728888784178237,1.097585648831243,0.4766753907036092
D.ocoee,1.5774488996969742,0.1683140208100278,17.784917442777896,61.70544765044748,0.3838817469974581,0.0053940176920386,0.9973035590025712,17.042714423826748,0.1814266455671245,0.1531515931816779,0.558196527252047,1.0720089776193995,0.4655675835308519
D.abditus,1.422396476409308,0.1645915878239484,16.70212657575638,63.78693198311491,0.3873265636222111,0.0083097701201179,0.8246234827669248,16.33465913540212,0.2291376808054799,0.139896744178596,0.538249271484893,1.0376923854122777,0.4506640768975747
D.orestes,1.6683664637001647,0.1875703977814199,17.09136369818259,62.08387489060465,0.2862737497845186,0.0073346054945225,1.0182566070767416,17.274715574691502,0.232072850049204,0.150171162634687,0.5551048075846458,1.0692901143290272,0.4643867962067938
D.organi,2.8133794904279643,0.1907793530531275,26.378553140237766,51.28045933579541,0.3362064876839138,0.0067505817796467,1.0260911930622751,17.681737195179284,0.1240523550370328,0.1619908677435731,0.6352683519842168,1.1982691464862385,0.5204016781538928
D.pascagoula,0.9942111200339744,0.11956296523121,15.909321927073886,64.77369167929467,0.5011672150638162,0.0043112194812135,0.7207535483428851,16.71646787407145,0.1496693018006304,0.1108431496062597,0.5270013932872447,1.0064621821753013,0.4371009719630387
D.valentinei,0.9807454334241744,0.1076124120565593,16.062068386660254,64.27106629512491,0.5407651944142184,0.0049735763513008,0.6728312583555305,17.099782719282004,0.1480048287367907,0.1121498955942499,0.5317084348684258,1.0121896297105264,0.4395883708229774
D.aeneus,1.5363837971242391,0.1218680985346038,20.363908620596124,60.05511880637007,0.8860977948720952,0.0059027965005605,0.951538625703426,15.730321197307134,0.1572576089693414,0.1916026540224026,0.5727123527434934,1.1024614208493546,0.4787929115860934
D.auriculatus,1.0942125314434767,0.1127029583672735,15.258771722063347,64.75484662517069,0.588289730326632,0.0037625207846084,0.7261387085409329,17.169374934065605,0.1881367089736073,0.1037635602638195,0.5277062746752152,1.01315063674767,0.4400057308762791
D.conanti,1.4555094090120058,0.1705169778237683,18.319438705916177,61.03958175628763,0.3023965276874047,0.0063637098740411,1.0739958844512116,17.2841306290231,0.1971970272392323,0.1508693726854243,0.5636372269685328,1.0770102314116303,0.4677396004554154
