species,ltr_history_n_pairs_attempted,ltr_history_n_pairs_estimated,ltr_history_n_pairs_high_confidence,ltr_history_median_p_distance,ltr_history_median_k2p_distance,ltr_history_median_comparable_sites,ltr_history_age_central_mya,ltr_history_age_high_mya,ltr_history_age_low_mya,ltr_history_age_central_high_conf_mya,ltr_history_age_high_high_conf_mya,ltr_history_age_low_high_conf_mya,has_ltr_history,ltr_history_source_id,ltr_history_source_path,ltr_history_source_sha256,ltr_history_calibration_source_id,ltr_history_calibration_source_path,ltr_history_calibration_source_sha256,ltr_history_rate_source_id,ltr_history_rate_source_path,ltr_history_rate_source_sha256,ltr_history_source_ids,ltr_history_rate_window_low,ltr_history_rate_window_high,ltr_history_rate_central
campi,44,44,11,0.0724745331069609,0.0767597780700685,352.5,31.279453166287084,25.08489479414003,38.37988903503425,31.313504494998167,25.112202624420096,38.42167001536275,True,repo_ltr_age_species_summary,results/data/ltr_age/ltr_age_species_summary.csv,a15c165c1f4aeacf50ed35ed964b078ccfd12a2ffe8f3088899b8590746dab0c,repo_ltr_age_species_summary_calibrated,results/data/ltr_age/ltr_age_species_summary_calibrated.csv,9d0e42dbb1f37ccb11b63051774309b9d7f3a085710f8c40a54339e41c27abc9,repo_ltr_substitution_rate_candidates,results/data/ltr_age/ltr_substitution_rate_candidates.csv,c9ab443998b828cdfc0c01c5706f161ef5fce4b77d563d2895d7c96d1d9be499,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,1e-09,1.53e-09,1.227e-09
carolinensis,43,43,4,0.0662739322533137,0.0695111163600515,297.0,28.325638288529547,22.716051098056045,34.75555818002575,17.01108002327374,13.642219077488154,20.872595188556872,True,repo_ltr_age_species_summary,results/data/ltr_age/ltr_age_species_summary.csv,a15c165c1f4aeacf50ed35ed964b078ccfd12a2ffe8f3088899b8590746dab0c,repo_ltr_age_species_summary_calibrated,results/data/ltr_age/ltr_age_species_summary_calibrated.csv,9d0e42dbb1f37ccb11b63051774309b9d7f3a085710f8c40a54339e41c27abc9,repo_ltr_substitution_rate_candidates,results/data/ltr_age/ltr_substitution_rate_candidates.csv,c9ab443998b828cdfc0c01c5706f161ef5fce4b77d563d2895d7c96d1d9be499,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,1e-09,1.53e-09,1.227e-09
cheaha,32,32,3,0.0680876112251882,0.0721310899141989,468.0,29.393272173675182,23.57225160594735,36.06554495709945,26.03562336320762,20.87954893245474,31.945709866655747,True,repo_ltr_age_species_summary,results/data/ltr_age/ltr_age_species_summary.csv,a15c165c1f4aeacf50ed35ed964b078ccfd12a2ffe8f3088899b8590746dab0c,repo_ltr_age_species_summary_calibrated,results/data/ltr_age/ltr_age_species_summary_calibrated.csv,9d0e42dbb1f37ccb11b63051774309b9d7f3a085710f8c40a54339e41c27abc9,repo_ltr_substitution_rate_candidates,results/data/ltr_age/ltr_substitution_rate_candidates.csv,c9ab443998b828cdfc0c01c5706f161ef5fce4b77d563d2895d7c96d1d9be499,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,1e-09,1.53e-09,1.227e-09
conanti,29,29,4,0.0548780487804878,0.0575002301776345,378.0,23.43122664125285,18.7909248946518,28.75011508881725,32.53908165803128,26.09506744732312,39.92545319440437,True,repo_ltr_age_species_summary,results/data/ltr_age/ltr_age_species_summary.csv,a15c165c1f4aeacf50ed35ed964b078ccfd12a2ffe8f3088899b8590746dab0c,repo_ltr_age_species_summary_calibrated,results/data/ltr_age/ltr_age_species_summary_calibrated.csv,9d0e42dbb1f37ccb11b63051774309b9d7f3a085710f8c40a54339e41c27abc9,repo_ltr_substitution_rate_candidates,results/data/ltr_age/ltr_substitution_rate_candidates.csv,c9ab443998b828cdfc0c01c5706f161ef5fce4b77d563d2895d7c96d1d9be499,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,1e-09,1.53e-09,1.227e-09
fuscus,40,40,9,0.0668457230142566,0.0705803870140831,348.5,28.761363901419337,23.065485952314724,35.29019350704153,24.59382099592689,19.7232799751649,30.176618362002294,True,repo_ltr_age_species_summary,results/data/ltr_age/ltr_age_species_summary.csv,a15c165c1f4aeacf50ed35ed964b078ccfd12a2ffe8f3088899b8590746dab0c,repo_ltr_age_species_summary_calibrated,results/data/ltr_age/ltr_age_species_summary_calibrated.csv,9d0e42dbb1f37ccb11b63051774309b9d7f3a085710f8c40a54339e41c27abc9,repo_ltr_substitution_rate_candidates,results/data/ltr_age/ltr_substitution_rate_candidates.csv,c9ab443998b828cdfc0c01c5706f161ef5fce4b77d563d2895d7c96d1d9be499,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,1e-09,1.53e-09,1.227e-09
gvnigeusgwotli,33,33,5,0.0639470782800441,0.0673890318619744,438.0,27.46089317928867,22.022559432017776,33.694515930987194,27.096382953492057,21.73023652544755,33.247261883934755,True,repo_ltr_age_species_summary,results/data/ltr_age/ltr_age_species_summary.csv,a15c165c1f4aeacf50ed35ed964b078ccfd12a2ffe8f3088899b8590746dab0c,repo_ltr_age_species_summary_calibrated,results/data/ltr_age/ltr_age_species_summary_calibrated.csv,9d0e42dbb1f37ccb11b63051774309b9d7f3a085710f8c40a54339e41c27abc9,repo_ltr_substitution_rate_candidates,results/data/ltr_age/ltr_substitution_rate_candidates.csv,c9ab443998b828cdfc0c01c5706f161ef5fce4b77d563d2895d7c96d1d9be499,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,1e-09,1.53e-09,1.227e-09
intermedius,28,28,7,0.0658820585291173,0.0692832559815024,460.0,28.232785648534005,22.641586922059624,34.64162799075122,26.031167342638465,20.87597537870418,31.9402423294174,True,repo_ltr_age_species_summary,results/data/ltr_age/ltr_age_species_summary.csv,a15c165c1f4aeacf50ed35ed964b078ccfd12a2ffe8f3088899b8590746dab0c,repo_ltr_age_species_summary_calibrated,results/data/ltr_age/ltr_age_species_summary_calibrated.csv,9d0e42dbb1f37ccb11b63051774309b9d7f3a085710f8c40a54339e41c27abc9,repo_ltr_substitution_rate_candidates,results/data/ltr_age/ltr_substitution_rate_candidates.csv,c9ab443998b828cdfc0c01c5706f161ef5fce4b77d563d2895d7c96d1d9be499,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,1e-09,1.53e-09,1.227e-09
marmoratus,15,15,3,0.0719794344473007,0.0762872046401257,310.0,31.086880456448934,24.93045903272081,38.14360232006285,31.086880456448934,24.93045903272081,38.14360232006285,True,repo_ltr_age_species_summary,results/data/ltr_age/ltr_age_species_summary.csv,a15c165c1f4aeacf50ed35ed964b078ccfd12a2ffe8f3088899b8590746dab0c,repo_ltr_age_species_summary_calibrated,results/data/ltr_age/ltr_age_species_summary_calibrated.csv,9d0e42dbb1f37ccb11b63051774309b9d7f3a085710f8c40a54339e41c27abc9,repo_ltr_substitution_rate_candidates,results/data/ltr_age/ltr_substitution_rate_candidates.csv,c9ab443998b828cdfc0c01c5706f161ef5fce4b77d563d2895d7c96d1d9be499,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,1e-09,1.53e-09,1.227e-09
mavrokoilius,34,34,5,0.0632645105293741,0.066285701020671,416.0,27.011288109482884,21.6619937976049,33.14285051033549,19.110862039181377,15.3261619098533,23.44902772207555,True,repo_ltr_age_species_summary,results/data/ltr_age/ltr_age_species_summary.csv,a15c165c1f4aeacf50ed35ed964b078ccfd12a2ffe8f3088899b8590746dab0c,repo_ltr_age_species_summary_calibrated,results/data/ltr_age/ltr_age_species_summary_calibrated.csv,9d0e42dbb1f37ccb11b63051774309b9d7f3a085710f8c40a54339e41c27abc9,repo_ltr_substitution_rate_candidates,results/data/ltr_age/ltr_substitution_rate_candidates.csv,c9ab443998b828cdfc0c01c5706f161ef5fce4b77d563d2895d7c96d1d9be499,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,1e-09,1.53e-09,1.227e-09
monticola,29,29,8,0.0748299319727891,0.0792471144506213,400.0,32.29303767343981,25.897749820464472,39.62355722531065,32.160322151340445,25.791317176271065,39.460715279694725,True,repo_ltr_age_species_summary,results/data/ltr_age/ltr_age_species_summary.csv,a15c165c1f4aeacf50ed35ed964b078ccfd12a2ffe8f3088899b8590746dab0c,repo_ltr_age_species_summary_calibrated,results/data/ltr_age/ltr_age_species_summary_calibrated.csv,9d0e42dbb1f37ccb11b63051774309b9d7f3a085710f8c40a54339e41c27abc9,repo_ltr_substitution_rate_candidates,results/data/ltr_age/ltr_substitution_rate_candidates.csv,c9ab443998b828cdfc0c01c5706f161ef5fce4b77d563d2895d7c96d1d9be499,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,1e-09,1.53e-09,1.227e-09
