Unnamed: 0,Academ,CACTA,CR1,Chapaev,Copia,Cyrypton,DIRS,Dada,EnSpm,Ginger,Gypsy,Helitron,IS3EU,Jockey,Kolobok,L1,L2,MITE,MULE,Maverick,Merlin,Mutator,P,PIF-Harbinger,Penelope,PiggyBac,Tc1-mariner,hAT,tRNA,Simpson_Diversity,Shannon_Diversity,Pielou_Evenness
D.apalachicolae,0.0406848848561924,1.0281829014860009,0.0,0.0,0.8020352471114807,0.1935023820925227,7.44333254941065,0.0,0.0370828123368207,0.0,55.52111465899545,0.1939171677544929,0.0008552070261635,0.0954949134588169,0.0272040944851385,5.655276927545502,9.9440567195449,0.2466296832012212,0.0149007519171929,0.3717816433123967,0.0,2.3380233406198374,0.0095735248167158,4.750230250904872,0.0089541662510051,0.0476288275173709,1.3370604277543536,9.830153192855189,0.0623237247457121,0.6602691570923951,1.602245281501596,0.5041592644534205
D.carolinensis,0.0487518025863866,1.0041971827577294,0.0,0.0,0.8970189484276951,0.218252675252937,7.936877395786348,0.0,0.0425849573140697,0.0,53.88745380030583,0.2351236065812255,0.0019652912942373,0.1077946584330566,0.0348882500251892,5.447149428313456,10.27405485130476,0.2462640333996027,0.0160862731861646,0.2487630641104622,0.0,2.358800217178686,0.007404511326231,5.192877741119265,0.0092830813588263,0.0421359859775209,1.3889610607563467,10.276457264634033,0.0768539185699358,0.675579234165643,1.6367138959589254,0.515005089067271
D.ocoee,0.0482154827121805,0.968614857277452,4.369506517820701e-05,0.0,0.7463535822465286,0.1836314461545986,7.598313577090042,0.0001933017510271,0.0360982541896269,0.0,55.0584256107676,0.2018114627954011,0.0014851104839375,0.0867991382957499,0.0129072613875815,6.465607445939623,9.45549393223847,0.2175337298447023,0.0160478278931364,0.4602809470605642,2.6217039106924204e-05,2.5506224742899084,0.006361349324795,4.836761588582799,0.0064675218115265,0.0473165382667828,1.2736518029159103,9.637111361970929,0.0838244826048419,0.6653379090673988,1.6154937082373293,0.4901619145354894
D.abditus,0.0357722671272177,0.9755571225325904,9.003283951521297e-05,0.0,0.7542840295193359,0.1663079211565601,7.266594260366027,0.0,0.0405124344613653,0.0,57.32762875559996,0.1956649168040199,0.001415242237585,0.0997352962985311,0.0175049739875516,5.155984496779166,9.701477645355313,0.2723966992737574,0.012574011033226,0.4604501411590357,0.0001355425899003,2.2311146493002973,0.0096479437489815,4.795643349868978,0.0098785758173287,0.0439650088577884,1.181499842964228,9.188547238710202,0.0556176016115375,0.6424343969541766,1.5618185962150108,0.4793653527416483
D.orestes,0.0401889730701968,0.9449831013078356,3.905801930784522e-05,0.0,0.8420008067145756,0.1776484856314303,7.46607792614621,9.43795417373178e-05,0.0692159966062295,0.0,55.924856712054506,0.2218907846922235,0.0012454385796014,0.0973774047930445,0.0184208504077572,5.505552195089659,9.612328188695336,0.2745360004150907,0.0144667702039266,0.338654221176708,0.0,2.313121552151345,0.0107448611115882,5.0031093224772185,0.008676642944928,0.0456521654987267,1.4142225596180569,9.568623993887432,0.0862716091653279,0.6568120933352172,1.5991355024307852,0.4908189440580172
D.organi,0.052707330323735,1.101298363643062,2.021517497469005e-05,0.0,1.170462369457323,0.2029757258172729,8.388089550101478,0.0,0.0161479094618029,0.0,48.94838209037847,0.2390479055782739,0.0022215923456774,0.0954134105188959,0.008848569774709,9.101936393334093,10.284058903408836,0.1554384957233661,0.0064302256232847,0.4212691543213608,0.0,1.7984193649457612,0.0051706540702385,5.216767099717437,0.0084585276657795,0.0526219004404515,1.5904731983665603,11.09323954260137,0.0401015072057849,0.7186150636355637,1.7297019378055625,0.5373621201670264
D.pascagoula,0.0212702687757782,0.8156404918422782,0.0,0.0,0.6245032416325133,0.1331098224568775,6.575638734899866,0.0,0.0340097012222748,0.0,57.34138635153644,0.1435813140539397,0.0024401716515701,0.072685045464973,0.0136096450444458,6.646048663231982,8.145111095331915,0.1797355475795831,0.0172548440910133,0.601843950260549,0.0,2.287313520643013,0.0063512461167351,5.089699019367576,0.0051772767352377,0.0476978148084041,0.9300303319500834,10.200490782729222,0.0653711185737321,0.642065965579569,1.5502243178166912,0.4877904530795713
D.valentinei,0.0241610118795961,0.7822560763416629,0.0,0.0,0.5923318620239024,0.1336770803093293,6.278676644460695,3.3819486639256814e-05,0.0319881382737091,0.0,56.86889334081765,0.1282686263107218,0.0012437926952704,0.0837529162806819,0.0171853952997702,7.436517346077818,7.805321975023228,0.176414371786815,0.0158735003505824,0.6445651325769568,0.0,2.456604540196357,0.0073967386805804,5.440945259654998,0.0059282548754464,0.0530994895276262,1.0674480472198142,9.893684424789956,0.0537322150601956,0.6474160463186516,1.5661606622700928,0.4865551663007132
D.aeneus,0.043006682413481,0.7731104486025513,2.0068259938535816e-05,0.0,0.7220773987324531,0.2265555366169157,8.081732173500827,0.0,0.0321777155622475,0.0,53.26221599567443,0.1440997391234576,0.0016593775201177,0.1016918935865425,0.0155202570828652,8.032028846534256,10.524334143864934,0.1859451382284954,0.0090854364277735,1.0477431141890183,2.0068259938535816e-05,2.0612260963761675,0.00684675513743,4.346270686290434,0.0069796070182231,0.0273423352242571,1.018875858786232,9.259033030508242,0.070401596478777,0.6810297452278589,1.641561554275604,0.5038406735708519
D.auriculatus,0.0265940914567049,0.9620410703143404,0.0,0.0,0.5873692273791955,0.1227595039916104,6.092308532524644,0.0,0.0380160077093031,0.0,58.36217139405835,0.1333354332906188,0.0012893715076016,0.0850111291707815,0.0143912454968763,6.053929005313761,7.926864498259933,0.2225788033630819,0.0122127987475178,0.6959876406962177,0.0,2.718203175562172,0.0086953379275708,5.289821694036465,0.0044513236063056,0.0689274242648871,1.0421748480155308,9.463748848520115,0.0671175947864113,0.6329379574554319,1.5446144775957855,0.4860252720850468
D.conanti,0.0373469360616904,1.0202316412715045,8.262479856136706e-05,0.0,0.8179483443648794,0.1815294497770742,6.876481145876865,0.0,0.0317225197500513,0.0,54.91824792093176,0.2051698937367473,0.0055021263386487,0.1026684941128519,0.0229240988161649,6.932038482119092,9.475608907109835,0.2372719340926308,0.017313387415292,0.3638503581508943,0.0,2.392823259018371,0.0073864197910075,4.846122731242126,0.007656960000651,0.0539315912025895,1.4554890649656875,9.889214153129346,0.1014375559256721,0.6667733463369374,1.6219541893293417,0.5038884000428174
D.marmoratus,0.0457313640094763,0.9913983997208592,0.0001115479873036,0.001068874207108,0.9926799281960004,0.187684964167412,7.31448752838874,0.0,0.0307487884545164,0.0,53.93073943701492,0.3245278583088737,0.0037357115337061,0.1355910353935371,0.0157888790430953,5.043216173370184,9.689307759447866,0.2611907583124114,0.0145929216267075,0.6357392299507792,0.0,2.2722908221262643,0.012558953588807,5.002405272576917,0.0076579730690101,0.0822730075306784,1.54623286771582,11.33820807036394,0.1200318738950716,0.6754899234144134,1.6517559870784306,0.5069696271435467
D.monticola,0.0409518878148059,0.9562461512780128,0.0,0.0,0.8027306298403083,0.1891957601486559,7.271737529867115,0.0,0.0423142355941798,0.0,55.57825983162302,0.2144592938846348,0.003124295409559,0.097279866401021,0.016500085231771,5.591349955503885,9.93249749610094,0.2609780871410629,0.0203109251530119,0.2862050494986956,0.0,2.2441074954850584,0.010445604036183,4.944240514539141,0.0075163133538198,0.055200020095333,1.2734740872424604,10.10566591362533,0.0552089711319912,0.6593222933992039,1.5959524572509936,0.5021791770834362
D.santeetlah,0.0384447205040822,0.9342644486737036,0.0,0.0,0.7500914568774057,0.1820879434856716,7.524825172478083,0.0,0.0340629225375323,0.0,55.0230378198724,0.2089251185062955,0.0012184678837465,0.0918678191086526,0.0163540982311254,6.061471520529106,10.0976346016793,0.2173158329271728,0.0166696862890544,0.4217139558711674,0.0,2.5821574725463177,0.0135830183696792,4.946476427909862,0.0076005252663889,0.0422858199610817,1.2019195566419587,9.51201937841787,0.0739722154323384,0.6652323875261881,1.6117329798482636,0.5071446444542461
D.welteri,0.0347158591220672,0.9120428285287718,7.081751020758015e-05,0.0001740122040203,0.7533898996118623,0.1506739539954223,6.982233016858773,0.0,0.0303651902329789,0.0,56.20283829693181,0.1790328502106197,0.0012145688052039,0.0940769393735321,0.2884434782241322,6.298442299500628,9.642489392446445,0.2454074104926938,0.0180469451312382,0.6278200254078675,0.0,2.234481253322087,0.0081242478277007,4.558367066761185,0.0082385987046284,0.0433696618591456,1.3215160994805772,9.271778037201612,0.0926472502547866,0.654434386331187,1.6018719928457692,0.4916588487026616
