dataset,rows,columns,breakdown_path,comparison_path,canonical_path,candidate_path,breakdown_sha256,comparison_sha256,canonical_sha256,row_count_match,column_names_match,species_order_match,candidate_missing_metric_rows,candidate_vs_canonical_all_numeric_max_abs_diff,candidate_vs_canonical_metrics_max_abs_diff,candidate_vs_formula_metrics_max_abs_diff,candidate_numeric_match_within_tolerance,formula_metrics_match_within_tolerance,candidate_csv_text_exact_match,promotion_ready_non_destructive
order,34,13,results/data/dnaPipeTE_order_breakdown.csv,results/data/comparison_diversity_order_stats_granular_0_5pct.csv,results/data/diversity_order_stats.csv,path_analysis/data/derived/diversity_order_stats_candidate.csv,47bc6e616a8d69e035ea05e7b07bf09759ea36ef419f0f22b6db3570f3c06a57,24390cac1fbaa914854e0e2955e69bf449b30987eafe327d608edfcd0da0c9aa,bbd53d9292263c7edd17504051d26de01b9e67f134d24648cced209dd6a711c9,True,True,True,0,3.552713678800501e-15,0.0,2.220446049250313e-16,True,True,False,True
superfamily,34,26,results/data/dnaPipeTE_superfamily_breakdown.csv,results/data/comparison_diversity_superfamily_stats_granular_0_5pct.csv,results/data/diversity_superfamily_stats.csv,path_analysis/data/derived/diversity_superfamily_stats_candidate.csv,6e31027d69e45ec9426644d3a8c245b6c490fdaee6406946a9f0485f8cdf58f4,ae4a0b2f4d69699d74602a1f6ed5f1b120c6af4f5e600eb680928af809b249fe,b1e63672e87f5041b0386a6097a8ecd0e50abee8e78578cde16ebb163513fa3d,True,True,True,0,4.440892098500626e-16,4.440892098500626e-16,2.220446049250313e-16,True,True,False,True
