"species","phylo_body_size_proxy_mm_observed","phylo_body_size_proxy_mm_observed_confidence","phylo_body_size_proxy_mm","phylo_body_size_proxy_mm_status","phylo_body_size_proxy_mm_recommendation","phylo_body_size_proxy_mm_method","phylo_body_size_proxy_mm_training_n","phylo_body_size_proxy_mm_top_donor_species","phylo_body_size_proxy_mm_top_donor_distance","phylo_body_size_proxy_mm_neighbor_species","phylo_body_size_proxy_mm_neighbor_support","phylo_body_size_proxy_mm_neighbor_support_label","phylo_body_size_proxy_mm_cv_primary_metric_type","phylo_body_size_proxy_mm_cv_primary_metric_value","phylo_development_mode_observed","phylo_development_mode_observed_confidence","phylo_development_mode","phylo_development_mode_status","phylo_development_mode_recommendation","phylo_development_mode_method","phylo_development_mode_training_n","phylo_development_mode_top_donor_species","phylo_development_mode_top_donor_distance","phylo_development_mode_neighbor_species","phylo_development_mode_neighbor_support","phylo_development_mode_neighbor_support_label","phylo_development_mode_cv_primary_metric_type","phylo_development_mode_cv_primary_metric_value","phylo_aquaticity_index_observed","phylo_aquaticity_index_observed_confidence","phylo_aquaticity_index","phylo_aquaticity_index_status","phylo_aquaticity_index_recommendation","phylo_aquaticity_index_method","phylo_aquaticity_index_training_n","phylo_aquaticity_index_top_donor_species","phylo_aquaticity_index_top_donor_distance","phylo_aquaticity_index_neighbor_species","phylo_aquaticity_index_neighbor_support","phylo_aquaticity_index_neighbor_support_label","phylo_aquaticity_index_cv_primary_metric_type","phylo_aquaticity_index_cv_primary_metric_value","phylo_microhabitat_class_observed","phylo_microhabitat_class_observed_confidence","phylo_microhabitat_class","phylo_microhabitat_class_status","phylo_microhabitat_class_recommendation","phylo_microhabitat_class_method","phylo_microhabitat_class_training_n","phylo_microhabitat_class_top_donor_species","phylo_microhabitat_class_top_donor_distance","phylo_microhabitat_class_neighbor_species","phylo_microhabitat_class_neighbor_support","phylo_microhabitat_class_neighbor_support_label","phylo_microhabitat_class_cv_primary_metric_type","phylo_microhabitat_class_cv_primary_metric_value"
"brimleyorum",128,"low",,"not_in_tree","no_phylogenetic_inference_available",,31,,,,,,"mae",12.3681631502174,"aquatic_larva","medium",,"not_in_tree","no_phylogenetic_inference_available",,31,,,,,,"accuracy",0.967741935483871,2,"low",,"not_in_tree","no_phylogenetic_inference_available",,30,,,,,,"accuracy",0.666666666666667,"stream_aquatic","low",,"not_in_tree","no_phylogenetic_inference_available",,30,,,,,,"accuracy",0.666666666666667
"campi",46.888,"medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",31,,,,,,"mae",12.3681631502174,"aquatic_larva","medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",31,,,,,,"accuracy",0.967741935483871,1,"medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",30,,,,,,"accuracy",0.666666666666667,"streamside","medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",30,,,,,,"accuracy",0.666666666666667
"carolinensis",45.421,"medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",31,,,,,,"mae",12.3681631502174,"aquatic_larva","medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",31,,,,,,"accuracy",0.967741935483871,1,"medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",30,,,,,,"accuracy",0.666666666666667,"streamside","medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",30,,,,,,"accuracy",0.666666666666667
"catahoula",58.064,"medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",31,,,,,,"mae",12.3681631502174,,,"aquatic_larva","phylo_inferred_for_missing","sensitivity_only_fill_missing_with_explicit_phylo_flag","phylogenetic_inverse_distance_knn",31,"conanti",10.57556,"conanti;anicetus;carolinensis;tilleyi;santeetlah",1,"weighted_vote_share","accuracy",0.967741935483871,,,"1","phylo_inferred_for_missing","sensitivity_only_fill_missing_with_explicit_phylo_flag","phylogenetic_inverse_distance_knn",30,"conanti",10.57556,"conanti;anicetus;carolinensis;tilleyi;santeetlah",1,"weighted_vote_share","accuracy",0.666666666666667,,,"streamside","phylo_inferred_for_missing","sensitivity_only_fill_missing_with_explicit_phylo_flag","phylogenetic_inverse_distance_knn",30,"conanti",10.57556,"conanti;anicetus;carolinensis;tilleyi;santeetlah",1,"weighted_vote_share","accuracy",0.666666666666667
"cheaha",60,"high",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",31,,,,,,"mae",12.3681631502174,"aquatic_larva","high",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",31,,,,,,"accuracy",0.967741935483871,1,"high",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",30,,,,,,"accuracy",0.666666666666667,"streamside","high",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",30,,,,,,"accuracy",0.666666666666667
"conanti",55.964,"medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",31,,,,,,"mae",12.3681631502174,"aquatic_larva","medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",31,,,,,,"accuracy",0.967741935483871,1,"medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",30,,,,,,"accuracy",0.666666666666667,"streamside","medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",30,,,,,,"accuracy",0.666666666666667
"folkertsi",70.5,"high",,"not_in_tree","no_phylogenetic_inference_available",,31,,,,,,"mae",12.3681631502174,"aquatic_larva","medium",,"not_in_tree","no_phylogenetic_inference_available",,31,,,,,,"accuracy",0.967741935483871,1,"low",,"not_in_tree","no_phylogenetic_inference_available",,30,,,,,,"accuracy",0.666666666666667,"streamside","low",,"not_in_tree","no_phylogenetic_inference_available",,30,,,,,,"accuracy",0.666666666666667
"fuscus",59.147,"medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",31,,,,,,"mae",12.3681631502174,"aquatic_larva","medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",31,,,,,,"accuracy",0.967741935483871,1,"medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",30,,,,,,"accuracy",0.666666666666667,"streamside","medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",30,,,,,,"accuracy",0.666666666666667
"gvnigeusgwotli",100,"medium",,"not_in_tree","no_phylogenetic_inference_available",,31,,,,,,"mae",12.3681631502174,"aquatic_larva","medium",,"not_in_tree","no_phylogenetic_inference_available",,31,,,,,,"accuracy",0.967741935483871,1,"medium",,"not_in_tree","no_phylogenetic_inference_available",,30,,,,,,"accuracy",0.666666666666667,"streamside","medium",,"not_in_tree","no_phylogenetic_inference_available",,30,,,,,,"accuracy",0.666666666666667
"imitator",90,"low",,"not_in_tree","no_phylogenetic_inference_available",,31,,,,,,"mae",12.3681631502174,"aquatic_larva","medium",,"not_in_tree","no_phylogenetic_inference_available",,31,,,,,,"accuracy",0.967741935483871,1,"medium",,"not_in_tree","no_phylogenetic_inference_available",,30,,,,,,"accuracy",0.666666666666667,"streamside","medium",,"not_in_tree","no_phylogenetic_inference_available",,30,,,,,,"accuracy",0.666666666666667
