analysis_type,replicate_id,tree_id,evolutionary_model,generating_class,residual_regime,n_species,rank,model,k,q,C,p,CICc,delta_CICc,l,w,globally_supported,delta_competitive,admissible_competitive,stored_warning_count,runtime_warning_count,path_trait_definition
measurement_bootstrap,measurement_0003,focal_primary,lambda,,,24,1,cell_bridge,1,5,0.021494987284732,0.9893100543174718,13.354828320618063,0.0,1.0,0.8718907837730855,True,True,True,6,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0003,focal_primary,lambda,,,24,2,cell_collider,1,5,5.2233201231245765,0.0734125731608205,18.55665345645791,5.201825135839844,0.0742058294469352,0.0646993787970202,True,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0003,focal_primary,lambda,,,24,3,iod_bridge,1,5,6.156392111403845,0.046042239413659,19.48972544473717,6.13489712411911,0.0465397467788031,0.0405775762955715,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0003,focal_primary,lambda,,,24,4,iod_cell_only,2,4,11.37971223452842,0.0226122439775229,21.48497539242316,8.130147071805094,0.0171617272240995,0.01496315180032,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0003,focal_primary,lambda,,,24,5,iod_collider,1,5,10.04416973715318,0.0065907714830173,23.37750307048651,10.022674749868449,0.0066619877704207,0.0058085257386388,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0003,focal_primary,lambda,,,24,6,nucleus_bridge,1,5,12.978984745911117,0.0015193200602996,26.31231807924445,12.957489758626384,0.0015357370054707,0.0013389949413692,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0003,focal_primary,lambda,,,24,7,nucleus_cell_only,2,4,18.202304869035693,0.0011266542096362,28.30756802693043,14.952739706312364,0.0005663094752343708,0.0004937600122202204,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0003,focal_primary,lambda,,,24,8,nucleus_collider,1,5,16.954045076429953,0.00020819768140789563,30.287378409763285,16.93255008914522,0.0002104473521716038,0.0001834871068278702,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0003,focal_primary,lambda,,,24,9,iod_nucleus_only,2,4,23.1104371878338,0.0001203529128881442,33.215700345728536,19.86087202511047,4.867057049184762e-05,4.243542185282024e-05,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0003,focal_primary,lambda,,,24,10,independent,3,3,32.22153493670771,1.4796956621654369e-05,39.42153493670772,26.06670661608965,2.1861833260076803e-06,1.9061130935844877e-06,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
