analysis_type,replicate_id,tree_id,evolutionary_model,generating_class,residual_regime,n_species,rank,model,k,q,C,p,CICc,delta_CICc,l,w,globally_supported,delta_competitive,admissible_competitive,stored_warning_count,runtime_warning_count,path_trait_definition
leave_one_species_out,anicetus,focal_primary_minus_one,lambda,,,23,1,cell_bridge,1,5,0.0716221206896287,0.9648225695065942,13.601033885395513,0.0,1.0,0.8887553577192682,True,True,True,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,anicetus,focal_primary_minus_one,lambda,,,23,2,iod_bridge,1,5,5.874383945848381,0.0530143857548134,19.403795710554263,5.802761825158751,0.0549472902379603,0.0488346985911428,True,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,anicetus,focal_primary_minus_one,lambda,,,23,3,cell_collider,1,5,6.068118368927243,0.0481199135482649,19.59753013363313,5.996496248237616,0.0498743655767434,0.0443261096191801,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,anicetus,focal_primary_minus_one,lambda,,,23,4,iod_cell_only,2,4,11.942502314775624,0.0177839939476974,22.164724536997845,8.563690651602332,0.0138171414191893,0.0122800584646693,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,anicetus,focal_primary_minus_one,lambda,,,23,5,iod_collider,1,5,10.555235017024623,0.0051045779301943,24.08464678173051,10.483612896334996,0.0052906908394616,0.0047021298296078,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,anicetus,focal_primary_minus_one,lambda,,,23,6,nucleus_bridge,1,5,14.085763214614108,0.0008736055435919488,27.615174979319992,14.01414109392448,0.000905457201357417,0.0008047299388918985,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,anicetus,focal_primary_minus_one,lambda,,,23,7,nucleus_cell_only,2,4,20.15388158354135,0.00046565047896607314,30.37610380576357,16.775069920368058,0.0002276878467709365,0.0002023587937052336,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,anicetus,focal_primary_minus_one,lambda,,,23,8,nucleus_collider,1,5,18.866265783943184,8.002808743501344e-05,32.39567754864907,18.79464366325356,8.294591147046474e-05,7.371862322028364e-05,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,anicetus,focal_primary_minus_one,lambda,,,23,9,iod_nucleus_only,2,4,24.740649729791564,5.6725473727703424e-05,34.962871952013785,21.361838066618272,2.2979247468671387e-05,2.0422929304138625e-05,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,anicetus,focal_primary_minus_one,lambda,,,23,10,independent,3,3,35.48961916989505,3.4633265368899657e-06,42.75277706463189,29.15174317923638,4.674976151013398e-07,4.15491010142296e-07,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,apalachicolae,focal_primary_minus_one,lambda,,,23,1,cell_bridge,1,5,0.0154855094298763,0.992287143196522,13.54489727413576,0.0,1.0,0.907809976845747,True,True,True,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,apalachicolae,focal_primary_minus_one,lambda,,,23,2,cell_collider,1,5,6.172547888078128,0.0456718134887719,19.70195965278401,6.157062378648252,0.0460268116965077,0.0417835988604902,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,apalachicolae,focal_primary_minus_one,lambda,,,23,3,iod_bridge,1,5,6.416300524953608,0.0404313314971576,19.945712289659493,6.400815015523733,0.0407455964479328,0.036989258967964,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,apalachicolae,focal_primary_minus_one,lambda,,,23,4,iod_cell_only,2,4,12.588848413031736,0.0134696811826435,22.81107063525396,9.2661733611182,0.0097246956989936,0.0088281757773353,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,apalachicolae,focal_primary_minus_one,lambda,,,23,5,iod_collider,1,5,11.183864772451082,0.0037278173173153,24.713276537156965,11.168379263021205,0.003756792923172,0.003410454096599,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,apalachicolae,focal_primary_minus_one,lambda,,,23,6,nucleus_bridge,1,5,13.901973788541168,0.000957689548836016,27.43138555324705,13.886488279111294,0.000965133485203632,0.0008761578068557643,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,apalachicolae,focal_primary_minus_one,lambda,,,23,7,nucleus_cell_only,2,4,20.074521676619295,0.00048276337039920847,30.29674389884152,16.75184662470576,0.00023034708706517624,0.0002091113837751229,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
