analysis_type,replicate_id,tree_id,evolutionary_model,generating_class,residual_regime,n_species,rank,model,k,q,C,p,CICc,delta_CICc,l,w,globally_supported,delta_competitive,admissible_competitive,stored_warning_count,runtime_warning_count,path_trait_definition
tree_species_set_sensitivity,published_main_18,published_main_18,lambda,,,18,4,cell_collider,1,5,6.014663111039464,0.0494233865178396,21.014663111039464,4.168222579692152,0.1244176422694594,0.053943379363483,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
tree_species_set_sensitivity,published_main_18,published_main_18,lambda,,,18,5,nucleus_collider,1,5,6.494008226568828,0.0388905451455651,21.494008226568827,4.647567695221515,0.0979024359619436,0.0424472618783951,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
tree_species_set_sensitivity,published_main_18,published_main_18,lambda,,,18,6,iod_bridge,1,5,8.072593539754445,0.0176627607197518,23.072593539754443,6.226153008407131,0.0444639511687026,0.0192781002930279,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
tree_species_set_sensitivity,published_main_18,published_main_18,lambda,,,18,7,iod_cell_only,2,4,14.087256650793908,0.0070217130973693,25.164179727716984,8.317739196369672,0.0156252107072775,0.0067745751602618,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
tree_species_set_sensitivity,published_main_18,published_main_18,lambda,,,18,8,iod_nucleus_only,2,4,14.566601766323274,0.0056899185995751,25.64352484324635,8.797084311899038,0.0122952514029163,0.0053308148161212,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
tree_species_set_sensitivity,published_main_18,published_main_18,lambda,,,18,9,iod_collider,1,5,11.95723157314724,0.0025323291513289,26.95723157314724,10.110791041799928,0.0063748448792525,0.0027639221370238,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
tree_species_set_sensitivity,published_main_18,published_main_18,lambda,,,18,10,independent,3,3,24.46590291075553,0.0004286010033587306,32.18018862504125,15.333748093693934,0.00046807873133515896,0.00020294347421971967,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_001,published_bootstrap_001,lambda,,,18,1,cell_bridge,1,5,1.8464405393416257,0.3972377664354637,16.846440539341625,0.0,1.0,0.4335669621643625,True,True,True,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_001,published_bootstrap_001,lambda,,,18,2,nucleus_bridge,1,5,2.4389631470196496,0.2953832617440226,17.43896314701965,0.5925226076780241,0.7435930989004073,0.3223974009766339,True,True,True,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_001,published_bootstrap_001,lambda,,,18,3,nucleus_cell_only,2,4,8.453626262473671,0.0763054142779138,19.53054933939675,2.6841088000551245,0.261308285020982,0.1132946393249265,True,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
