analysis_type,replicate_id,tree_id,evolutionary_model,generating_class,residual_regime,n_species,rank,model,k,q,C,p,CICc,delta_CICc,l,w,globally_supported,delta_competitive,admissible_competitive,stored_warning_count,runtime_warning_count,path_trait_definition
evolutionary_model_sensitivity,OUfixedRoot,focal_primary,OUfixedRoot,,,24,4,iod_cell_only,2,4,12.811924924109531,0.0122322784303202,22.917188082004262,9.36298195874182,0.0092651893773671,0.0083781609084742,False,False,False,3,1,relative_nuclear_iod_index; not_absolute_genome_size
evolutionary_model_sensitivity,OUfixedRoot,focal_primary,OUfixedRoot,,,24,5,iod_collider,1,5,11.54669890437964,0.0031093255160198,24.88003223771297,11.325826114450528,0.0034723868890109,0.0031399483494289,False,False,False,3,1,relative_nuclear_iod_index; not_absolute_genome_size
evolutionary_model_sensitivity,OUfixedRoot,focal_primary,OUfixedRoot,,,24,6,nucleus_bridge,1,5,13.821005669732632,0.0009972562151929765,27.154339003065964,13.600132879803516,0.0011137011511915,0.0010070778986373,False,False,False,3,1,relative_nuclear_iod_index; not_absolute_genome_size
evolutionary_model_sensitivity,OUfixedRoot,focal_primary,OUfixedRoot,,,24,7,nucleus_cell_only,2,4,19.948528990436447,0.0005112194770998668,30.053792148331183,16.499586025068737,0.0002613126401453602,0.00023629515354581956,False,False,False,3,1,relative_nuclear_iod_index; not_absolute_genome_size
evolutionary_model_sensitivity,OUfixedRoot,focal_primary,OUfixedRoot,,,24,8,nucleus_collider,1,5,18.82766018967647,8.15878589176533e-05,32.16099352300981,18.60678739974736,9.111449095581884e-05,8.239139376754975e-05,False,False,False,3,1,relative_nuclear_iod_index; not_absolute_genome_size
evolutionary_model_sensitivity,OUfixedRoot,focal_primary,OUfixedRoot,,,24,9,iod_nucleus_only,2,4,25.51206179308219,3.96843538338354e-05,35.61732495097692,22.06311882771448,1.6182835509902307e-05,1.4633527101834696e-05,False,False,False,3,1,relative_nuclear_iod_index; not_absolute_genome_size
evolutionary_model_sensitivity,OUfixedRoot,focal_primary,OUfixedRoot,,,24,10,independent,3,3,36.501882414759926,2.2017153896713992e-06,43.70188241475992,30.14767629149748,2.8412880986476173e-07,2.5692695430438375e-07,False,False,False,3,1,relative_nuclear_iod_index; not_absolute_genome_size
evolutionary_model_sensitivity,OUrandomRoot,focal_primary,OUrandomRoot,,,24,1,cell_bridge,1,5,0.2206647412178702,0.895536435835491,13.553998074551204,0.0,1.0,0.9043809039224224,True,True,True,4,1,relative_nuclear_iod_index; not_absolute_genome_size
evolutionary_model_sensitivity,OUrandomRoot,focal_primary,OUrandomRoot,,,24,2,cell_collider,1,5,6.128387253539646,0.0466914774457593,19.46172058687298,5.907722512321776,0.0521379986088433,0.0471526103105717,False,False,False,4,1,relative_nuclear_iod_index; not_absolute_genome_size
evolutionary_model_sensitivity,OUrandomRoot,focal_primary,OUrandomRoot,,,24,3,iod_bridge,1,5,6.684401603405716,0.0353590537617287,20.017734936739046,6.463736862187844,0.0394836573329822,0.0357082657089656,False,False,False,4,1,relative_nuclear_iod_index; not_absolute_genome_size
evolutionary_model_sensitivity,OUrandomRoot,focal_primary,OUrandomRoot,,,24,4,iod_cell_only,2,4,12.812788856945362,0.0122277087999688,22.9180520148401,9.364053940288898,0.0092602246519881,0.0083747703412897,False,False,False,4,1,relative_nuclear_iod_index; not_absolute_genome_size
evolutionary_model_sensitivity,OUrandomRoot,focal_primary,OUrandomRoot,,,24,5,iod_collider,1,5,11.609564700140533,0.0030131104850107,24.942898033473867,11.388899958922664,0.0033645872623815,0.0030428684696785,False,False,False,4,1,relative_nuclear_iod_index; not_absolute_genome_size
evolutionary_model_sensitivity,OUrandomRoot,focal_primary,OUrandomRoot,,,24,6,nucleus_bridge,1,5,13.821005669732632,0.0009972562151929765,27.154339003065964,13.60034092851476,0.0011135853051724,0.0010071052848866,False,False,False,4,1,relative_nuclear_iod_index; not_absolute_genome_size
evolutionary_model_sensitivity,OUrandomRoot,focal_primary,OUrandomRoot,,,24,7,nucleus_cell_only,2,4,19.94939292327228,0.0005110188089526568,30.05465608116701,16.50065800661581,0.00026117261651027415,0.0002361995269993459,False,False,False,4,1,relative_nuclear_iod_index; not_absolute_genome_size
evolutionary_model_sensitivity,OUrandomRoot,focal_primary,OUrandomRoot,,,24,8,nucleus_collider,1,5,18.82766018967647,8.15878589176533e-05,32.16099352300981,18.606995448458605,9.110501332257024e-05,8.23936343005304e-05,False,False,False,4,1,relative_nuclear_iod_index; not_absolute_genome_size
evolutionary_model_sensitivity,OUrandomRoot,focal_primary,OUrandomRoot,,,24,9,iod_nucleus_only,2,4,25.51206179308219,3.96843538338354e-05,35.61732495097692,22.06332687642572,1.618115218842099e-05,1.4633925042670458e-05,False,False,False,4,1,relative_nuclear_iod_index; not_absolute_genome_size
evolutionary_model_sensitivity,OUrandomRoot,focal_primary,OUrandomRoot,,,24,10,independent,3,3,36.56561214335665,2.139710981952092e-06,43.76561214335665,30.21161406880545,2.751891838850914e-07,2.4887584287167265e-07,False,False,False,4,1,relative_nuclear_iod_index; not_absolute_genome_size
