bootstrap_replicate,species,tree_tip,nucleus_area_um2,cell_area_um2,relative_iod_index
135,D. auriculatus,auriculatus,49.3632,315.1008,1.0417513643031786
135,D. bairdi,bairdi,44.9424,304.6104,1.1068615464547678
135,D. brimleyorum,brimleyorum,45.2448,329.7888,1.067093882640587
135,D. campi,campi,37.728,258.2928,0.8772570482885086
135,D. folkertsi,folkertsi,44.5104,265.4064,1.0176455556234718
135,D. fuscus,fuscus,47.5416,274.356,1.0
135,D. gvnigeusgwotli,gvnigeusgwotli,44.64,272.4048,0.938643760391198
135,D. intermedius,intermedius,47.2968,326.16,1.0434636900977996
135,D. kanawha,kanawha,41.7456,285.3936,1.098118695599022
135,D. marmoratus,marmoratus,48.3264,276.8328,1.064405032396088
