bootstrap_replicate,species,tree_tip,nucleus_area_um2,cell_area_um2,relative_iod_index
121,D. wrighti,wrighti,42.0912,281.7072,0.8735573691931541
122,D. aeneus,aeneus,36.072,208.9872,0.665363598410758
122,D. amphileucus,amphileucus,44.4096,317.0016,1.107444
122,D. anicetus,anicetus,41.7024,243.1368,0.9453682414425428
122,D. apalachicolae,apalachicolae,46.1088,298.4688,0.9918898869193155
122,D. auriculatus,auriculatus,49.9536,315.8784,1.1109929193154036
122,D. bairdi,bairdi,44.6256,307.6992,1.1540667683374084
122,D. brimleyorum,brimleyorum,45.2304,328.8168,1.1201820122249389
122,D. campi,campi,36.6768,257.7096,0.9168036888753057
122,D. folkertsi,folkertsi,44.4888,267.408,1.0044962451100243
122,D. fuscus,fuscus,45.4392,273.1464,1.0
122,D. gvnigeusgwotli,gvnigeusgwotli,45.5472,272.8368,0.9523901522004891
122,D. intermedius,intermedius,48.0456,322.5024,1.1121554272616136
122,D. kanawha,kanawha,42.048,286.9704,1.0306980727383863
122,D. marmoratus,marmoratus,46.7856,274.032,1.1088585922982885
122,D. mavrokoilius,mavrokoilius,44.1216,269.6112,0.9021114761613692
122,D. monticola,monticola,39.312,260.1072,1.028365987775061
122,D. ochrophaeus,ochrophaeus,51.9552,268.0704,0.8238004590464548
122,D. ocoee,ocoee,42.3144,293.1552,1.0191096833740831
122,D. orestes,orestes,46.5624,255.204,0.9118001558679707
122,D. perlapsus,perlapsus,42.9192,294.1344,0.9343398141809292
122,D. tilleyi,tilleyi,41.8536,264.4776,1.0402397169926652
122,D. valtos,valtos,49.6368,306.8496,1.4061073092909537
122,D. welteri,welteri,49.248,308.7072,0.9584147933985331
122,D. wrighti,wrighti,39.5784,215.1072,0.8987865678484107
123,D. aeneus,aeneus,38.4768,207.8208,0.6488377310513448
123,D. amphileucus,amphileucus,44.1288,318.4344,1.096389434596577
123,D. anicetus,anicetus,41.184,242.6544,0.95536681601467
123,D. apalachicolae,apalachicolae,45.6336,302.0904,0.9534419425427874
123,D. auriculatus,auriculatus,49.5648,315.1728,1.1905015281173594
123,D. bairdi,bairdi,44.0064,306.972,1.1539850482885086
123,D. brimleyorum,brimleyorum,43.884,330.6384,1.0777849009779952
123,D. campi,campi,36.6768,258.2928,0.9156199498777506
123,D. folkertsi,folkertsi,45.0144,268.8048,1.0504363215158923
123,D. fuscus,fuscus,47.5416,272.808,1.0
123,D. gvnigeusgwotli,gvnigeusgwotli,46.6704,275.0112,0.9485255256723717
123,D. intermedius,intermedius,48.9384,325.0008,1.1027197402200488
123,D. kanawha,kanawha,43.5888,288.6192,1.0468417927872862
123,D. marmoratus,marmoratus,48.3264,277.3368,1.101741727383863
123,D. mavrokoilius,mavrokoilius,43.704,269.3088,0.9364809070904645
123,D. monticola,monticola,39.2688,258.9408,1.110259305623472
123,D. ochrophaeus,ochrophaeus,51.3072,278.7624,0.812074282396088
123,D. ocoee,ocoee,43.4448,291.7512,1.0683750189486552
123,D. orestes,orestes,45.5328,255.6072,0.884644434596577
123,D. perlapsus,perlapsus,41.4216,293.6088,0.9607243795843522
123,D. tilleyi,tilleyi,42.4008,263.5848,0.9928112273838632
123,D. valtos,valtos,49.9824,312.2928,1.4241106350855748
123,D. welteri,welteri,48.7008,310.4784,0.8612055996332518
123,D. wrighti,wrighti,46.2456,219.7224,0.8315178306845966
124,D. aeneus,aeneus,36.8352,205.2432,0.5211311100244499
124,D. amphileucus,amphileucus,44.4096,316.4904,0.8861745458435208
124,D. anicetus,anicetus,41.472,242.6544,0.8098977964547678
124,D. apalachicolae,apalachicolae,44.3448,295.308,0.8431373887530562
124,D. auriculatus,auriculatus,49.356,317.124,1.0174135061124694
124,D. bairdi,bairdi,44.5176,306.972,1.0169106491442543
124,D. brimleyorum,brimleyorum,45.2016,330.8544,0.8974247634474328
124,D. campi,campi,37.4544,257.904,0.7778912995110026
124,D. folkertsi,folkertsi,47.2104,268.8768,0.9095484156479218
124,D. fuscus,fuscus,47.412,274.0032,1.0
124,D. gvnigeusgwotli,gvnigeusgwotli,46.5696,272.4192,0.7947313331295844
124,D. intermedius,intermedius,46.9368,323.7408,0.9827079828850857
124,D. kanawha,kanawha,41.7456,288.6552,0.9104070134474328
124,D. marmoratus,marmoratus,48.3408,274.6224,0.9527760641809291
124,D. mavrokoilius,mavrokoilius,41.8392,269.3592,0.8928019633251835
124,D. monticola,monticola,39.3552,263.4336,0.9179217701711492
124,D. ochrophaeus,ochrophaeus,52.6392,274.7952,0.7079876778728607
124,D. ocoee,ocoee,42.6096,293.1552,0.9213187298288509
124,D. orestes,orestes,45.9936,255.3264,0.7601058141809292
124,D. perlapsus,perlapsus,43.6824,293.5512,0.751302152811736
124,D. tilleyi,tilleyi,41.976,263.2464,0.8784127646699267
124,D. valtos,valtos,49.5648,313.6896,1.2293143215158924
124,D. welteri,welteri,48.4272,304.5456,0.8004215788508557
124,D. wrighti,wrighti,48.6432,203.6736,0.720479271393643
125,D. aeneus,aeneus,38.3976,208.9872,0.6123264119804401
125,D. amphileucus,amphileucus,45.8064,319.5504,1.0839080623471884
125,D. anicetus,anicetus,41.76,244.2744,0.9457628844743277
125,D. apalachicolae,apalachicolae,44.3016,297.504,0.9428212011002445
125,D. auriculatus,auriculatus,47.5488,316.9008,1.0252224113691932
125,D. bairdi,bairdi,43.776,305.5248,1.1883475238386307
125,D. brimleyorum,brimleyorum,46.26,330.1056,1.0391308154034231
125,D. campi,campi,37.4544,257.4504,0.8926936784841076
125,D. folkertsi,folkertsi,43.7256,265.4064,1.0392191369193156
125,D. fuscus,fuscus,47.3112,272.3616,1.0
125,D. gvnigeusgwotli,gvnigeusgwotli,46.7136,271.7208,0.9416082035452322
125,D. intermedius,intermedius,49.2768,325.2528,1.145440163202934
125,D. kanawha,kanawha,41.724,289.6272,1.10789122799511
125,D. marmoratus,marmoratus,48.3408,276.0552,1.1365355586797066
125,D. mavrokoilius,mavrokoilius,41.328,270.0576,1.0492781436430318
