analysis_type,replicate_id,tree_id,evolutionary_model,generating_class,residual_regime,n_species,rank,model,k,q,C,p,CICc,delta_CICc,l,w,globally_supported,delta_competitive,admissible_competitive,stored_warning_count,runtime_warning_count
evolutionary_model_sensitivity,BM,focal_primary,BM,NA,NA,24,1,cell_bridge,1,5,0.5021136727919432,0.7779781528280012,13.835447006125275,0,1,0.7746468977213866,TRUE,TRUE,TRUE,0,0
evolutionary_model_sensitivity,BM,focal_primary,BM,NA,NA,24,2,cell_collider,1,5,4.385485731355309,0.11161019661646299,17.718819064688642,3.883372058563367,0.14346186484897117,0.11113228854658036,TRUE,FALSE,FALSE,0,0
evolutionary_model_sensitivity,BM,focal_primary,BM,NA,NA,24,3,genome_bridge,1,5,6.364602675908651,0.04149006251232623,19.697936009241985,5.8624890031167105,0.053330626781108295,0.041312404589522636,FALSE,FALSE,FALSE,0,0
evolutionary_model_sensitivity,BM,focal_primary,BM,NA,NA,24,4,genome_cell_only,2,4,10.75008840726396,0.029521006665145677,20.855351565158696,7.019904559033421,0.029898341166173948,0.023160657231392275,FALSE,FALSE,FALSE,0,0
evolutionary_model_sensitivity,BM,focal_primary,BM,NA,NA,24,5,nucleus_bridge,1,5,7.601718514852195,0.022351557860387117,20.935051848185527,7.099604842060252,0.028730315599657576,0.022255849849831102,FALSE,FALSE,FALSE,0,0
evolutionary_model_sensitivity,BM,focal_primary,BM,NA,NA,24,6,nucleus_cell_only,2,4,11.987204246207504,0.017446671833488248,22.09246740410224,8.257020397976966,0.01610685696862457,0.01247712678278712,FALSE,FALSE,FALSE,0,0
evolutionary_model_sensitivity,BM,focal_primary,BM,NA,NA,24,7,genome_collider,1,5,9.404665500501604,0.00907408481951677,22.737998833834936,8.902551827709662,0.011663675627049199,0.00903523014052221,FALSE,FALSE,FALSE,0,0
evolutionary_model_sensitivity,BM,focal_primary,BM,NA,NA,24,8,nucleus_collider,1,5,10.644512130242354,0.00488172779649676,23.977845463575687,10.142398457450412,0.006274890597828952,0.004860824535149294,FALSE,FALSE,FALSE,0,0
evolutionary_model_sensitivity,BM,focal_primary,BM,NA,NA,24,9,genome_nucleus_only,2,4,17.009114806151004,0.0019250833896893305,27.11437796404574,13.278930957920466,0.001307726064148208,0.0010130259386618083,FALSE,FALSE,FALSE,0,0
evolutionary_model_sensitivity,BM,focal_primary,BM,NA,NA,24,10,independent,3,3,24.43466336209927,4.343269073163736e-4,31.634663362099268,17.799216355973993,1.3644237713662474e-4,1.056946641666178e-4,FALSE,FALSE,FALSE,0,0
evolutionary_model_sensitivity,OUfixedRoot,focal_primary,OUfixedRoot,NA,NA,24,1,cell_bridge,1,5,0.22087278992911427,0.8954432830799789,13.554206123262446,0,1,0.9042622408712253,TRUE,TRUE,TRUE,3,1
evolutionary_model_sensitivity,OUfixedRoot,focal_primary,OUfixedRoot,NA,NA,24,2,cell_collider,1,5,6.127523320703816,0.0467116509528438,19.460856654037148,5.9066505307747015,0.05216595158564797,0.047171700278017883,FALSE,FALSE,FALSE,3,1
evolutionary_model_sensitivity,OUfixedRoot,focal_primary,OUfixedRoot,NA,NA,24,3,genome_bridge,1,5,6.684401603405716,0.035359053761728765,20.017734936739046,6.4635288134766,0.03948776480862899,0.03570729469284676,FALSE,FALSE,FALSE,3,1
evolutionary_model_sensitivity,OUfixedRoot,focal_primary,OUfixedRoot,NA,NA,24,4,genome_cell_only,2,4,12.811924924109531,0.012232278430320265,22.917188082004266,9.36298195874182,0.00926518937736714,0.008378160908474283,FALSE,FALSE,FALSE,3,1
evolutionary_model_sensitivity,OUfixedRoot,focal_primary,OUfixedRoot,NA,NA,24,5,genome_collider,1,5,11.54669890437964,0.003109325516019834,24.880032237712975,11.325826114450528,0.003472386889010992,0.0031399483494289424,FALSE,FALSE,FALSE,3,1
evolutionary_model_sensitivity,OUfixedRoot,focal_primary,OUfixedRoot,NA,NA,24,6,nucleus_bridge,1,5,13.821005669732632,9.972562151929765e-4,27.154339003065964,13.600132879803517,0.0011137011511915913,0.0010070778986373716,FALSE,FALSE,FALSE,3,1
evolutionary_model_sensitivity,OUfixedRoot,focal_primary,OUfixedRoot,NA,NA,24,7,nucleus_cell_only,2,4,19.948528990436447,5.112194770998668e-4,30.053792148331183,16.499586025068737,2.613126401453602e-4,2.3629515354581953e-4,FALSE,FALSE,FALSE,3,1
evolutionary_model_sensitivity,OUfixedRoot,focal_primary,OUfixedRoot,NA,NA,24,8,nucleus_collider,1,5,18.82766018967647,8.15878589176533e-5,32.16099352300981,18.60678739974736,9.111449095581885e-5,8.239139376754975e-5,FALSE,FALSE,FALSE,3,1
evolutionary_model_sensitivity,OUfixedRoot,focal_primary,OUfixedRoot,NA,NA,24,9,genome_nucleus_only,2,4,25.51206179308219,3.9684353833835395e-5,35.61732495097692,22.063118827714476,1.6182835509902307e-5,1.4633527101834697e-5,FALSE,FALSE,FALSE,3,1
evolutionary_model_sensitivity,OUfixedRoot,focal_primary,OUfixedRoot,NA,NA,24,10,independent,3,3,36.501882414759926,2.2017153896713992e-6,43.70188241475992,30.147676291497476,2.8412880986476173e-7,2.5692695430438375e-7,FALSE,FALSE,FALSE,3,1
evolutionary_model_sensitivity,OUrandomRoot,focal_primary,OUrandomRoot,NA,NA,24,1,cell_bridge,1,5,0.22066474121787025,0.895536435835491,13.553998074551203,0,1,0.9043809039224223,TRUE,TRUE,TRUE,4,1
evolutionary_model_sensitivity,OUrandomRoot,focal_primary,OUrandomRoot,NA,NA,24,2,cell_collider,1,5,6.128387253539646,0.0466914774457593,19.46172058687298,5.907722512321776,0.052137998608843314,0.04715261031057171,FALSE,FALSE,FALSE,4,1
evolutionary_model_sensitivity,OUrandomRoot,focal_primary,OUrandomRoot,NA,NA,24,3,genome_bridge,1,5,6.684401603405716,0.035359053761728765,20.017734936739046,6.463736862187844,0.039483657332982286,0.035708265708965695,FALSE,FALSE,FALSE,4,1
evolutionary_model_sensitivity,OUrandomRoot,focal_primary,OUrandomRoot,NA,NA,24,4,genome_cell_only,2,4,12.812788856945362,0.012227708799968817,22.9180520148401,9.364053940288898,0.009260224651988136,0.00837477034128973,FALSE,FALSE,FALSE,4,1
evolutionary_model_sensitivity,OUrandomRoot,focal_primary,OUrandomRoot,NA,NA,24,5,genome_collider,1,5,11.609564700140533,0.0030131104850107393,24.942898033473867,11.388899958922664,0.0033645872623815965,0.0030428684696785367,FALSE,FALSE,FALSE,4,1
evolutionary_model_sensitivity,OUrandomRoot,focal_primary,OUrandomRoot,NA,NA,24,6,nucleus_bridge,1,5,13.821005669732632,9.972562151929765e-4,27.154339003065964,13.600340928514761,0.0011135853051724915,0.0010071052848866244,FALSE,FALSE,FALSE,4,1
evolutionary_model_sensitivity,OUrandomRoot,focal_primary,OUrandomRoot,NA,NA,24,7,nucleus_cell_only,2,4,19.949392923272278,5.110188089526568e-4,30.054656081167014,16.50065800661581,2.6117261651027415e-4,2.361995269993459e-4,FALSE,FALSE,FALSE,4,1
evolutionary_model_sensitivity,OUrandomRoot,focal_primary,OUrandomRoot,NA,NA,24,8,nucleus_collider,1,5,18.82766018967647,8.15878589176533e-5,32.16099352300981,18.606995448458605,9.110501332257025e-5,8.23936343005304e-5,FALSE,FALSE,FALSE,4,1
evolutionary_model_sensitivity,OUrandomRoot,focal_primary,OUrandomRoot,NA,NA,24,9,genome_nucleus_only,2,4,25.51206179308219,3.9684353833835395e-5,35.61732495097692,22.06332687642572,1.618115218842099e-5,1.4633925042670458e-5,FALSE,FALSE,FALSE,4,1
evolutionary_model_sensitivity,OUrandomRoot,focal_primary,OUrandomRoot,NA,NA,24,10,independent,3,3,36.56561214335665,2.139710981952092e-6,43.76561214335665,30.211614068805446,2.751891838850914e-7,2.4887584287167265e-7,FALSE,FALSE,FALSE,4,1
