bootstrap_replicate,species,tree_tip,genome_size_pg,nucleus_area_um2,cell_area_um2
133,D. wrighti,wrighti,14.02844135,45.93600000,249.20640000
134,D. aeneus,aeneus,8.73442820,36.83520000,206.59680000
134,D. amphileucus,amphileucus,16.09945842,44.16480000,318.62160000
134,D. anicetus,anicetus,14.90315731,41.98320000,244.29600000
134,D. apalachicolae,apalachicolae,15.55423670,44.30160000,300.31200000
134,D. auriculatus,auriculatus,15.95104663,50.02560000,316.65600000
134,D. bairdi,bairdi,18.41641786,45.02880000,306.97200000
134,D. brimleyorum,brimleyorum,17.15357364,43.92000000,330.65280000
134,D. campi,campi,14.08773842,37.45440000,258.59520000
134,D. folkertsi,folkertsi,16.37714918,44.59680000,268.84080000
134,D. fuscus,fuscus,16.36000000,46.28880000,270.91440000
134,D. gvnigeusgwotli,gvnigeusgwotli,14.83768861,47.13840000,271.55520000
134,D. intermedius,intermedius,17.64120959,49.67280000,325.91520000
134,D. kanawha,kanawha,16.44236442,41.04000000,288.65520000
134,D. marmoratus,marmoratus,17.21138574,46.41120000,275.02560000
134,D. mavrokoilius,mavrokoilius,14.67226901,43.19280000,270.74880000
134,D. monticola,monticola,16.08370818,39.31200000,260.38080000
134,D. ochrophaeus,ochrophaeus,13.13687774,52.13520000,274.14720000
134,D. ocoee,ocoee,17.14721254,42.93360000,293.19840000
134,D. orestes,orestes,12.55140920,46.02240000,255.34080000
134,D. perlapsus,perlapsus,14.88511629,43.38000000,290.62800000
134,D. tilleyi,tilleyi,16.27381379,42.59520000,265.01040000
134,D. valtos,valtos,21.48094232,48.98880000,314.75520000
134,D. welteri,welteri,15.47235015,48.63600000,301.35600000
134,D. wrighti,wrighti,14.86851068,48.64320000,201.62160000
135,D. aeneus,aeneus,9.27477442,36.82080000,211.47840000
135,D. amphileucus,amphileucus,16.99656090,43.56720000,318.70080000
135,D. anicetus,anicetus,14.68285107,40.56480000,245.18160000
135,D. apalachicolae,apalachicolae,16.30286879,46.75680000,298.46880000
135,D. auriculatus,auriculatus,17.04305232,49.36320000,315.10080000
135,D. bairdi,bairdi,18.10825490,44.94240000,304.61040000
135,D. brimleyorum,brimleyorum,17.45765592,45.24480000,329.78880000
135,D. campi,campi,14.35192531,37.72800000,258.29280000
135,D. folkertsi,folkertsi,16.64868129,44.51040000,265.40640000
135,D. fuscus,fuscus,16.36000000,47.54160000,274.35600000
135,D. gvnigeusgwotli,gvnigeusgwotli,15.35621192,44.64000000,272.40480000
135,D. intermedius,intermedius,17.07106597,47.29680000,326.16000000
