bootstrap_replicate,species,tree_tip,genome_size_pg,nucleus_area_um2,cell_area_um2
147,D. brimleyorum,brimleyorum,16.79798505,45.23040000,321.98400000
147,D. campi,campi,14.76830679,38.23920000,256.21200000
147,D. folkertsi,folkertsi,16.76086823,45.57600000,268.73280000
147,D. fuscus,fuscus,16.36000000,45.43920000,272.55600000
147,D. gvnigeusgwotli,gvnigeusgwotli,14.82398007,44.63280000,272.35440000
147,D. intermedius,intermedius,18.67534273,49.14000000,327.28320000
147,D. kanawha,kanawha,15.49664449,41.99040000,286.22880000
147,D. marmoratus,marmoratus,17.68759470,47.10240000,274.19040000
147,D. mavrokoilius,mavrokoilius,14.46545777,42.87600000,269.59680000
147,D. monticola,monticola,16.44396715,39.85920000,262.20960000
