component,path,publication_id,rows,columns,bytes,sha256
morphology,analyses/02_morphology/data/nuclear_iod_quality_balance.csv,S24,24,10,2837,86c632626923d0830313b908968d84b8004a3249e7ed3457cc2b24e789fe9017
morphology,analyses/02_morphology/data/nuclear_iod_quality_diagnostics.csv,S25,2,4,195,e1005979e418169fdf7cb4e0fd6c00c3d2b69c427434e6236331250ed76b8c9b
morphology,analyses/02_morphology/data/relative_nuclear_iod_species.csv,S22,24,37,11091,327542c76109e8a31f26eea88edaf30eb9d756faf6c0f24ebb78f5d3bc3e6699
phylogenetic_path,analyses/03_phylogenetic_path/data/candidate_dags.csv,,25,6,2100,50624f8e914a71f1de69df872a9608ef7db92e26657416d91e6723d1d45af8b8
phylogenetic_path,analyses/03_phylogenetic_path/data/collaborator_max_svl.csv,,40,4,3967,94157c702e9133aa6ce6d59b180e9e7c0e4afd8f42f866b4f55272a6caeb87a2
phylogenetic_path,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx,,,,12150,e686d125c39b2ccf79e74680ed5f53146f9bad84c362570a911ae08c33fbd303
phylogenetic_path,analyses/03_phylogenetic_path/data/evolutionary_model_sensitivity.csv,S29,40,23,11272,f2d7ea822a506b634441da3176e5f8b2f17a0aeb596f006c51a8bedd18ed3908
phylogenetic_path,analyses/03_phylogenetic_path/data/full_simulation_rankings.csv.gz,,8000,22,514425,083b29eb8a7e1797d3b8f04d5be20c896c3365846f3e0f9664a113c8e1fce1d9
phylogenetic_path,analyses/03_phylogenetic_path/data/measurement_bootstrap_traits.csv,,6000,6,363623,17e37977369df0223a7fac6badb36effffbcaffce5fd81ed355647ddf5ece891
phylogenetic_path,analyses/03_phylogenetic_path/data/organismal_traits.csv,,37,24,21666,0512d7c75b05358a7cd1a230b38f9d2bb362be1147119ab2919898602eecdd9e
phylogenetic_path,analyses/03_phylogenetic_path/data/pairwise_pgls.csv,S26,3,29,1541,0dfdc9490f70bfc9b1599edb84b824c6dea90e9c4f3dfd94e895ffd95d9debd9
phylogenetic_path,analyses/03_phylogenetic_path/data/pairwise_phylogenetic_regressions.csv,S28,12,14,3309,2f69b40b2f610da82d063706d77ba79be44e030bf9b497acff73d892dd5882c6
phylogenetic_path,analyses/03_phylogenetic_path/data/path24_traits.csv,S04,24,13,5211,5f3fc6a06d1b5761bcb63bb4de108aa9d9b71f550618684a9fb55cf760a203cf
phylogenetic_path,analyses/03_phylogenetic_path/data/path_dsep_tests.csv,S37,15,9,2567,2c327495a157cef4c4297f97083366b799bbc4cd45e419b8fc72166e05b6348a
phylogenetic_path,analyses/03_phylogenetic_path/data/path_edge_estimates.csv,S31,6,10,1326,f269c4c048ee58758d76fe08d973cbaf98248160d1d7e889b31e0d939f2b22c8
phylogenetic_path,analyses/03_phylogenetic_path/data/path_leave_one_species_out.csv,S35,240,23,66467,ff8f78f52112e3509ebf69f3d8d24e8606585966e0be4fe8703f9475090e7e04
phylogenetic_path,analyses/03_phylogenetic_path/data/path_measurement_sensitivity.csv,S34,2500,23,680976,71396c8df9c5224f83bb70ba5a13960c317c617d50525733faaae354ce9dcd06
phylogenetic_path,analyses/03_phylogenetic_path/data/path_model_comparison.csv,S30,10,23,2840,2eee2fd5fe7d734771a17b23286d6468bec7649e6c67c5e2db3dd5ee2d8f42e4
phylogenetic_path,analyses/03_phylogenetic_path/data/path_model_stability.csv,S32,40,8,4640,14374eb3e5c119cec93a036ae912fdf317609c0d18dae0d12946cac032fd1d7b
phylogenetic_path,analyses/03_phylogenetic_path/data/path_simulation_calibration.csv,S36,8,10,1043,2d25a079991170fc2b7d17a2f1e111b4a2b7b91492dc80e094920fdd4d57d43f
phylogenetic_path,analyses/03_phylogenetic_path/data/path_standardized_traits.csv,S27,24,6,5403,8a2609ead2c31567422ee717d7fe1d1c755cff50eaae2ba54f99d3192f14f87d
phylogenetic_path,analyses/03_phylogenetic_path/data/path_tree_sensitivity.csv,S33,2030,23,611621,d2ed600ca70d28864f28a9793e5d627da2d6a62e4575b9b3ccdebd8364225db2
phylogenetic_path,analyses/03_phylogenetic_path/data/phylogeny_edges.csv,S38,46,4,1816,1e30565a1d94f6208506067c5ea38ae6c05675faf14fc92773796f92b1cc5693
phylogenetic_path,analyses/03_phylogenetic_path/data/phylogeny_nodes.csv,S39,47,4,1705,2d14c31a1b62ca991e0bda6f46b89be2d563386e0cc5fe5d2d498c3b52c3b301
phylogenetic_path,analyses/03_phylogenetic_path/data/te_relative_iod_overlap.csv,S40,21,19,9470,20b505b2da38905adae45f147ef8811975eac35de027873a576ab0f6e0c5fe63
transposable_elements,analyses/01_transposable_elements/provenance/ltr_terminal_internal_release.json,,,,8543,21bdb12ac9cd27871f7ba9ea9425b0d586de6b9403b41bd5b08f48624279c954
morphology,analyses/02_morphology/provenance/PRODUCTION_CELL_NUCLEUS_LINEAGE.md,,,,3375,443be3e30dbc28bfa96276beddca74300a2852ecdef2fb6c5521ff2769d06665
morphology,analyses/02_morphology/provenance/cell_mask_extension_decisions.csv,,1179,8,217809,badaac30b804d4e3e1cc721ee4e26154acdbd4297ba016631a7c25d88952873a
morphology,analyses/02_morphology/provenance/cell_pre_extension_frozen_objects.csv.gz,,1050,143,320409,f5d3ca25b60e0e0ac5998165a2c13f63128dd5a8c29f5ae0e32fab2ac077c307
morphology,analyses/02_morphology/provenance/iod_extension_decisions.csv,,854,8,144379,131eefce29d94a634bd9b75a79c9a1b22ae73c3417f3878a4367d276a6993cbe
