"tree_id","tree_role","n_tips","rooted","fully_bifurcating","all_branch_lengths_positive","root_age_myr","root_to_tip_range_before_padding_myr","maximum_terminal_padding_myr","strict_ultrametric_after_padding","minimum_branch_length_myr","maximum_branch_length_myr","rooted_rf_to_focal","rooted_rf_to_published_main","cophenetic_correlation_to_focal","cophenetic_correlation_to_published_main"
"published_bootstrap_108","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,14.800484,3.00000000308387e-06,3.00000000308387e-06,TRUE,0.418645,9.882792,2,0,0.99251490566928,0.997427512547432
"published_bootstrap_109","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,14.120078,1.00000000102796e-06,1.00000000102796e-06,TRUE,0.38648,8.965993,2,0,0.993133145500064,0.997805353838373
"published_bootstrap_110","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,14.778072,3.00000000308387e-06,3.00000000308387e-06,TRUE,0.446665,9.871959,2,0,0.990647208128447,0.996355028925816
"published_bootstrap_111","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,15.41473,1.00000000280431e-06,1.00000000280431e-06,TRUE,0.286086,10.167701,2,0,0.991899948793826,0.997677594229068
"published_bootstrap_112","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,14.034992,2.00000000027956e-06,2.00000000027956e-06,TRUE,0.400263,9.083375,2,0,0.991693767287997,0.997083300466746
"published_bootstrap_113","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,13.340055,2.00000000027956e-06,2.00000000027956e-06,TRUE,0.398714,8.80547,2,0,0.990807113544194,0.996391977857508
"published_bootstrap_114","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,13.504964,1.00000000102796e-06,1.00000000102796e-06,TRUE,0.321569,8.681148,2,0,0.991635871173363,0.996778019481817
"published_bootstrap_115","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,14.454915,1.77635683940025e-15,1.77635683940025e-15,TRUE,0.394093,9.331707,2,0,0.993155790672436,0.997968880823723
"published_bootstrap_116","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,14.287226,3.00000000130751e-06,3.00000000130751e-06,TRUE,0.436294,9.5831,2,0,0.991130218151351,0.997653035850187
"published_bootstrap_117","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,13.612827,1.00000000102796e-06,1.00000000102796e-06,TRUE,0.288036,8.969684,2,0,0.991157834337518,0.997895671854501
"published_bootstrap_118","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,12.771337,1.9999999985032e-06,1.9999999985032e-06,TRUE,0.314319,8.612689,2,0,0.987704840712998,0.994139453881678
"published_bootstrap_119","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,15.637114,9.99999997475243e-07,9.99999997475243e-07,TRUE,0.407735,10.502032,2,0,0.990655824553844,0.996869230197115
"published_bootstrap_120","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,14.962714,2.99999999953116e-06,2.99999999953116e-06,TRUE,0.361666,10.113519,2,0,0.990250875157443,0.996042294301661
"published_bootstrap_121","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,12.167847,1.00000000102796e-06,1.00000000102796e-06,TRUE,0.445728,8.093862,2,0,0.991973292266175,0.996445327796474
"published_bootstrap_122","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,15.567859,1.00000000280431e-06,1.00000000280431e-06,TRUE,0.307302,10.384197,2,0,0.991981058719056,0.996305469067452
"published_bootstrap_123","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,11.792604,1.00000000102796e-06,1.00000000102796e-06,TRUE,0.2864,7.859628,2,0,0.991844284110367,0.997626631923476
"published_bootstrap_124","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,13.976234,2.00000000027956e-06,2.00000000027956e-06,TRUE,0.369158,9.186467,2,0,0.992996162220249,0.99692097259852
"published_bootstrap_125","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,13.825484,2.99999999953116e-06,2.99999999953116e-06,TRUE,0.356805,9.066966,2,0,0.995241715661492,0.998617028943952
"published_bootstrap_126","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,13.998972,1.00000000102796e-06,1.00000000102796e-06,TRUE,0.279382,9.362371,2,0,0.990926018597219,0.996427143705185
"published_bootstrap_127","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,14.432129,2.00000000027956e-06,2.00000000027956e-06,TRUE,0.396589,9.552347,2,0,0.991537407879464,0.996946238768014
"published_bootstrap_128","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,14.512111,2.00000000027956e-06,2.00000000027956e-06,TRUE,0.449869,9.328451,2,0,0.988629069478052,0.994463882046409
"published_bootstrap_129","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,13.191172,2.00000000205591e-06,2.00000000205591e-06,TRUE,0.375884,8.883906,2,0,0.994929463970901,0.998910948018661
"published_bootstrap_130","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,15.866188,3.00000000130751e-06,3.00000000130751e-06,TRUE,0.308459,10.816883,2,0,0.991952788258987,0.996829819153978
"published_bootstrap_131","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,15.070837,2.00000000027956e-06,2.00000000027956e-06,TRUE,0.440422,9.531066,2,0,0.992416293942113,0.997876678462911
"published_bootstrap_132","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,14.385134,1.00000000102796e-06,1.00000000102796e-06,TRUE,0.393802,9.856117,2,0,0.993466593438617,0.998343842702473
"published_bootstrap_133","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,15.417285,2.00000000205591e-06,2.00000000205591e-06,TRUE,0.421057,10.53493,2,0,0.992377307973167,0.996039196099353
"published_bootstrap_134","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,16.357739,1.00000000458067e-06,1.00000000458067e-06,TRUE,0.46349,11.55429,2,0,0.992999283193582,0.998064676296389
"published_bootstrap_135","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,13.305762,2.00000000027956e-06,2.00000000027956e-06,TRUE,0.35983,8.381904,2,0,0.986558025757717,0.993994316431177
"published_bootstrap_136","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,13.069206,2.00000000205591e-06,2.00000000205591e-06,TRUE,0.332221,8.899285,2,0,0.990566600139274,0.995356847918738
"published_bootstrap_137","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,13.953713,1.00000000102796e-06,1.00000000102796e-06,TRUE,0.310729,9.158398,2,0,0.992287947132525,0.997907874808552
"published_bootstrap_138","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,13.535147,2.00000000027956e-06,2.00000000027956e-06,TRUE,0.423141,8.911514,2,0,0.991942808485165,0.997822224318566
"published_bootstrap_139","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,13.289534,1.00000000102796e-06,1.00000000102796e-06,TRUE,0.376063,8.614977,2,0,0.989382592148261,0.995755259719642
"published_bootstrap_140","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,15.23175,1.00000000280431e-06,1.00000000280431e-06,TRUE,0.359938,10.182619,2,0,0.990981601887753,0.995784393073347
"published_bootstrap_141","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,13.302924,3.00000000130751e-06,3.00000000130751e-06,TRUE,0.284113,8.700406,2,0,0.991116248028505,0.996266606923244
"published_bootstrap_142","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,12.499538,2.00000000027956e-06,2.00000000027956e-06,TRUE,0.287379,8.512037,2,0,0.992936922806586,0.998281674755943
"published_bootstrap_143","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,13.862534,3.00000000130751e-06,3.00000000130751e-06,TRUE,0.332598,9.412764,2,0,0.989021008609014,0.994759834843879
"published_bootstrap_144","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,14.565942,1.00000000102796e-06,1.00000000102796e-06,TRUE,0.41513,9.672817,2,0,0.987672477394129,0.993700137572176
"published_bootstrap_145","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,14.507457,1.9999999985032e-06,1.9999999985032e-06,TRUE,0.464946,9.764532,2,0,0.991005808746578,0.997059412516926
"published_bootstrap_146","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,14.316063,2.00000000205591e-06,2.00000000205591e-06,TRUE,0.412485,9.732051,2,0,0.990082796107164,0.9956595234068
"published_bootstrap_147","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,13.163199,3.00000000130751e-06,3.00000000130751e-06,TRUE,0.311929,8.840866,2,0,0.990858123751989,0.99685561213663
"published_bootstrap_148","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,13.438703,1.9999999985032e-06,1.9999999985032e-06,TRUE,0.382913,8.909652,2,0,0.99081513818438,0.997230687826771
"published_bootstrap_149","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,13.14458,3.00000000130751e-06,3.00000000130751e-06,TRUE,0.300392,8.518783,2,0,0.990043684140548,0.996245797728445
"published_bootstrap_150","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,13.532875,1.00000000102796e-06,1.00000000102796e-06,TRUE,0.327585,8.886409,2,0,0.993947946649663,0.998195296423676
"published_bootstrap_151","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,14.007598,2.00000000205591e-06,2.00000000205591e-06,TRUE,0.35778,9.211429,2,0,0.990302299812936,0.995054642802309
"published_bootstrap_152","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,12.889533,2.00000000205591e-06,2.00000000205591e-06,TRUE,0.240776,8.640569,2,0,0.990451825154144,0.99526485856477
"published_bootstrap_153","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,14.171015,2.00000000205591e-06,2.00000000205591e-06,TRUE,0.339624,9.542923,2,0,0.994975481833729,0.99884399129711
"published_bootstrap_154","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,14.287485,1.9999999985032e-06,1.9999999985032e-06,TRUE,0.405485,9.40603,2,0,0.993440672898025,0.999178854809185
"published_bootstrap_155","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,15.329836,1.00000000102796e-06,1.00000000102796e-06,TRUE,0.347712,10.007135,2,0,0.991735289293571,0.996708920439866
"published_bootstrap_156","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,12.097642,2.00000000205591e-06,2.00000000205591e-06,TRUE,0.329238,8.220038,2,0,0.99004057758,0.995743768714154
"published_bootstrap_157","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,13.313036,2.00000000205591e-06,2.00000000205591e-06,TRUE,0.266464,8.929853,2,0,0.992545540893071,0.998556098534671
"published_bootstrap_158","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,12.578219,2.00000000205591e-06,2.00000000205591e-06,TRUE,0.32455,7.973892,2,0,0.988774685916961,0.995085280401103
"published_bootstrap_159","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,13.942858,2.99999999953116e-06,2.99999999953116e-06,TRUE,0.368863,9.103508,2,0,0.992684081656657,0.997011510146974
"published_bootstrap_160","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,15.971219,2.9999999977548e-06,2.9999999977548e-06,TRUE,0.420716,10.275857,2,0,0.990865914144954,0.9964792479205
"published_bootstrap_161","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,14.135572,1.9999999985032e-06,1.9999999985032e-06,TRUE,0.449626,8.782573,2,0,0.991798037378662,0.997276171869132
"published_bootstrap_162","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,14.683904,1.00000000102796e-06,1.00000000102796e-06,TRUE,0.39577,9.347655,2,0,0.992692472668804,0.998370939705621
"published_bootstrap_163","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,14.97286,2.00000000205591e-06,2.00000000205591e-06,TRUE,0.421069,10.203127,2,0,0.991121922736117,0.997078234663408
"published_bootstrap_164","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,12.690576,2.00000000027956e-06,2.00000000027956e-06,TRUE,0.325474,8.431829,2,0,0.993489585849683,0.997930790804316
"published_bootstrap_165","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,15.622883,2.00000000027956e-06,2.00000000027956e-06,TRUE,0.341803,10.54467,2,0,0.990640922212577,0.996586838045239
"published_bootstrap_166","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,14.056581,1.9999999985032e-06,1.9999999985032e-06,TRUE,0.346243,9.460318,2,0,0.99129217248455,0.996303548068463
"published_bootstrap_167","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,13.326537,1.00000000280431e-06,1.00000000280431e-06,TRUE,0.37931,8.558915,2,0,0.991009647264262,0.996991622825251
"published_bootstrap_168","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,14.544504,2.00000000027956e-06,2.00000000027956e-06,TRUE,0.408183,9.657818,2,0,0.992963113955935,0.997117593534892
"published_bootstrap_169","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,13.108965,1.00000000102796e-06,1.00000000102796e-06,TRUE,0.355557,8.843905,2,0,0.989920350319931,0.995365631879542
"published_bootstrap_170","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,13.067491,1.00000000102796e-06,1.00000000102796e-06,TRUE,0.355391,8.207727,2,0,0.994318489253908,0.998499620434037
"published_bootstrap_171","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,15.337146,3.00000000130751e-06,3.00000000130751e-06,TRUE,0.400658,10.441652,2,0,0.991560427072023,0.996744728167749
"published_bootstrap_172","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,14.167654,2.99999999953116e-06,2.99999999953116e-06,TRUE,0.366341,9.114882,2,0,0.992080022239623,0.996653308763138
"published_bootstrap_173","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,14.426179,2.00000000205591e-06,2.00000000205591e-06,TRUE,0.450342,9.515216,2,0,0.995419941320599,0.998881744804023
"published_bootstrap_174","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,14.538866,1.00000000102796e-06,1.00000000102796e-06,TRUE,0.351838,9.555654,2,0,0.9949940024912,0.998327597332744
"published_bootstrap_175","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,13.682149,2.00000000205591e-06,2.00000000205591e-06,TRUE,0.367244,8.976587,2,0,0.992325029037258,0.998182062062246
"published_bootstrap_176","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,13.759219,1.00000000102796e-06,1.00000000102796e-06,TRUE,0.316916,8.703003,2,0,0.988467222875817,0.994862041705695
"published_bootstrap_177","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,14.991887,1.00000000102796e-06,1.00000000102796e-06,TRUE,0.390341,10.051827,2,0,0.993045949013043,0.9981606454572
"published_bootstrap_178","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,12.97228,2.00000000027956e-06,2.00000000027956e-06,TRUE,0.3638,8.497337,2,0,0.991981458937315,0.997885311712182
"published_bootstrap_179","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,12.326587,2.00000000027956e-06,2.00000000027956e-06,TRUE,0.342095,7.83062,2,0,0.991286940662565,0.996039040583235
"published_bootstrap_180","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,12.372303,3.00000000130751e-06,3.00000000130751e-06,TRUE,0.340556,8.164659,2,0,0.993690148450366,0.99793656200866
"published_bootstrap_181","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,13.697237,1.00000000102796e-06,1.00000000102796e-06,TRUE,0.375785,8.963919,2,0,0.993181783958471,0.998703322808398
"published_bootstrap_182","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,13.516349,2.00000000205591e-06,2.00000000205591e-06,TRUE,0.324144,9.039172,2,0,0.991780344647098,0.997268429677226
"published_bootstrap_183","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,13.40075,1.00000000458067e-06,1.00000000458067e-06,TRUE,0.356364,8.848873,2,0,0.990272090397856,0.996178753742329
"published_bootstrap_184","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,14.27261,1.00000000102796e-06,1.00000000102796e-06,TRUE,0.385845,9.63302,2,0,0.992068866423072,0.997626610451349
"published_bootstrap_185","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,14.278762,2.00000000205591e-06,2.00000000205591e-06,TRUE,0.365863,9.570336,2,0,0.994331867588418,0.998813580746372
"published_bootstrap_186","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,13.653665,1.9999999985032e-06,1.9999999985032e-06,TRUE,0.319991,8.645541,2,0,0.990239343518262,0.995262368914452
"published_bootstrap_187","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,12.991471,1.00000000102796e-06,1.00000000102796e-06,TRUE,0.367654,8.637253,2,0,0.991195752971608,0.996869363509223
"published_bootstrap_188","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,12.665265,1.00000000280431e-06,1.00000000280431e-06,TRUE,0.303675,8.046858,2,0,0.991105343340157,0.997426784198661
"published_bootstrap_189","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,14.367389,2.00000000205591e-06,2.00000000205591e-06,TRUE,0.395809,9.312504,2,0,0.989731426686242,0.995124213386244
"published_bootstrap_190","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,13.403559,2.00000000027956e-06,2.00000000027956e-06,TRUE,0.384405,8.5978,2,0,0.992789666779992,0.997726083379703
"published_bootstrap_191","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,14.632723,2.00000000205591e-06,2.00000000205591e-06,TRUE,0.412653,9.947155,2,0,0.992851764100862,0.996793514541164
"published_bootstrap_192","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,13.445264,2.00000000027956e-06,2.00000000027956e-06,TRUE,0.310649,8.756704,2,0,0.988403386889293,0.994349874366251
"published_bootstrap_193","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,15.16356,1.00000000280431e-06,1.00000000280431e-06,TRUE,0.293054,10.109011,2,0,0.994297714708055,0.998570685616972
"published_bootstrap_194","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,13.703945,2.00000000205591e-06,2.00000000205591e-06,TRUE,0.354997,9.196311,2,0,0.991491989195453,0.996832458945462
"published_bootstrap_195","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,15.015492,2.00000000027956e-06,2.00000000027956e-06,TRUE,0.341428,10.172278,2,0,0.994326124657347,0.998212197534897
"published_bootstrap_196","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,11.133915,1.9999999985032e-06,1.9999999985032e-06,TRUE,0.297009,7.080366,2,0,0.992314300347287,0.997110523848495
"published_bootstrap_197","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,16.560898,1.00000000458067e-06,1.00000000458067e-06,TRUE,0.417355,11.232217,2,0,0.993596697484183,0.998181646361911
