relation_id,evolutionary_model,outcome,predictor,standardized_coefficient,standard_error,ci_low,ci_high,t_value,p_value,fitted_phylogenetic_parameter,r_squared,n_species,path_trait_definition
iod_to_nucleus,lambda,nucleus_size,relative_iod,0.4190184055401306,0.1935815046936693,0.0395986563405388,0.7984381547397225,2.164558056324654,0.0415437877671364,9.999999999999994e-08,0.1755764239549656,24,relative_nuclear_iod_index; not_absolute_genome_size
nucleus_to_iod,lambda,relative_iod,nucleus_size,0.2893446527314012,0.1745662661499886,-0.0528052289225765,0.6314945343853791,1.657506109930736,0.111610196616463,1.0,0.1110150829408924,24,relative_nuclear_iod_index; not_absolute_genome_size
iod_to_cell,lambda,cell_size,relative_iod,0.7166644225383181,0.1486900521551749,0.4252319203141753,1.008096924762461,4.819854537345899,8.156831918074695e-05,9.999999999999994e-08,0.5136078996938527,24,relative_nuclear_iod_index; not_absolute_genome_size
cell_to_iod,lambda,relative_iod,cell_size,0.7166644297406731,0.1486900536494845,0.4252319245876835,1.0080969348936628,4.8198545373459,8.156831918074679e-05,9.999999999999994e-08,0.5136078996938526,24,relative_nuclear_iod_index; not_absolute_genome_size
nucleus_to_cell,lambda,cell_size,nucleus_size,0.5793012833996936,0.1737827813041866,0.2386870320434876,0.9199155347558994,3.333479180458584,0.0030127749981267,9.999999999999994e-08,0.3355899807539396,24,relative_nuclear_iod_index; not_absolute_genome_size
cell_to_nucleus,lambda,nucleus_size,cell_size,0.5793012899686543,0.1737827832747887,0.2386870347500683,0.9199155451872402,3.3334791804585837,0.0030127749981268,9.999999999999994e-08,0.3355899807539397,24,relative_nuclear_iod_index; not_absolute_genome_size
iod_and_nucleus_to_cell,lambda,cell_size,relative_iod,0.5748580416809171,0.1504670168792462,0.2799426885975944,0.8697733947642399,3.8204920493788737,0.0009971099340485869,9.999999999999994e-08,0.6080304560829008,24,relative_nuclear_iod_index; not_absolute_genome_size
iod_and_nucleus_to_cell,lambda,cell_size,nucleus_size,0.3384251836732737,0.1504670167822232,0.0435098307801161,0.6333405365664312,2.2491652384062992,0.0353583510744721,9.999999999999994e-08,0.6080304560829008,24,relative_nuclear_iod_index; not_absolute_genome_size
iod_and_cell_to_nucleus,lambda,nucleus_size,relative_iod,0.0079231983550237,0.2550381816597329,-0.4919516376980529,0.5077980344081003,0.0310667144168816,0.975509706887934,9.999999999999994e-08,0.3356205150258855,24,relative_nuclear_iod_index; not_absolute_genome_size
iod_and_cell_to_nucleus,lambda,nucleus_size,cell_size,0.573623015537829,0.2550381829412781,0.0737481769729239,1.073497854102734,2.249165238406299,0.0353583510744722,9.999999999999994e-08,0.3356205150258855,24,relative_nuclear_iod_index; not_absolute_genome_size
nucleus_and_cell_to_iod,lambda,relative_iod,nucleus_size,0.0058003054927519,0.1867048254578192,-0.3601411524045738,0.3717417633900777,0.0310667144168823,0.9755097068879334,9.999999999999994e-08,0.5136302528014711,24,relative_nuclear_iod_index; not_absolute_genome_size
nucleus_and_cell_to_iod,lambda,relative_iod,cell_size,0.7133043052865097,0.1867048265163847,0.3473628453143956,1.0792457652586238,3.820492049378873,0.0009971099340485869,9.999999999999994e-08,0.5136302528014711,24,relative_nuclear_iod_index; not_absolute_genome_size
