PC,Eigenvalue,VarExplained,CumVarExplained
1,7.622141097435676,0.2722193249084171,0.2722193249084171
2,5.181429178913202,0.18505104210404302,0.45727036701246015
3,3.7824323393917703,0.13508686926399185,0.592357236276452
4,2.2939958132243543,0.08192842190086984,0.6742856581773218
5,1.5206500670050311,0.05430893096446542,0.7285945891417872
6,1.1892234355489109,0.042472265555318266,0.7710668546971056
7,1.1335002754640693,0.04048215269514535,0.8115490073922509
8,1.080602460669269,0.03859294502390249,0.8501419524161533
9,0.9245085298516237,0.033018161780415146,0.8831601141965685
10,0.7668950847329685,0.027389110169034604,0.9105492243656031
11,0.6015914108223088,0.021485407529368183,0.9320346318949713
12,0.47089468291899506,0.016817667247106975,0.9488522991420782
13,0.3810720487983673,0.013609716028513125,0.9624620151705914
14,0.2308462785399261,0.008244509947854507,0.9707065251184459
15,0.19707944917055728,0.007038551756091335,0.9777450768745373
16,0.17014755087452027,0.006076698245518584,0.9838217751200558
17,0.12345254016636306,0.0044090192916558255,0.9882307944117116
18,0.10516237317976927,0.003755799042134619,0.9919865934538462
19,0.06980172945094605,0.00249291890896236,0.9944795123628086
20,0.04085011215859458,0.0014589325770926645,0.9959384449399012
21,0.03658802994441722,0.0013067153551577584,0.997245160295059
22,0.028277147288837134,0.0010098981174584696,0.9982550584125175
23,0.02365362983097613,8.447724939634337e-4,0.9990998309064809
24,0.010872779549526703,3.8831355534023955e-4,0.9994881444618212
25,0.010255212765538266,3.6625759876922397e-4,0.9998544020605904
26,0.004056665162534891,1.4488089866196048e-4,0.9999992829592523
27,2.007712925518784e-5,7.170403305424232e-7,0.9999999999995829
28,1.1679163558043119e-11,4.171129842158259e-13,1
