fit_id,family,phase,tree_id,morphology_estimator,iod_subset,omitted_species,n_species,rank,model,k,q,C,p,CICc,delta_CICc,l,w,global_fit_pass,finite_ranking_row,release_gate_status,winner_claim_allowed_by_ranking_gate,absolute_genome_size_used,publication_claim_allowed,warning_count
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__auriculatus,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,auriculatus,17,1,mediated_evenness,1,5,4.377808662930575,0.11203943947928052,19.83235411747603,0,1,0.9959572227403881,TRUE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__auriculatus,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,auriculatus,17,2,ltr_only,2,4,20.234755236723146,4.4882918224720125e-4,31.56808857005648,11.735734452580452,0.0028289003088502983,0.002817463695011969,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__auriculatus,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,auriculatus,17,3,additive_composition,1,5,19.103950858764755,7.106074883345137e-5,34.55849631331021,14.726142195834178,6.342476289038052e-4,6.316835070127101e-4,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__auriculatus,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,auriculatus,17,4,evenness_only,2,4,23.48175952169533,1.0143787071548171e-4,34.81509285502867,14.982738737552637,5.578784957887679e-4,5.556231172923666e-4,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__auriculatus,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,auriculatus,17,5,proxy_null,3,3,32.33358187972067,1.4082226999945213e-5,40.179735725874515,20.347381608398486,3.816121759760247e-5,3.800694029489978e-5,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__bairdi,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,bairdi,17,1,mediated_evenness,1,5,3.9671937892543596,0.1375735088889425,19.421739243799813,0,1,0.9968592225626032,TRUE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__bairdi,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,bairdi,17,2,ltr_only,2,4,20.32760147611641,4.302585412846449e-4,31.660934809449742,12.23919556564993,0.0021993403976448963,0.002192432758946818,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__bairdi,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,bairdi,17,3,evenness_only,2,4,23.527102473657358,9.934045306581041e-5,34.860435806990694,15.43869656319088,4.441499703099609e-4,4.427549941043909e-4,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__bairdi,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,bairdi,17,4,additive_composition,1,5,19.559908684403,5.657437904993401e-5,35.01445413894845,15.592714895148639,4.112301816451848e-4,4.09938599169097e-4,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__bairdi,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,bairdi,17,5,proxy_null,3,3,30.078900991300166,3.797374848635293e-5,37.92505483745401,18.5033155936542,9.59524504679692e-5,9.565108517647646e-5,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__campi,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,campi,17,1,mediated_evenness,1,5,4.05753771614548,0.13149731338928727,19.512083170690932,0,1,0.9972021300199719,TRUE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__campi,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,campi,17,2,ltr_only,2,4,20.629491638865808,3.749795733156702e-4,31.962824972199144,12.450741801508212,0.0019785898187858163,0.0019730539817290464,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
