trait,trait_label,trait_units,n_species,pearson_r,pearson_permutation_p,pearson_bootstrap_ci_low,pearson_bootstrap_ci_high,spearman_rho,spearman_permutation_p,spearman_bootstrap_ci_low,spearman_bootstrap_ci_high
genome,Genome size,pg,20,0.0722939908714806,0.7507124643767812,-0.2571951750799864,0.5304337353963217,0.2634551923967811,0.26363681815909207,-0.19298481796958467,0.6324665316605675
cell,Cell area,µm²,20,0.2482560327144148,0.29893505324733766,-0.2848921452702319,0.5599396996004495,0.2243132780978308,0.3408329583520824,-0.30099763760307635,0.636089527894293
nucleus,Nucleus area,µm²,20,0.18273086195081115,0.4438278086095695,-0.1458592125314898,0.5336032280961565,0.2830261495462563,0.2232388380580971,-0.17511136905521932,0.6212722471382721
