Specimen,Museum,Species,Clade,State,County,LatDD,LongDD,SVL,TL,AG,CW,FL,HL,SG,TW,TO,FI,HW,ED,IN,ES,ON,IO,IC
RAP2752,,campi,conanti A,Georgia,Burke,33.086003,-81.763556,35.30,37.08,19.60,5.03,3.15,2.48,8.00,3.91,2.42,1.15,5.17,2.02,1.85,1.82,1.06,1.33,2.40
RAP2753,,campi,conanti A,Georgia,Burke,33.086003,-81.763556,47.52,49.14,25.15,6.92,4.03,3.22,10.76,5.05,3.16,1.62,7.47,2.38,2.59,2.65,1.80,2.11,3.22
RAP2754,,campi,conanti A,Georgia,Burke,33.086003,-81.763556,56.98,40.40,30.49,8.41,3.94,3.68,12.58,5.66,3.02,1.46,8.61,2.86,2.95,3.34,2.24,2.43,3.82
RAP2756,,campi,conanti A,Georgia,McDuffie,33.642196,-82.516722,20.18,18.57,10.97,2.80,2.07,1.77,4.90,1.70,1.40,0.65,3.48,1.54,1.29,1.26,0.63,0.90,1.50
RAP2757,,campi,conanti A,Georgia,McDuffie,33.642196,-82.516722,32.73,23.68,17.88,4.71,2.68,2.64,7.49,3.36,2.29,1.01,5.09,2.10,1.75,1.67,0.94,1.04,2.17
RAP2758,,campi,conanti A,Georgia,McDuffie,33.642196,-82.516722,46.15,30.18,25.67,6.64,3.84,3.45,10.06,5.35,3.07,1.76,6.84,2.38,2.48,2.52,1.45,1.61,3.15
RAP3065,,campi,conanti A,North Carolina,Transylvania,35.103265,-82.692746,16.57,11.28,8.95,2.42,1.36,1.41,4.16,1.59,1.03,0.60,2.98,1.29,1.03,1.14,0.70,0.74,1.48
RAP3066,,campi,conanti A,North Carolina,Transylvania,35.103265,-82.692746,29.02,15.46,15.73,3.99,1.95,2.32,6.64,2.83,2.10,1.06,4.51,1.95,1.57,1.63,0.99,1.23,2.07
RAP3067,,campi,conanti A,North Carolina,Transylvania,35.103265,-82.692746,29.04,24.21,15.70,3.96,2.47,2.51,7.06,2.55,2.07,1.04,4.61,1.93,1.68,1.93,1.20,1.45,2.24
RAP3068,,campi,conanti A,North Carolina,Transylvania,35.103265,-82.692746,32.78,26.50,18.28,4.09,2.64,2.65,7.43,2.46,2.25,1.12,4.65,1.84,1.72,1.86,1.23,1.21,2.33
RAP3069,,campi,conanti A,North Carolina,Transylvania,35.082816,-82.765551,18.23,14.93,9.19,2.61,1.43,1.65,4.25,1.61,1.26,0.67,3.07,1.37,1.07,1.26,0.74,0.66,1.59
RAP3070,,campi,conanti A,North Carolina,Transylvania,35.082816,-82.765551,42.00,35.11,23.35,5.83,3.52,3.12,9.48,4.42,2.69,1.42,6.13,2.14,2.59,2.59,1.68,1.75,2.78
RAP1484,BMNH 2021.7569,conanti,conanti B,Mississippi,Franklin,31.426,-90.98507,46.79,34.58,25.20,6.50,3.69,3.11,10.27,4.36,2.67,1.31,7.01,2.68,2.60,2.17,1.27,1.82,3.03
RAP1485,,conanti,conanti B,Mississippi,Franklin,31.426,-90.98507,53.05,45.36,29.06,8.66,4.10,3.36,11.76,6.30,2.96,1.70,8.78,2.95,3.25,3.60,2.50,2.74,4.03
RAP1486,MNHN-RA 2021.0150,conanti,conanti B,Mississippi,Franklin,31.426,-90.98507,44.82,38.11,24.66,6.73,4.03,3.87,10.06,4.83,3.17,1.36,6.86,2.49,2.55,2.88,1.86,1.91,3.28
RAP1487,,conanti,conanti B,Mississippi,Franklin,31.426,-90.98507,50.30,39.70,26.72,7.91,3.81,3.51,11.81,5.60,2.83,1.50,7.83,2.68,2.64,3.09,2.04,2.08,3.65
RAP1488,,conanti,conanti B,Mississippi,Franklin,31.426,-90.98507,49.77,26.42,27.48,7.47,4.31,3.38,10.88,5.50,2.74,1.61,7.93,2.80,2.89,3.07,1.85,2.02,3.47
RAP1489,,conanti,conanti B,Mississippi,Franklin,31.426,-90.98507,43.52,32.56,24.71,5.50,3.11,3.68,8.85,3.63,2.20,0.92,6.49,2.54,2.32,2.16,1.09,1.91,2.85
RAP1490,,conanti,conanti B,Mississippi,Amite,31.160439,-90.843299,57.83,36.97,32.61,8.49,4.28,4.16,12.44,5.80,3.31,1.59,8.44,2.92,3.11,3.36,2.14,2.08,3.59
RAP1544,,conanti,conanti B,Mississippi,Warren,32.430812,-90.724281,42.69,36.84,23.55,6.34,3.62,3.25,9.10,4.05,3.09,1.85,6.58,2.27,2.46,2.26,1.35,2.00,3.10
RAP1545,,conanti,conanti B,Mississippi,Warren,32.430812,-90.724281,49.65,42.21,28.20,6.60,4.67,3.39,9.90,4.54,2.90,1.81,6.67,2.60,2.60,2.37,1.49,1.85,3.21
RAP1546,,conanti,conanti B,Mississippi,Warren,32.430812,-90.724281,49.57,41.82,28.12,6.88,4.63,3.17,10.24,5.58,2.98,1.93,7.51,2.77,2.76,2.12,1.31,2.11,3.00
RAP2204,,conanti,conanti B,Mississippi,Amite,31.156414,-90.840551,40.99,46.64,22.80,6.23,4.64,3.26,8.52,5.53,2.64,1.26,6.66,1.81,2.63,2.34,1.05,1.99,3.56
RAP2205,,conanti,conanti B,Mississippi,Amite,31.156414,-90.840551,53.25,46.02,28.44,8.20,4.51,3.74,11.03,6.00,2.91,1.90,8.63,2.65,3.47,2.59,1.15,2.24,3.88
RAP2206,,conanti,conanti B,Mississippi,Amite,31.156414,-90.840551,43.72,46.18,25.15,6.72,3.90,3.25,8.48,4.38,2.68,1.29,6.54,2.14,2.40,2.10,1.08,1.69,3.10
RAP2207,,conanti,conanti B,Mississippi,Amite,31.156414,-90.840551,39.39,43.32,21.47,5.59,4.17,3.16,8.79,4.66,2.38,1.27,6.17,1.73,2.79,2.66,1.33,1.85,3.31
RAP2989,,conanti,conanti B,Louisiana,West Feliciana,30.942675,-91.516697,46.93,39.71,26.53,6.27,3.22,3.55,9.63,4.36,2.95,1.58,6.49,2.20,2.27,2.56,1.62,1.84,3.36
RAP2990,,conanti,conanti B,Louisiana,West Feliciana,30.944275,-91.517328,32.65,33.33,17.78,4.22,3.44,2.70,7.73,2.95,2.30,1.31,5.23,1.94,2.04,2.09,1.24,1.39,2.62
RAP2991,,conanti,conanti B,Louisiana,West Feliciana,30.944275,-91.517328,34.04,31.13,18.81,4.65,2.92,2.78,7.85,2.91,2.07,1.24,5.30,2.05,1.84,2.12,1.30,1.65,2.57
RAP2992,,conanti,conanti B,Louisiana,West Feliciana,30.944275,-91.517328,42.93,46.43,23.97,5.90,3.60,3.39,9.47,4.15,2.83,1.48,6.25,2.24,2.14,2.57,1.68,1.94,3.20
RAP2993,,conanti,conanti B,Louisiana,West Feliciana,30.944275,-91.517328,50.00,50.11,26.94,7.29,3.52,3.73,11.20,5.43,3.12,1.89,7.54,2.38,2.74,3.04,1.98,2.15,3.67
RAP0830,,tilleyi,conanti Beta,North Carolina,Haywood,35.7557385,-82.9973467,45.30,10.81,24.18,6.15,4.26,3.18,9.87,4.87,3.14,1.62,6.61,2.25,2.30,2.90,1.95,1.97,3.29
RAP0833,,tilleyi,conanti Beta,North Carolina,Haywood,35.7646218,-82.976684,46.19,35.09,24.78,6.93,2.90,2.18,10.54,5.02,2.57,1.76,6.76,2.38,2.36,2.39,1.48,1.75,3.25
RAP0835,,tilleyi,conanti Beta,North Carolina,Haywood,35.7612744,-82.9792612,48.30,45.66,25.46,6.61,3.93,2.37,10.95,5.12,3.14,1.66,7.31,2.58,2.55,3.16,2.01,2.16,3.62
RAP1931,,tilleyi,conanti Beta,Tennessee,Cocke,35.897256,-83.143416,42.82,36.01,24.53,6.46,3.78,2.85,9.01,4.96,2.80,1.47,6.39,2.33,2.16,2.37,1.45,1.88,3.19
RAP1934,,tilleyi,conanti Beta,Tennessee,Cocke,35.78725,-83.10235,22.36,21.76,11.64,2.84,2.05,1.78,5.61,2.14,1.21,0.60,3.71,1.61,1.64,1.30,0.67,0.92,1.77
RAP1935,BMNH 2021.757,tilleyi,conanti Beta,Tennessee,Cocke,35.78725,-83.10235,34.70,37.42,18.44,4.47,3.47,2.96,7.74,3.14,2.24,1.27,5.42,1.92,1.87,2.13,1.37,1.44,2.43
RAP1936,,tilleyi,conanti Beta,Tennessee,Cocke,35.78725,-83.10235,39.08,40.00,20.49,5.09,3.47,2.44,9.38,4.33,2.58,1.38,6.04,2.23,2.41,2.23,1.48,1.47,2.65
RAP1941,NCSM 109130,tilleyi,conanti Beta,North Carolina,Madison,35.82404,-82.93764,22.77,20.67,12.47,2.92,1.91,1.77,5.52,2.07,1.36,0.70,3.80,1.56,1.40,1.46,0.82,0.95,1.89
RAP1942,MNHN-RA 2021.0159,tilleyi,conanti Beta,North Carolina,Madison,35.82404,-82.93764,35.09,31.89,19.19,4.94,3.72,2.89,7.80,3.31,2.14,1.37,5.47,2.01,2.17,1.82,1.32,1.33,2.28
RAP1943,AMNH A-193893,tilleyi,conanti Beta,North Carolina,Madison,35.82404,-82.93764,36.97,36.13,20.50,5.17,3.61,3.17,8.55,4.27,1.87,1.43,5.52,1.85,2.20,2.24,1.44,1.50,2.67
RAP2284,,tilleyi,conanti Beta,Tennessee,Cocke,35.78725,-83.10235,26.64,22.36,13.92,3.76,2.39,2.09,6.71,2.76,1.68,0.94,4.26,1.65,1.70,1.53,0.83,1.29,2.12
RAP2285,,tilleyi,conanti Beta,Tennessee,Cocke,35.78725,-83.10235,32.94,37.01,18.18,4.31,2.73,2.58,7.42,3.16,2.18,0.99,4.77,1.95,1.47,1.68,1.10,1.47,2.39
RAP2286,,tilleyi,conanti Beta,Tennessee,Cocke,35.78725,-83.10235,35.14,18.93,19.36,4.48,2.77,2.12,8.04,3.02,2.25,1.09,5.13,2.07,1.82,2.01,1.20,1.53,2.57
RAP2669,,tilleyi,conanti Beta,North Carolina,Haywood,35.681938,-83.028033,35.38,47.09,19.70,4.74,3.07,3.05,7.86,3.54,2.35,1.11,5.23,1.84,2.10,1.87,1.20,1.68,2.76
RAP2670,,tilleyi,conanti Beta,North Carolina,Haywood,35.681938,-83.028033,38.42,39.63,21.25,4.95,3.16,3.13,9.10,3.65,2.51,1.38,5.50,2.03,2.43,2.44,1.49,1.78,3.13
RAP2671,,tilleyi,conanti Beta,North Carolina,Haywood,35.681938,-83.028033,42.82,48.09,24.04,5.97,3.07,3.33,9.57,4.66,2.67,1.46,6.12,2.24,2.53,2.53,1.48,2.00,3.26
RAP2673,,tilleyi,conanti Beta,North Carolina,Haywood,35.683407,-83.046534,23.06,23.67,12.20,3.04,2.05,1.88,5.68,1.97,1.55,0.74,3.81,1.75,1.39,1.36,0.83,1.02,1.77
RAP2674,,tilleyi,conanti Beta,North Carolina,Haywood,35.683407,-83.046534,37.01,27.78,19.83,4.74,3.38,2.75,9.24,3.21,2.44,1.33,5.27,2.12,2.14,2.23,1.41,1.65,2.89
RAP2682,,tilleyi,conanti Beta,North Carolina,Haywood,35.76574,-82.99596,35.59,11.82,19.38,4.81,2.77,2.99,8.42,3.21,2.58,1.37,5.37,2.08,2.06,2.31,1.49,1.63,2.93
RAP2683,,tilleyi,conanti Beta,North Carolina,Haywood,35.76574,-82.99596,23.28,26.30,12.53,3.11,2.09,2.14,6.04,1.97,1.62,0.79,3.76,1.60,1.52,1.69,0.93,1.08,2.05
RAP2684,,tilleyi,conanti Beta,North Carolina,Haywood,35.76574,-82.99596,26.55,24.99,14.62,3.41,2.43,2.37,5.96,2.20,1.92,1.08,4.04,1.49,1.77,1.38,0.83,1.17,2.09
RAP2685,,tilleyi,conanti Beta,North Carolina,Haywood,35.76574,-82.99596,31.87,34.14,17.15,3.92,3.05,2.16,7.37,3.07,2.34,1.14,4.59,1.81,1.65,1.67,0.98,1.27,2.31
RAP2688,,tilleyi,conanti Beta,North Carolina,Madison,35.793351,-82.962035,20.06,18.10,10.56,2.84,1.73,1.75,5.24,1.74,1.25,0.63,3.48,1.49,1.37,1.33,0.76,1.11,1.82
RAP2689,,tilleyi,conanti Beta,North Carolina,Madison,35.793351,-82.962035,36.67,40.57,20.14,4.78,3.13,3.11,8.55,3.55,2.02,1.30,5.27,1.92,2.06,2.12,1.32,1.51,2.81
RAP2690,,tilleyi,conanti Beta,North Carolina,Madison,35.793351,-82.962035,36.55,37.24,20.82,4.59,2.87,2.97,8.10,3.54,2.12,1.18,5.09,2.08,2.22,2.07,1.22,1.49,2.69
RAP2856,,tilleyi,conanti Beta,North Carolina,Madison,35.82404,-82.93764,45.86,49.59,26.01,5.90,4.31,3.31,9.52,4.65,3.13,1.62,6.46,2.33,2.61,2.54,1.44,1.89,3.47
RAP2857,,tilleyi,conanti Beta,North Carolina,Madison,35.82404,-82.93764,51.67,47.38,28.44,7.39,5.03,2.82,10.68,5.77,3.21,1.70,7.86,2.54,3.22,3.72,2.36,2.41,4.36
RAP3007,,tilleyi,conanti Beta,Tennessee,Cocke,35.78725,-83.10235,41.47,45.44,23.07,5.50,4.20,3.28,8.72,4.43,2.60,1.49,5.59,2.06,2.02,2.72,1.82,2.04,3.28
RAP3008,,tilleyi,conanti Beta,Tennessee,Cocke,35.78725,-83.10235,39.11,55.42,21.51,5.54,3.27,2.87,7.77,4.55,2.72,1.46,5.73,2.09,2.34,2.44,1.42,1.69,3.10
RAP3009,,tilleyi,conanti Beta,Tennessee,Cocke,35.78725,-83.10235,35.52,43.73,19.82,4.80,2.99,2.94,7.82,3.72,2.17,1.40,5.21,2.11,1.87,1.96,1.19,1.51,2.71
RAP3010,,tilleyi,conanti Beta,Tennessee,Cocke,35.78725,-83.10235,35.56,43.15,19.83,4.64,3.30,2.97,7.40,3.81,2.34,1.24,5.22,2.00,1.88,2.18,1.31,1.41,2.89
RAP3011,,tilleyi,conanti Beta,Tennessee,Cocke,35.78725,-83.10235,33.76,44.07,18.56,4.83,3.11,3.15,7.61,3.72,2.32,1.37,5.14,2.21,2.00,2.24,1.50,1.37,2.39
RAP0695,MNHN-RA 2021.0119,conanti,conanti C,Florida,Santa Rosa,30.580289,-86.80121,37.29,31.83,20.59,5.57,3.22,1.92,8.58,3.70,2.76,1.48,6.12,2.73,1.94,1.74,1.18,1.59,2.38
RAP0696,,conanti,conanti C,Florida,Santa Rosa,30.580289,-86.80121,39.07,17.21,21.19,5.32,2.85,2.96,8.86,3.85,2.72,0.90,6.34,2.47,2.18,2.06,1.19,1.39,2.62
RAP0697,,conanti,conanti C,Florida,Santa Rosa,30.580289,-86.80121,29.20,11.42,16.22,3.97,2.12,1.77,6.45,2.60,2.03,1.07,4.84,1.88,1.37,1.16,0.84,1.19,1.83
RAP0698,,conanti,conanti C,Florida,Santa Rosa,30.580289,-86.80121,34.25,13.34,17.72,4.80,2.98,1.93,8.31,3.55,2.00,1.00,5.23,2.20,1.81,1.87,1.24,1.59,2.25
RAP0699,BMNH 2021.7571,conanti,conanti C,Florida,Escambia,30.934575,-87.345964,45.64,35.55,25.43,7.24,3.30,2.74,9.71,5.51,3.02,1.32,7.14,2.62,2.61,2.55,1.81,1.94,3.04
RAP0700,,conanti,conanti C,Florida,Escambia,30.934575,-87.345964,46.11,38.24,24.06,6.72,3.06,2.31,10.13,4.92,3.04,1.68,6.59,2.37,2.17,2.23,1.70,1.91,2.97
RAP0701,,conanti,conanti C,Florida,Escambia,30.934575,-87.345964,44.64,25.68,24.33,7.22,5.44,3.07,9.60,5.29,3.18,1.12,6.98,2.26,2.14,2.39,1.60,1.87,2.85
RAP0702,,conanti,conanti C,Florida,Escambia,30.934575,-87.345964,24.51,14.42,13.11,3.17,1.51,1.91,5.92,1.89,1.69,0.60,4.03,1.71,1.31,1.19,0.86,1.08,1.72
RAP0703,,conanti,conanti C,Florida,Washington,30.487481,-85.843486,24.90,14.57,13.20,3.27,2.40,1.77,6.00,2.16,1.78,0.66,4.18,1.56,1.38,1.42,0.85,1.05,1.89
RAP0704,,conanti,conanti C,Florida,Washington,30.487481,-85.843486,42.59,19.03,21.95,6.47,2.90,1.57,9.22,4.93,2.70,1.21,6.48,2.30,1.89,2.38,1.75,2.08,3.24
RAP0705,,conanti,conanti C,Florida,Washington,30.487481,-85.843486,37.78,25.97,20.97,5.67,2.45,1.65,7.75,4.32,2.46,0.92,5.69,2.01,1.65,1.93,1.37,1.27,2.38
RAP0706,,conanti,conanti C,Florida,Washington,30.487481,-85.843486,46.40,41.43,25.10,7.03,3.33,1.37,9.97,5.31,2.65,1.73,6.95,2.28,2.18,2.62,1.90,1.83,3.40
RAP1017,,conanti,conanti C,Alabama,Butler,31.5539892,-86.8317677,42.55,37.86,23.69,6.40,3.85,2.94,9.07,5.16,3.03,1.81,6.96,2.29,2.12,2.81,1.96,1.75,3.25
RAP1018,,conanti,conanti C,Alabama,Butler,31.5539892,-86.8317677,51.52,42.78,27.41,8.00,4.63,3.27,11.04,5.98,3.84,1.58,8.16,2.79,3.01,3.43,2.39,1.95,3.70
RAP1019,,conanti,conanti C,Alabama,Monroe,31.7361168,-87.0663362,31.02,25.57,16.13,4.18,3.13,2.68,7.21,3.13,2.15,1.12,5.44,2.15,1.91,2.01,1.24,1.39,2.40
RAP1020,,conanti,conanti C,Alabama,Monroe,31.7361168,-87.0663362,26.33,19.03,14.57,3.53,2.27,1.84,6.21,2.49,1.85,0.87,4.55,1.80,1.50,1.57,0.91,1.10,2.09
RAP1021,,conanti,conanti C,Alabama,Monroe,31.7361168,-87.0663362,30.81,21.78,15.93,3.94,2.62,2.49,7.44,2.76,2.37,1.09,5.01,2.11,1.64,1.83,1.10,1.50,2.54
RAP1022,,conanti,conanti C,Alabama,Monroe,31.7361168,-87.0663362,32.61,25.06,16.79,4.54,2.85,1.56,7.79,3.45,2.26,1.20,5.29,2.09,1.85,1.89,1.04,1.47,2.39
RAP1023,,conanti,conanti C,Alabama,Monroe,31.7361168,-87.0663362,45.37,17.90,24.26,6.19,3.32,2.49,9.83,4.30,2.67,1.44,7.04,2.21,2.11,2.66,1.70,1.71,3.31
RAP1024,,conanti,conanti C,Alabama,Monroe,31.7361168,-87.0663362,48.00,26.73,25.58,7.01,5.37,2.97,10.38,5.07,3.31,1.91,7.43,2.76,2.77,2.86,1.53,1.99,3.48
RAP1025,,conanti,conanti C,Alabama,Monroe,31.7160201,-87.0930812,28.89,19.81,15.25,3.87,2.97,1.53,6.96,2.84,2.07,1.14,4.80,1.87,1.67,1.87,1.07,1.37,2.54
RAP1026,,conanti,conanti C,Alabama,Monroe,31.7160201,-87.0930812,31.29,25.42,17.31,4.32,2.94,2.56,7.36,3.23,2.43,1.30,5.26,2.02,1.68,2.03,1.19,1.35,2.53
RAP1027,,conanti,conanti C,Alabama,Monroe,31.7160201,-87.0930812,47.76,34.77,26.40,5.73,3.15,2.73,9.92,3.91,3.15,1.42,6.54,2.66,2.17,2.06,1.22,1.63,2.97
RAP1028,,conanti,conanti C,Alabama,Monroe,31.7160201,-87.0930812,34.90,20.63,18.93,5.22,3.74,2.59,7.54,3.51,2.57,1.43,5.81,2.24,1.64,1.84,1.30,1.42,2.49
RAP1029,,conanti,conanti C,Alabama,Monroe,31.7160201,-87.0930812,34.19,23.94,17.77,4.71,2.38,2.57,8.27,3.37,2.53,1.25,5.74,2.29,1.90,2.04,1.29,1.46,2.45
RAP1040,USNM 596047,conanti,conanti C,Alabama,Clarke,31.4301591,-87.8783502,36.00,30.87,18.88,4.90,2.68,2.93,8.45,3.65,2.77,1.57,5.80,2.25,2.19,2.37,1.54,1.61,2.94
RAP1041,,conanti,conanti C,Mississippi,Jackson,30.5643774,-88.626655,24.45,18.11,13.14,3.39,2.14,1.50,6.13,2.29,1.70,0.88,4.31,1.77,1.38,1.58,0.98,0.93,1.96
RAP1042,,conanti,conanti C,Mississippi,Jackson,30.5643774,-88.626655,25.91,19.70,14.16,3.49,2.42,1.85,6.54,2.54,1.85,0.89,4.54,1.88,1.35,1.67,1.07,1.07,2.12
RAP1043,,conanti,conanti C,Mississippi,Jackson,30.5643774,-88.626655,39.23,27.74,22.20,5.40,3.32,2.13,8.67,3.72,2.57,1.46,5.91,2.29,1.82,1.98,1.30,1.43,2.70
RAP1044,,conanti,conanti C,Mississippi,Jackson,30.5643774,-88.626655,34.07,27.27,18.01,4.94,2.73,2.63,7.78,4.02,2.17,1.13,5.88,2.38,1.92,2.09,1.27,1.40,2.58
RAP1045,,conanti,conanti C,Mississippi,Jackson,30.5643774,-88.626655,40.07,18.73,22.90,5.10,2.73,2.28,8.59,3.81,2.02,0.89,6.24,2.48,1.83,2.22,1.26,1.62,2.57
RAP1046,USNM 596048,conanti,conanti C,Mississippi,Jackson,30.568112,-88.627874,46.42,27.30,25.05,6.28,3.49,2.72,10.00,4.75,3.00,1.77,7.14,2.55,2.33,3.05,2.10,2.05,3.34
RAP1073,,conanti,conanti C,Alabama,Shelby,33.221292,-86.8880194,32.87,20.27,16.88,4.96,2.72,1.76,7.87,3.72,2.22,1.56,5.93,2.43,2.00,1.75,1.04,1.45,2.49
RAP1074,,conanti,conanti C,Alabama,Shelby,33.221292,-86.8880194,35.03,24.40,18.56,5.20,3.29,2.67,7.90,3.93,2.15,1.33,5.82,2.11,2.12,2.50,1.51,1.71,2.92
RAP1108,AMNH 193773,conanti,conanti C,Alabama,Clarke,31.666345,-87.642268,48.35,35.79,25.42,7.38,4.77,2.90,10.28,5.92,3.38,1.86,8.03,3.13,2.87,3.35,2.30,2.12,3.16
RAP1114,,conanti,conanti C,Alabama,Macon,32.478731,-85.604132,32.03,18.36,17.43,4.85,2.84,1.80,6.90,3.26,2.37,1.14,5.07,2.04,1.83,1.34,0.70,1.29,2.08
RAP1115,,conanti,conanti C,Alabama,Macon,32.510493,-85.584098,35.99,25.72,19.93,6.38,3.68,2.79,7.50,5.14,2.93,1.50,6.08,2.36,2.18,2.23,1.36,1.61,2.69
RAP1116,,conanti,conanti C,Alabama,Macon,32.510493,-85.584098,50.20,25.76,26.10,7.89,3.58,3.53,12.14,7.01,3.33,1.99,7.84,2.62,2.79,3.21,2.22,2.11,3.36
RAP1117,,conanti,conanti C,Alabama,Macon,32.510493,-85.584098,52.26,32.11,28.19,7.78,4.72,3.07,11.34,7.06,3.36,2.09,8.23,2.77,2.85,3.07,1.75,2.24,3.55
RAP1127,,conanti,conanti C,Alabama,Tallapoosa,32.594521,-85.884796,44.84,33.12,22.84,6.86,4.40,2.34,9.81,5.97,3.52,1.89,7.37,2.81,2.70,2.42,1.57,1.84,2.99
RAP1129,,conanti,conanti C,Alabama,Monroe,31.742852,-87.368765,47.11,32.37,25.99,6.70,4.35,3.63,9.94,5.29,3.51,1.71,6.65,2.67,2.30,1.82,1.03,1.56,2.67
RAP1130,,conanti,conanti C,Alabama,Monroe,31.742852,-87.368765,49.34,25.28,26.47,7.19,4.24,3.15,11.00,5.21,2.98,1.60,7.79,2.89,2.85,2.63,1.78,2.06,3.17
RAP1131,,conanti,conanti C,Alabama,Monroe,31.742852,-87.368765,48.21,30.24,25.86,6.99,3.90,3.65,11.18,5.21,3.59,1.96,7.75,2.73,2.91,2.54,1.38,2.12,3.18
RAP1132,,conanti,conanti C,Alabama,Monroe,31.742852,-87.368765,43.36,24.49,24.59,6.42,4.37,2.35,8.97,4.71,3.09,1.76,6.56,2.67,2.08,2.18,1.33,1.71,2.58
RAP1133,,conanti,conanti C,Alabama,Monroe,31.742852,-87.368765,30.29,23.13,15.78,4.62,3.78,2.03,7.10,3.29,2.33,0.85,5.20,2.13,1.73,1.60,1.02,1.14,2.14
RAP1138,,conanti,conanti C,Alabama,Perry,32.614174,-87.079536,37.60,30.30,21.32,6.31,3.10,3.39,8.36,4.94,3.00,1.40,6.58,2.20,2.32,2.55,1.47,1.58,2.65
RAP1147,,conanti,conanti C,Alabama,Jefferson,33.701231,-86.691672,37.61,26.79,20.38,6.47,2.96,2.54,7.86,5.35,2.61,1.53,6.52,2.27,2.03,1.78,1.08,1.36,2.30
RAP1148,,conanti,conanti C,Alabama,Jefferson,33.701231,-86.691672,51.65,33.21,28.37,8.64,3.75,2.71,11.62,6.84,2.95,1.62,9.07,2.54,3.03,2.59,1.43,2.19,3.87
RAP1149,,conanti,conanti C,Alabama,Jefferson,33.701231,-86.691672,51.83,33.71,28.50,9.30,5.30,3.59,11.80,7.25,3.68,2.24,8.74,2.64,3.56,3.07,1.78,2.39,4.01
RAP1402,,conanti,conanti C,Alabama,Bibb,32.96612,-87.31616,20.34,10.90,10.74,3.20,2.00,1.66,4.92,2.23,1.30,0.74,3.91,1.49,1.46,1.18,0.53,1.19,1.74
RAP1494,,conanti,conanti C,Louisiana,Tangipahoa,30.807422,-90.382983,34.41,29.98,18.80,5.66,3.18,2.47,7.52,3.89,2.33,1.23,6.00,2.02,1.95,2.27,1.56,1.48,2.43
RAP1495,,conanti,conanti C,Louisiana,Tangipahoa,30.807422,-90.382983,38.13,31.65,20.78,6.05,3.22,3.54,8.13,4.42,1.93,1.37,6.46,2.34,2.23,2.37,1.46,1.65,2.81
RAP1496,,conanti,conanti C,Louisiana,Tangipahoa,30.807422,-90.382983,50.45,38.12,28.51,7.32,3.25,3.88,11.26,5.78,2.80,1.35,7.66,2.43,2.90,2.75,1.83,1.76,3.29
RAP1572,,conanti,conanti C,Mississippi,Marion,31.32674,-89.94323,28.22,18.30,15.31,3.61,2.50,2.42,6.75,2.45,2.08,1.03,4.78,2.02,1.81,1.53,0.95,1.32,2.02
RAP1573,,conanti,conanti C,Mississippi,Marion,31.32674,-89.94323,34.60,19.57,18.31,4.53,3.17,2.47,8.35,3.13,2.45,1.28,5.44,2.26,2.03,2.01,1.20,1.43,2.49
RAP1574,,conanti,conanti C,Mississippi,Marion,31.32674,-89.94323,34.03,21.58,18.33,4.86,3.51,2.65,7.59,3.32,2.53,1.38,5.51,2.20,2.06,1.77,1.10,1.33,2.33
RAP1575,,conanti,conanti C,Mississippi,Marion,31.32674,-89.94323,37.77,21.04,20.46,5.10,3.44,2.67,8.68,3.61,2.81,1.00,6.10,2.45,2.03,2.15,1.31,1.81,2.66
RAP1576,,conanti,conanti C,Mississippi,Marion,31.32674,-89.94323,38.64,28.44,21.42,5.80,3.70,3.10,8.75,4.18,2.51,1.37,6.09,2.46,2.17,1.85,1.08,1.52,2.58
RAP2013,,conanti,conanti C,Alabama,Tuscaloosa,33.257972,-87.374396,27.08,26.13,14.49,3.99,2.36,2.29,6.63,2.93,1.70,1.16,4.86,1.89,1.83,1.61,0.65,1.12,2.15
RAP2017,,conanti,conanti C,Alabama,Elmore,32.625892,-86.245568,33.16,37.32,17.11,5.42,4.26,3.11,8.19,3.80,2.51,1.23,5.86,1.90,2.43,2.53,1.47,1.36,2.84
RAP2018,,conanti,conanti C,Alabama,Elmore,32.625892,-86.245568,49.73,47.16,27.13,8.95,4.39,3.69,11.05,7.95,2.32,1.76,8.60,2.57,3.36,3.24,1.78,2.60,4.37
RAP2226,,conanti,conanti C,Alabama,Baldwin,30.969257,-87.859049,36.88,39.17,20.02,5.15,3.28,2.71,8.20,3.42,2.30,1.23,5.99,1.95,2.26,2.20,1.44,1.87,2.95
RAP2405,,conanti,conanti C,Alabama,Covington,31.0962,-86.53986,9.72,5.22,4.90,1.14,0.77,1.01,2.56,0.44,0.64,0.47,1.81,0.75,0.74,0.81,0.49,0.32,0.98
RAP2407,,conanti,conanti C,Alabama,Covington,31.0962,-86.53986,32.64,19.71,17.43,4.80,2.90,2.26,7.69,3.80,2.50,1.15,5.28,2.03,1.98,2.09,1.16,1.35,2.50
RAP2408,,conanti,conanti C,Alabama,Covington,31.0962,-86.53986,29.03,32.24,15.86,4.21,2.20,2.37,6.71,3.30,1.95,1.14,4.92,1.93,1.74,1.66,0.94,1.22,2.38
RAP2409,,conanti,conanti C,Alabama,Covington,31.0962,-86.53986,36.48,35.65,19.66,4.86,2.78,2.28,8.28,3.79,2.49,1.34,5.69,2.14,1.94,1.80,1.06,1.51,2.75
