,DIRS,Helitron,LINE,LTR,Maverick,PLE,SINE,TIR,Transposon Derivatives,YR
D.apalachicolae,1.664503321479298,0.16459565703742268,17.788751890209607,61.3098244580161,0.3155658911692147,0.0076002392896559615,1.007558555855225,17.368018692883023,0.20933770445136812,0.16424358960908583
D.carolinensis,1.8338541646590938,0.20058016495588216,17.799344565981936,60.10080866809895,0.21221576667577133,0.007919247315598768,1.077876853038278,18.37112884053975,0.21008388379296578,0.1861878449417774
D.ocoee,1.5774488996969742,0.1683140208100278,17.784917442777896,61.705447650447475,0.38388174699745814,0.005394017692038626,0.9973035590025711,17.042714423826748,0.18142664556712457,0.15315159318167793
D.abditus,1.422396476409308,0.16459158782394845,16.70212657575638,63.78693198311491,0.38732656362221113,0.00830977012011792,0.8246234827669248,16.33465913540212,0.2291376808054799,0.13989674417859607
D.orestes,1.6683664637001647,0.18757039778141993,17.09136369818259,62.08387489060465,0.2862737497845186,0.007334605494522552,1.0182566070767416,17.274715574691502,0.23207285004920408,0.15017116263468708
D.organi,2.8133794904279643,0.19077935305312752,26.378553140237766,51.28045933579541,0.3362064876839138,0.006750581779646714,1.0260911930622751,17.681737195179284,0.1240523550370328,0.1619908677435731
D.pascagoula,0.9942111200339743,0.11956296523121006,15.909321927073886,64.77369167929467,0.5011672150638162,0.004311219481213506,0.7207535483428851,16.71646787407145,0.14966930180063046,0.11084314960625972
D.valentinei,0.9807454334241744,0.1076124120565593,16.062068386660254,64.27106629512491,0.5407651944142184,0.004973576351300824,0.6728312583555305,17.099782719282004,0.14800482873679072,0.11214989559424993
D.aeneus,1.5363837971242391,0.12186809853460387,20.363908620596124,60.05511880637007,0.8860977948720952,0.005902796500560547,0.9515386257034261,15.730321197307134,0.15725760896934143,0.19160265402240262
D.auriculatus,1.0942125314434767,0.11270295836727355,15.258771722063349,64.75484662517069,0.588289730326632,0.003762520784608429,0.7261387085409329,17.169374934065605,0.18813670897360735,0.10376356026381957
D.conanti,1.4555094090120058,0.17051697782376835,18.319438705916177,61.03958175628763,0.30239652768740477,0.006363709874041105,1.0739958844512116,17.2841306290231,0.1971970272392323,0.15086937268542436
D.marmoratus,1.9165829956799239,0.2688001499551712,16.91107756753867,60.33818152280407,0.5265705114921465,0.006342951018224838,1.1027098894742446,18.557939330584258,0.216339254716492,0.15545582673680683
D.monticola,1.5123170724352848,0.17914053495343313,17.640505397195806,61.803233548281696,0.23907066345723663,0.006278470709715402,0.9622737974510618,17.281144661043044,0.21799826575351458,0.15803758871920784
D.santeetlah,1.554650615462204,0.17821316201336984,17.977389728226704,61.234523116711,0.35972207687752406,0.006483249359242899,1.0653551706948745,17.28297139069204,0.185370442857275,0.15532104710576247
D.welteri,1.2807402956380245,0.15073986172578085,17.779305420777682,62.59381371541826,0.5286041288362648,0.006936633294330579,0.877940496054656,16.44843176683308,0.20662509187912323,0.1268625895427954
D.wrighti,2.888072107613878,0.1923242413271974,25.929242756746433,50.699473088170585,0.5341600770471256,0.007201446171270063,1.0957152253116162,18.3683459199685,0.11631521127071656,0.16914992637267007
D.adatsihi,1.813133820293839,0.16806319017401408,17.829576881786764,61.13381657839777,0.3571138563863565,0.010990589593495706,1.0432883261475479,17.25790051336478,0.1922086803125722,0.19390756354286326
D.amphileucus,2.4703653516032573,0.3090392184188019,15.798132414938493,59.84727175923305,0.3709692580531352,0.010052058790672946,1.197205807387068,19.584611876688854,0.2640652979820887,0.14828695690457175
D.fuscus,1.4372898270326195,0.1499901741269681,16.359921687490772,64.69634795975236,0.4976283035455974,0.004573561324586525,0.9211603144384434,15.591698618154833,0.22397201434903521,0.11741753978479097
D.aureatus,2.691028840585978,0.2752045704471742,13.878404434953262,63.38923400225782,0.3893446393986839,0.0070878513604475946,1.134215741386721,17.484154700806975,0.6387084949815498,0.11261672382139051
D.balsameus,1.9435332482433718,0.1685154235661406,17.864075814001477,60.38916213614225,0.34770053616539115,0.014010015155929083,1.0422702578266614,17.881852736209236,0.1828653488756771,0.1660144838138642
D.intermedius,2.1067132756998626,0.24329690964668554,16.36153342025052,61.39731573503512,0.5669587400859042,0.007289031343417985,1.0073365199347384,17.975680995469283,0.1823813415274896,0.1514940310069797
D.cheaha,1.5110457271706381,0.13806095878861438,15.521322108922172,64.12815673402515,0.26245132565167717,0.00580876207401353,0.9738527890738644,17.114760857389307,0.19262714702078823,0.15191358988377085
D.gvnigeusgwotli,2.509054122857364,0.3217249139734046,15.541189973092004,60.402732394285586,0.4994791339875875,0.01326075624176085,1.103973288611963,19.19136100679346,0.2562593626989023,0.16096504745797144
D.kanawha,2.0257914765094642,0.2161647838984509,15.011039774057924,63.42074111083404,0.5418384518746321,0.008657212911616407,1.0142317106475973,17.422619268491914,0.19992358672235533,0.13899262405201918
D.mavrokoilius,2.0946935187906,0.24686652155279185,15.80119413195264,62.45793257550862,0.516847537573589,0.00789191662133943,1.0547596390584244,17.479256962324204,0.20361835918227994,0.13693883743550317
D.perlapsus,1.7754790144973318,0.1605678776431634,18.21870151933642,61.46669274464992,0.40267976503461056,0.004420950997647407,0.9616092031549663,16.655087640485146,0.19578861090529684,0.15897267329549963
D.valtos,1.2632104073418418,0.11255420208426735,14.630578215227906,67.3018680477353,0.5620434576248468,0.0043097433698177385,0.7970948114265899,15.033069191628162,0.18281969103503315,0.11245223252624494
D.anicetus,1.817939366013266,0.17703772824902297,17.890358982287186,60.22117392955989,0.2538304723493523,0.005847912197612095,1.2442760559756283,18.00698517245311,0.21093699659725998,0.17161338431767043
D.bairdi,1.3958902960088928,0.11901604089029237,15.101245241350469,66.57161897296119,0.509552771434277,0.003295083638987475,0.87569499945817,15.113017625675493,0.1944629286368535,0.11620603994537282
D.tilleyi,1.790468937455197,0.17983553677044364,18.530523783548148,59.76727713458329,0.2154460929574637,0.00817512434398078,1.0727286237973612,18.030922068043186,0.2307467682982752,0.1738759302026666
D.campi,1.542703514101561,0.14107448728962488,16.770744404953916,62.44755652849421,0.40201510023495785,0.004475503502368472,1.2911077487360874,17.0893539640559,0.17577620500219482,0.1351925436291771
D.catahoula,1.444297859004361,0.13820824543909616,15.021968941597882,65.40214471193907,0.3345040061230827,0.00677362699177834,0.9404848649226347,16.31501693254538,0.2664095617933207,0.1301912496433972
D.lycos,1.6077812235410427,0.15208029061222691,16.52384251126893,62.411960165204384,0.340803705353288,0.005296812771163468,1.1868132787113972,17.434974762121254,0.19088093790878546,0.14556631250752458
