tree_id,path,sha256,n_tips,n_internal_nodes,root_degree,rooted_by_root_degree,fully_bifurcating,all_branch_lengths_present,all_branch_lengths_positive,minimum_branch_length_myr,maximum_branch_length_myr,root_age_myr,minimum_root_to_tip_myr,maximum_root_to_tip_myr,root_to_tip_range_myr,ultrametric_at_1e_5_myr_tolerance,strict_ultrametric_at_1e_10_myr,duplicate_exact_tip_labels,source_sha256,derivation,maximum_terminal_padding_myr
local_source_46_tip,input_data/phylogeny/desmo900dated_test.tre,1cf561526405c794b70d5767182eefe84dfa1552f9f9c0be6b36c465b19301aa,46,45,2,True,True,True,True,0.257436,25.529739,30.574569,30.574567,30.574569,2.0000000020559128e-06,True,False,False,,,
tracked_processed_34_tip,results/phylogeny/processed_phylogeny.nwk,5a81b7edcc0bf1c035c896051a249c5837ebbbabafdb74c29b3fc03e2f3ad771,34,33,2,True,True,True,True,0.2348488,20.4237912,24.459655200000004,24.459653599999996,24.459655200000004,1.6000000080396148e-06,True,False,False,,,
corrected_final_panel_18_tip,results/data/corrected/phylogeny/desmognathus_time_tree_analysis18_v1.nwk,5dcd3c874636081fe9852747ac0d4d79f68a44ed93d72eff68c6bdba089b40bb,18,17,2,True,True,True,True,0.344797,11.799855,16.708337,16.708337,16.708337,0.0,True,True,False,1cf561526405c794b70d5767182eefe84dfa1552f9f9c0be6b36c465b19301aa,exact_tip_prune_then_terminal_padding_to_max_root_to_tip,2.0000000020559128e-06
