"topology","descendant_species","biological_interpretation"
"focal_only","kanawha;mavrokoilius","clade occurs only in collaborator focal tree"
"published_only","intermedius;marmoratus;mavrokoilius","clade occurs in published main and all 200 bootstrap trees"
