id,decision,decision_source,species,rank,review_key,filename,tile_name
"welteri-1047","keep","initial_default","D. welteri","51","Process_318_raw_green.ome.tiff::tile_y032768_x024576.tiff::43","Process_318_raw_green.ome.tiff","tile_y032768_x024576.tiff"
"welteri-1048","keep","initial_default","D. welteri","52","Process_319_raw_green.ome.tiff::tile_y040960_x020480.tiff::178","Process_319_raw_green.ome.tiff","tile_y040960_x020480.tiff"
"welteri-1049","keep","initial_default","D. welteri","53","Process_319_raw_green.ome.tiff::tile_y000000_x000000.tiff::12","Process_319_raw_green.ome.tiff","tile_y000000_x000000.tiff"
"welteri-1050","keep","initial_default","D. welteri","55","Process_319_raw_green.ome.tiff::tile_y000000_x000000.tiff::8","Process_319_raw_green.ome.tiff","tile_y000000_x000000.tiff"
"aeneus-1051","keep","auto_fill","D. aeneus","1","Process_395_green.ome.tiff::tile_y008192_x040960.tiff::15","Process_395_green.ome.tiff","tile_y008192_x040960.tiff"
"aeneus-1052","keep","auto_fill","D. aeneus","2","Process_393_green.ome.tiff::tile_y065536_x028672.tiff::1","Process_393_green.ome.tiff","tile_y065536_x028672.tiff"
"aeneus-1053","keep","auto_fill","D. aeneus","3","Process_395_green.ome.tiff::tile_y008192_x040960.tiff::1","Process_395_green.ome.tiff","tile_y008192_x040960.tiff"
"aeneus-1054","keep","auto_fill","D. aeneus","4","Process_395_green.ome.tiff::tile_y032768_x004096.tiff::1","Process_395_green.ome.tiff","tile_y032768_x004096.tiff"
"aeneus-1055","keep","auto_fill","D. aeneus","5","Process_395_green.ome.tiff::tile_y024576_x008192.tiff::23","Process_395_green.ome.tiff","tile_y024576_x008192.tiff"
"aeneus-1056","keep","auto_fill","D. aeneus","6","Process_395_green.ome.tiff::tile_y008192_x040960.tiff::7","Process_395_green.ome.tiff","tile_y008192_x040960.tiff"
"aeneus-1057","keep","auto_fill","D. aeneus","7","Process_395_green.ome.tiff::tile_y032768_x004096.tiff::2","Process_395_green.ome.tiff","tile_y032768_x004096.tiff"
"aeneus-1058","keep","auto_fill","D. aeneus","8","Process_395_green.ome.tiff::tile_y040960_x057344.tiff::8","Process_395_green.ome.tiff","tile_y040960_x057344.tiff"
"aeneus-1059","keep","auto_fill","D. aeneus","9","Process_395_green.ome.tiff::tile_y008192_x020480.tiff::1","Process_395_green.ome.tiff","tile_y008192_x020480.tiff"
"aeneus-1060","keep","auto_fill","D. aeneus","10","Process_395_green.ome.tiff::tile_y020480_x016384.tiff::4","Process_395_green.ome.tiff","tile_y020480_x016384.tiff"
"aeneus-1061","keep","auto_fill","D. aeneus","11","Process_393_green.ome.tiff::tile_y008192_x053248.tiff::1","Process_393_green.ome.tiff","tile_y008192_x053248.tiff"
"aeneus-1062","keep","auto_fill","D. aeneus","12","Process_393_green.ome.tiff::tile_y008192_x053248.tiff::4","Process_393_green.ome.tiff","tile_y008192_x053248.tiff"
"aeneus-1063","problem","explicit","D. aeneus","13","Process_395_green.ome.tiff::tile_y040960_x057344.tiff::5","Process_395_green.ome.tiff","tile_y040960_x057344.tiff"
"aeneus-1064","keep","auto_fill","D. aeneus","14","Process_393_green.ome.tiff::tile_y024576_x053248.tiff::1","Process_393_green.ome.tiff","tile_y024576_x053248.tiff"
"aeneus-1065","problem","explicit","D. aeneus","15","Process_395_green.ome.tiff::tile_y024576_x008192.tiff::16","Process_395_green.ome.tiff","tile_y024576_x008192.tiff"
"aeneus-1066","keep","auto_fill","D. aeneus","16","Process_395_green.ome.tiff::tile_y008192_x040960.tiff::9","Process_395_green.ome.tiff","tile_y008192_x040960.tiff"
"aeneus-1067","keep","auto_fill","D. aeneus","17","Process_395_green.ome.tiff::tile_y020480_x016384.tiff::3","Process_395_green.ome.tiff","tile_y020480_x016384.tiff"
"aeneus-1068","keep","auto_fill","D. aeneus","18","Process_395_green.ome.tiff::tile_y020480_x016384.tiff::1","Process_395_green.ome.tiff","tile_y020480_x016384.tiff"
"aeneus-1069","keep","auto_fill","D. aeneus","19","Process_395_green.ome.tiff::tile_y024576_x016384.tiff::2","Process_395_green.ome.tiff","tile_y024576_x016384.tiff"
"aeneus-1070","keep","auto_fill","D. aeneus","20","Process_395_green.ome.tiff::tile_y012288_x012288.tiff::4","Process_395_green.ome.tiff","tile_y012288_x012288.tiff"
"aeneus-1071","keep","auto_fill","D. aeneus","21","Process_395_green.ome.tiff::tile_y024576_x008192.tiff::5","Process_395_green.ome.tiff","tile_y024576_x008192.tiff"
"aeneus-1072","keep","explicit","D. aeneus","22","Process_395_green.ome.tiff::tile_y040960_x057344.tiff::7","Process_395_green.ome.tiff","tile_y040960_x057344.tiff"
"aeneus-1073","keep","auto_fill","D. aeneus","23","Process_395_green.ome.tiff::tile_y012288_x020480.tiff::6","Process_395_green.ome.tiff","tile_y012288_x020480.tiff"
"aeneus-1074","keep","auto_fill","D. aeneus","24","Process_395_green.ome.tiff::tile_y020480_x016384.tiff::5","Process_395_green.ome.tiff","tile_y020480_x016384.tiff"
"aeneus-1075","keep","auto_fill","D. aeneus","25","Process_395_green.ome.tiff::tile_y012288_x020480.tiff::5","Process_395_green.ome.tiff","tile_y012288_x020480.tiff"
"aeneus-1076","keep","auto_fill","D. aeneus","26","Process_393_green.ome.tiff::tile_y040960_x000000.tiff::3","Process_393_green.ome.tiff","tile_y040960_x000000.tiff"
"aeneus-1077","keep","auto_fill","D. aeneus","27","Process_396_green.ome.tiff::tile_y028672_x073728.tiff::1","Process_396_green.ome.tiff","tile_y028672_x073728.tiff"
"aeneus-1078","keep","auto_fill","D. aeneus","28","Process_395_green.ome.tiff::tile_y040960_x036864.tiff::4","Process_395_green.ome.tiff","tile_y040960_x036864.tiff"
"aeneus-1079","keep","auto_fill","D. aeneus","29","Process_395_green.ome.tiff::tile_y040960_x040960.tiff::2","Process_395_green.ome.tiff","tile_y040960_x040960.tiff"
"aeneus-1080","keep","auto_fill","D. aeneus","30","Process_395_green.ome.tiff::tile_y008192_x024576.tiff::3","Process_395_green.ome.tiff","tile_y008192_x024576.tiff"
"aeneus-1081","keep","auto_fill","D. aeneus","31","Process_395_green.ome.tiff::tile_y024576_x008192.tiff::9","Process_395_green.ome.tiff","tile_y024576_x008192.tiff"
"aeneus-1082","problem","explicit","D. aeneus","32","Process_395_green.ome.tiff::tile_y012288_x012288.tiff::2","Process_395_green.ome.tiff","tile_y012288_x012288.tiff"
"aeneus-1083","keep","auto_fill","D. aeneus","33","Process_395_green.ome.tiff::tile_y040960_x040960.tiff::7","Process_395_green.ome.tiff","tile_y040960_x040960.tiff"
"aeneus-1084","problem","explicit","D. aeneus","34","Process_395_green.ome.tiff::tile_y040960_x057344.tiff::9","Process_395_green.ome.tiff","tile_y040960_x057344.tiff"
"aeneus-1085","keep","auto_fill","D. aeneus","35","Process_395_green.ome.tiff::tile_y040960_x040960.tiff::10","Process_395_green.ome.tiff","tile_y040960_x040960.tiff"
"aeneus-1086","keep","auto_fill","D. aeneus","36","Process_395_green.ome.tiff::tile_y028672_x024576.tiff::3","Process_395_green.ome.tiff","tile_y028672_x024576.tiff"
"aeneus-1087","problem","explicit","D. aeneus","37","Process_396_green.ome.tiff::tile_y020480_x045056.tiff::1","Process_396_green.ome.tiff","tile_y020480_x045056.tiff"
"aeneus-1088","problem","explicit","D. aeneus","38","Process_395_green.ome.tiff::tile_y024576_x008192.tiff::20","Process_395_green.ome.tiff","tile_y024576_x008192.tiff"
