id,decision,decision_source,species,rank,review_key,filename,tile_name
"intermedius-0086","keep","implicit_default","D. intermedius","1","Process_336_raw_green.ome.tiff::tile_y040960_x077824.tiff::67","Process_336_raw_green.ome.tiff","tile_y040960_x077824.tiff"
"intermedius-0087","keep","implicit_default","D. intermedius","2","Process_336_raw_green.ome.tiff::tile_y040960_x073728.tiff::58","Process_336_raw_green.ome.tiff","tile_y040960_x073728.tiff"
"intermedius-0088","keep","implicit_default","D. intermedius","3","Process_335_raw_green.ome.tiff::tile_y020480_x065536.tiff::53","Process_335_raw_green.ome.tiff","tile_y020480_x065536.tiff"
"intermedius-0089","keep","implicit_default","D. intermedius","4","Process_336_raw_green.ome.tiff::tile_y040960_x077824.tiff::61","Process_336_raw_green.ome.tiff","tile_y040960_x077824.tiff"
"intermedius-0090","problem","explicit","D. intermedius","5","Process_335_raw_green.ome.tiff::tile_y016384_x032768.tiff::48","Process_335_raw_green.ome.tiff","tile_y016384_x032768.tiff"
"intermedius-0091","problem","explicit","D. intermedius","6","Process_336_raw_green.ome.tiff::tile_y040960_x077824.tiff::81","Process_336_raw_green.ome.tiff","tile_y040960_x077824.tiff"
"intermedius-0092","problem","explicit","D. intermedius","7","Process_336_raw_green.ome.tiff::tile_y040960_x077824.tiff::124","Process_336_raw_green.ome.tiff","tile_y040960_x077824.tiff"
"intermedius-0093","keep","implicit_default","D. intermedius","8","Process_336_raw_green.ome.tiff::tile_y040960_x073728.tiff::32","Process_336_raw_green.ome.tiff","tile_y040960_x073728.tiff"
"intermedius-0094","keep","implicit_default","D. intermedius","9","Process_335_raw_green.ome.tiff::tile_y045056_x049152.tiff::47","Process_335_raw_green.ome.tiff","tile_y045056_x049152.tiff"
"intermedius-0095","keep","implicit_default","D. intermedius","10","Process_336_raw_green.ome.tiff::tile_y040960_x073728.tiff::98","Process_336_raw_green.ome.tiff","tile_y040960_x073728.tiff"
"kanawha-0096","keep","implicit_default","D. kanawha","1","Process_341_raw_green.ome.tiff::tile_y045056_x020480.tiff::161","Process_341_raw_green.ome.tiff","tile_y045056_x020480.tiff"
"kanawha-0097","problem","explicit","D. kanawha","2","Process_341_raw_green.ome.tiff::tile_y036864_x008192.tiff::50","Process_341_raw_green.ome.tiff","tile_y036864_x008192.tiff"
"kanawha-0098","keep","implicit_default","D. kanawha","3","Process_341_raw_green.ome.tiff::tile_y045056_x020480.tiff::200","Process_341_raw_green.ome.tiff","tile_y045056_x020480.tiff"
"kanawha-0099","keep","implicit_default","D. kanawha","4","Process_341_raw_green.ome.tiff::tile_y045056_x020480.tiff::76","Process_341_raw_green.ome.tiff","tile_y045056_x020480.tiff"
"kanawha-0100","keep","implicit_default","D. kanawha","5","Process_339_raw_green.ome.tiff::tile_y028672_x020480.tiff::56","Process_339_raw_green.ome.tiff","tile_y028672_x020480.tiff"
"kanawha-0101","keep","implicit_default","D. kanawha","6","Process_341_raw_green.ome.tiff::tile_y045056_x020480.tiff::29","Process_341_raw_green.ome.tiff","tile_y045056_x020480.tiff"
"kanawha-0102","keep","implicit_default","D. kanawha","7","Process_341_raw_green.ome.tiff::tile_y045056_x020480.tiff::6","Process_341_raw_green.ome.tiff","tile_y045056_x020480.tiff"
"kanawha-0103","problem","explicit","D. kanawha","8","Process_339_raw_green.ome.tiff::tile_y028672_x020480.tiff::124","Process_339_raw_green.ome.tiff","tile_y028672_x020480.tiff"
"kanawha-0104","keep","implicit_default","D. kanawha","9","Process_341_raw_green.ome.tiff::tile_y028672_x057344.tiff::12","Process_341_raw_green.ome.tiff","tile_y028672_x057344.tiff"
"kanawha-0105","problem","explicit","D. kanawha","10","Process_341_raw_green.ome.tiff::tile_y045056_x020480.tiff::179","Process_341_raw_green.ome.tiff","tile_y045056_x020480.tiff"
"kanawha-0106","problem","explicit","D. kanawha","11","Process_341_raw_green.ome.tiff::tile_y036864_x008192.tiff::31","Process_341_raw_green.ome.tiff","tile_y036864_x008192.tiff"
"marmoratus-0107","keep","implicit_default","D. marmoratus","1","Process_333_raw_green.ome.tiff::tile_y053248_x036864.tiff::177","Process_333_raw_green.ome.tiff","tile_y053248_x036864.tiff"
"marmoratus-0108","keep","implicit_default","D. marmoratus","2","Process_334_raw_green.ome.tiff::tile_y028672_x036864.tiff::38","Process_334_raw_green.ome.tiff","tile_y028672_x036864.tiff"
"marmoratus-0109","keep","implicit_default","D. marmoratus","3","Process_334_raw_green.ome.tiff::tile_y028672_x036864.tiff::225","Process_334_raw_green.ome.tiff","tile_y028672_x036864.tiff"
"marmoratus-0110","keep","implicit_default","D. marmoratus","4","Process_333_raw_green.ome.tiff::tile_y053248_x036864.tiff::179","Process_333_raw_green.ome.tiff","tile_y053248_x036864.tiff"
"marmoratus-0111","problem","explicit","D. marmoratus","5","Process_334_raw_green.ome.tiff::tile_y008192_x016384.tiff::110","Process_334_raw_green.ome.tiff","tile_y008192_x016384.tiff"
"marmoratus-0112","problem","explicit","D. marmoratus","6","Process_334_raw_green.ome.tiff::tile_y028672_x036864.tiff::104","Process_334_raw_green.ome.tiff","tile_y028672_x036864.tiff"
