species,display_species,cluster,selected_k,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28
abditus,D. abditus,2,2,-0.5996751674649573,1.3095185559945475,-0.003073602531529716,-1.0216967438372317,3.1197412871486963,1.0391655354508984,-1.3963161111658362,-2.171405823459243,0.50769265534978,0.5249585586087454,1.9616555873721904,-0.5330536312322638,0.5268027947966232,0.20471625779663036,0.1973243795343745,0.19600441363597632,0.3795348137465689,-0.3076675379306589,-0.04050034878945329,0.05089279206389602,0.029990307688239588,-0.04014167667297131,0.10993899350880013,0.11162211851982945,0.024682343017614385,0.0035519349167870006,-0.0034246241676883405,-3.2052818237788738e-6
adatsihi,D. adatsihi,2,2,0.54820845625696,1.0347904893560613,0.12411517824476928,-2.186369586164448,2.3502206121839913,1.103307629064617,-0.7684754137119144,-1.5145393957833526,0.6856339774076715,0.07931023113866438,0.16207779100123926,-0.23312416232702576,0.02942247626516563,-0.46192110473927933,-0.2552333855049261,0.09795687569018113,-0.7729712551643327,0.17601824912362726,0.13070453211336056,-0.03245609353449312,0.031702568348230695,0.1348479340846606,-0.1608773419762486,-0.2088074154564253,-0.075838561203646293,0.014993051371422206,0.003327122189661404,4.869775935194253e-6
aeneus,D. aeneus,2,2,-0.4281213110972081,1.5554812415604768,3.920305954416814,1.0929978219052425,1.92426889430444,-1.5586304767365005,-0.8679779772439111,-0.39327482662765734,-0.024941210398182496,0.5923009945069653,-2.433664278439187,-0.5274355302058604,0.631153821833965,-0.5441868525036898,-0.024976862194488105,-0.659158571879516,0.2944847148466353,0.018041847131303787,0.05710159881560115,-0.254597176181221,0.08940159429102529,0.17680691467695503,0.05306488073616868,0.009827918065464129,0.10619158365379812,-0.002044495232916981,5.45959573678833e-4,-2.843631856305865e-6
amphileucus,D. amphileucus,2,2,3.6788369716975913,-3.5837878406640096,-2.347762227057228,-0.5519631018806296,-1.1232644069871274,0.09177595638414526,-0.31503851938630373,-0.8312342356778971,1.285084657850404,0.3024248214625887,-0.7577624962081313,-0.556162053562469,0.01978308229756455,0.6096314948188003,0.08569068744097927,0.6991400624707104,0.24368173544657615,-0.43718805192495114,-0.16703138379441407,-0.42899117608520626,-0.037903983237174435,0.028722725158780875,0.06080974451455801,0.018570255108390617,0.152989181331949,-0.08144866006390598,0.005870376161028722,4.123414856457244e-6
anicetus,D. anicetus,2,2,0.9171508725108138,0.07300335025024939,0.7270531638434183,-1.9239481015761124,-0.13868757738574752,0.7002302560802411,0.6278257306503257,1.8838840653360238,-1.1232399725363804,-0.6218100441736574,0.08902204855210832,-0.6555909326027527,1.378274386032819,-0.33677038037841006,0.06481891609758463,0.4089495015359449,0.22275967361160365,0.41047566949772996,0.16707131868091032,-0.0043185341845522595,-0.07499275598573249,-0.11445101985178352,0.13415036973629518,-0.11054619840413064,0.08754035677283624,0.010599785177683299,-0.006789506301787131,5.8729870451288225e-6
apalachicolae,D. apalachicolae,2,2,0.5150835359801562,0.36101392585345965,0.11036733292286871,-0.9976112180090787,0.4781098737446118,-0.08188109222125793,0.4106271945372776,-0.22927540029082344,-0.19073009756761056,-0.8310988211776428,0.08580942030450002,0.9208655020575781,-0.43550689251714964,0.6307662624733339,-0.07572712258633058,-0.35102416505976713,0.47140572324325314,0.3063846037300828,0.2572437019802207,-0.06859305679027779,0.1957716636948123,0.2145525717185891,-0.3413168584672322,0.13675164186832264,0.13591397996007026,0.044441783616846336,-0.0034535841348908814,5.844374267932222e-6
aureatus,D. aureatus,2,2,0.3341446366303521,-2.170687371961922,-5.202288382156949,0.10793531434253768,0.22039833055500563,-1.4703280525497948,0.7931601002243445,-1.5728703399448647,-3.291556078637036,1.6842823151963917,-0.24521004057152163,0.5375028075880729,0.7001765648965766,-0.30673797823326004,-0.024107653299774927,0.06592260310077562,0.013183516560831927,-0.10601294182178306,0.03346399383051235,0.1405992116822106,-0.005012366264222953,0.03739414105250228,-0.051348917744034,-0.00261782628813435,0.017984602581298723,0.01893697909333307,0.001101717339865591,-3.203280491922376e-7
auriculatus,D. auriculatus,2,2,-2.3016374794531047,2.2788937585580804,-1.7460084864715153,1.5699657169116326,-1.3555881919047186,-0.12719437003530734,-0.4138864908955134,-1.326071378387866,-0.11328049915095241,-1.859506356666259,0.19953835563808603,-0.9368776981032212,-0.42767436100078826,0.4206224619025561,-0.16717544317177835,-0.7001497353076771,0.3088814513256726,-0.2958297692591994,0.035647507114462185,0.25250712258575153,-0.3229030195680436,0.1611814155248396,0.039576768921708104,-0.017606446484925386,0.06521290233438841,0.039656022892395774,0.001693420915264385,2.8438387647627534e-6
bairdi,D. bairdi,2,2,-2.8206529152387163,2.460365017540042,0.3259737657002813,1.379088983493044,0.020920622857771028,0.6549446064625135,-0.5060229422091441,1.444027970091231,-0.49139285792930204,1.5185997774027127,0.2912759340143405,-0.39759564330607094,-0.1304464024502842,0.6722033065638157,0.019222627307273577,0.03357168160708613,0.19329986118431322,-0.11033737899794381,0.35172331880504926,-0.047269457408643877,-0.1310971529755398,-0.13066360812177766,-0.10909373666426489,-0.140678417108898,0.08977446170536899,-0.07390620584121552,-0.005036728151773647,2.7591908524463297e-6
balsameus,D. balsameus,2,2,1.0077632974116413,0.3913696580175161,0.2825964790493742,-1.9975017094246994,0.013990997516461755,-0.17845769913662654,-0.17117534621780353,0.6241117821102724,0.3837947050280746,0.2698932416794218,-1.1163830338970029,-0.027669101032112512,-0.7793345567483497,-0.22573920435083472,0.01965347958816975,0.6158910306706962,-0.40383443721051343,-0.5474536608225166,-0.1738418243742258,0.2296163358812792,-0.29458261022137056,0.0038744887381385287,-0.10014152231216614,0.15364022188089,0.09118038771641038,0.0490490031080978,-0.012676566112996451,-4.037702660192607e-6
campi,D. campi,2,2,-0.9246975895017193,0.4534485143758487,0.4274944036661749,-0.6476287275528707,-0.06383028361720357,-1.202537701901307,-0.11657830934970188,1.0295635256703957,-1.2095490761913958,-1.1440435414488963,0.5871460145477869,-1.0639809008237207,-0.17098369880897643,-2.92176123271478e-4,-0.04795402438623983,0.3141966236553974,-0.2876000321779009,-0.06877089111887787,-0.17253430219959762,-0.17610800608385252,0.23172056111638892,-0.03545349727788011,-0.20877486416465413,0.09707732116429278,-0.022646611090316873,0.16664410933922988,0.004452852659737286,-5.231436184312791e-7
carolinensis,D. carolinensis,2,2,2.2112575009593813,0.17953579807093073,0.7410277068611013,-1.6683321457021656,0.10675661699051986,0.31144753598016334,0.46174789790826853,0.6380432803774156,-0.3527881975995453,-0.0721743642005721,0.3600284700110111,0.917365139041564,-0.4356864392789955,-0.007672252370764508,0.8154617830990804,-0.2641538560239094,0.10321042208214218,0.04846926450845205,-0.18131584157715042,-0.16662517521544232,-0.4547073813173201,0.25304814633806183,0.17388784025510065,-0.14795405560097763,0.02284854990031663,0.06241209900743379,0.002770418351535401,-1.861847978042097e-6
