comparison,left_metric,right_metric,spearman_rho,p_value_descriptive_only,pearson_r,pearson_p_value_descriptive_only,n_species,phylogenetically_corrected,pgls_model,trait_transformation,pgls_standardized_beta,pgls_standard_error,pgls_ci_low,pgls_ci_high,pgls_t_value,pgls_degrees_freedom,pgls_p_value,pagel_lambda,pagel_lambda_at_lower_boundary,pgls_generalized_r_squared,pgls_intercept_z,pgls_var_intercept,pgls_cov_intercept_slope,pgls_var_slope,predictor_log10_mean,predictor_log10_sd,outcome_log10_mean,outcome_log10_sd
genome_size_vs_nucleus_area,genome_size_pg_fuscus_anchored,nucleus_area_um2,0.29478261,0.16201060,0.39910831,0.05335940,24,True,Pagel_lambda_ML,log10_then_sample_zscore,0.41901841,0.19358150,0.01755494,0.82048187,2.16455806,22,0.04154379,0.00000010,True,0.17557642,-0.00000000,0.03591244,0.00000000,0.03747380,1.20330595,0.06685600,1.64857336,0.03720365
genome_size_vs_cell_area,genome_size_pg_fuscus_anchored,cell_area_um2,0.66956522,0.00034552,0.67822587,0.00027013,24,True,Pagel_lambda_ML,log10_then_sample_zscore,0.71666442,0.14869005,0.40830013,1.02502872,4.81985454,22,0.00008157,0.00000010,True,0.51360790,-0.00000006,0.02118756,0.00000000,0.02210873,1.20330595,0.06685600,2.44637877,0.04788850
nucleus_area_vs_cell_area,nucleus_area_um2,cell_area_um2,0.57304348,0.00342273,0.55700863,0.00469374,24,True,Pagel_lambda_ML,log10_then_sample_zscore,0.57930128,0.17378278,0.21889785,0.93970471,3.33347918,22,0.00301277,0.00000010,True,0.33558998,-0.00000008,0.02894214,0.00000000,0.03020046,1.64857336,0.03720365,2.44637877,0.04788850
