species,n_nuclei,n_images,n_specimens,iod_equal_image_estimate,iod_equal_image_ci_low,iod_equal_image_ci_high,iod_pooled_nucleus_median,iod_pooled_nucleus_mean,iod_trimmed_mean_10pct,iod_nucleus_sd,iod_nucleus_iqr,iod_nucleus_min,iod_nucleus_max,image_median_iod_min,image_median_iod_max,image_median_iod_range,median_nucleus_area_um2,median_nucleus_mean_od,estimate_support,sample_size_support,quality_match_status,pooled_median_difference_pct,trimmed_mean_difference_pct,relative_iod_anchor,relative_iod_index,relative_iod_ci_low,relative_iod_ci_high,relative_iod_rank,iod_ratio_to_fuscus,genome_size_pg_fuscus_anchored,genome_size_pg_ci_low,genome_size_pg_ci_high,genome_size_reference_species,genome_size_reference_pg,genome_size_calibration_pg_per_iod,genome_size_rank
D. fuscus,35,4,4,943.88914013,814.48922615,1066.25900314,951.29290800,957.80275300,955.01384724,145.60539296,247.96642700,731.24578700,1246.42483000,801.28195850,1079.68817100,278.40621250,45.12960000,0.31733000,multiple_observed_images,meets_prior_minimum_30,common_support,0.78438956,1.17860315,950.17611281,0.99338336,0.85719817,1.12216987,13,1.00000000,16.46216769,16.46216769,16.46216769,D. fuscus,16.46216769,0.01744079,13
D. apalachicolae,37,2,2,902.16512325,841.72484400,997.97295016,897.41052900,904.66623703,907.64162781,89.83824852,133.86781500,625.54396400,1049.30643700,850.77040500,953.55984150,102.78943650,41.76000000,0.31556500,multiple_observed_images,meets_prior_minimum_30,common_support,-0.52702040,0.60704015,950.17611281,0.94947148,0.88586193,1.05030314,14,0.95579564,15.73446808,13.56958080,18.78352818,D. fuscus,16.46216769,0.01744079,14
D. mavrokoilius,38,2,2,892.90592000,784.28581600,997.29388699,867.28541700,872.61757542,869.26118475,126.51296365,174.39292900,646.36859700,1146.00978500,813.32185200,972.48998800,159.16813600,40.44960000,0.31272200,multiple_observed_images,meets_prior_minimum_30,common_support,-2.86933958,-2.64806568,950.17611281,0.93972676,0.82541100,1.04958846,15,0.94598601,15.57298030,13.02414140,18.90713626,D. fuscus,16.46216769,0.01744079,15
D. gvnigeusgwotli,37,1,1,891.57887800,836.21031500,917.08792300,891.57887800,886.18518400,886.25948526,79.75119500,103.14539600,702.82315800,1053.67556800,891.57887800,891.57887800,0.00000000,42.22080000,0.31077200,single_observed_image,meets_prior_minimum_30,common_support,0.00000000,-0.59662615,950.17611281,0.93833013,0.88005824,0.96517678,16,0.94458008,15.54983565,13.61611228,17.95874728,D. fuscus,16.46216769,0.01744079,16
D. anicetus,39,1,1,886.07674300,863.43776900,902.55654000,886.07674300,887.79119259,889.56856152,67.06829506,81.74566900,694.32151000,1065.12750400,886.07674300,886.07674300,0.00000000,40.19040000,0.31677300,single_observed_image,meets_prior_minimum_30,common_support,0.00000000,0.39407631,950.17611281,0.93253949,0.90871340,0.94988342,17,0.93875086,15.45387409,13.59007641,17.89073380,D. fuscus,16.46216769,0.01744079,17
D. welteri,38,2,2,863.39152200,791.72729450,923.91198900,829.11558750,830.74210974,830.66951631,74.30398711,103.51332100,675.57127300,978.33507500,807.57802300,919.20502100,111.62699800,46.18080000,0.25551750,multiple_observed_images,meets_prior_minimum_30,common_support,-3.96991789,-3.78993827,950.17611281,0.90866473,0.83324268,0.97235868,18,0.91471708,15.05822603,12.91819490,17.65341224,D. fuscus,16.46216769,0.01744079,18
D. campi,36,2,2,852.83943300,819.33919350,871.07384450,852.83943300,846.31633872,847.96379667,70.48508194,83.99540100,634.68597400,973.12778400,852.69108100,852.98778500,0.29670400,38.21040000,0.30277200,multiple_observed_images,meets_prior_minimum_30,common_support,0.00000000,-0.57169452,950.17611281,0.89755933,0.86230245,0.91674989,19,0.90353771,14.87418931,12.96834500,17.07979159,D. fuscus,16.46216769,0.01744079,19
D. wrighti,9,3,3,848.29502333,785.80876667,928.97045000,850.69957200,857.35085867,857.35085867,126.44183673,81.33095400,652.97035000,1095.51924300,794.29745100,908.83768200,114.54023100,42.09120000,0.28567800,multiple_observed_images,below_prior_minimum_30,limited_overlap,0.28345665,1.06753371,950.17611281,0.89277663,0.82701381,0.97768239,20,0.89872315,14.79493124,12.86919872,17.67200838,D. fuscus,16.46216769,0.01744079,20
D. perlapsus,33,3,3,828.27069400,749.99421173,939.87286963,886.58189500,864.18387561,863.85569611,112.82455788,189.40191500,643.52115500,1093.70787200,750.24104600,938.00310100,187.76205500,38.89440000,0.30504700,multiple_observed_images,meets_prior_minimum_30,common_support,7.04011399,4.29630100,950.17611281,0.87170229,0.78932127,0.98915649,21,0.87750845,14.44569121,12.35510030,17.48336463,D. fuscus,16.46216769,0.01744079,21
D. orestes,22,3,3,811.37856733,712.07951623,946.86158700,770.83522600,767.78291936,761.80784300,110.61875483,133.31520225,605.58241100,1053.57001400,744.17362150,920.21193000,176.03830850,45.15840000,0.23430650,multiple_observed_images,below_prior_minimum_30,common_support,-4.99684647,-6.10944463,950.17611281,0.85392440,0.74941846,0.99651167,22,0.85961214,14.15107926,11.88179677,17.43082497,D. fuscus,16.46216769,0.01744079,22
D. ochrophaeus,32,2,2,780.40819400,725.44101650,797.38666700,776.09167900,760.51760641,762.56079696,56.94266739,81.01128350,655.06107600,870.29617100,774.04592800,786.77046000,12.72453200,49.60800000,0.21985100,multiple_observed_images,meets_prior_minimum_30,limited_overlap,-0.55310990,-2.28693102,950.17611281,0.82133005,0.76348059,0.83919881,23,0.82680069,13.61093163,11.77056164,15.63546749,D. fuscus,16.46216769,0.01744079,23
D. aeneus,21,2,1,551.83872125,520.23684300,631.34774123,579.14379200,636.12223643,611.84357559,158.93675736,215.46346100,473.38560200,1020.66119900,520.23684300,583.44059950,63.20375650,37.67040000,0.22633200,multiple_observed_images,below_prior_minimum_30,limited_overlap,4.94801646,10.87362159,950.17611281,0.58077520,0.54751623,0.66445339,24,0.58464357,9.62450057,8.31896797,11.79784571,D. fuscus,16.46216769,0.01744079,24
