species,estimator,estimator_label,metric,metric_label,estimate,n_pairs,n_images,n_specimens,estimand
marmoratus,manual_keep_pool,Manual keeps,nuc_area_um2,Nucleus area (um2),45.5328,7,2,2,median among manual keeps
marmoratus,manual_keep_pool,Manual keeps,nc_area_ratio,Nucleus/cell area ratio,0.20136,7,2,2,median among manual keeps
mavrokoilius,composite_selected50,Frozen composite top 50,cell_area_um2,Cell area (um2),249.9624,50,2,2,median among frozen composite top 50
mavrokoilius,composite_selected50,Frozen composite top 50,nuc_area_um2,Nucleus area (um2),38.628,50,2,2,median among frozen composite top 50
mavrokoilius,composite_selected50,Frozen composite top 50,nc_area_ratio,Nucleus/cell area ratio,0.151946,50,2,2,median among frozen composite top 50
mavrokoilius,image_balanced_selected50,Equal-image frozen top 50,cell_area_um2,Cell area (um2),248.4288,50,2,2,equal-image median of within-image medians among frozen composite top-50 rows
mavrokoilius,image_balanced_selected50,Equal-image frozen top 50,nuc_area_um2,Nucleus area (um2),39.8304,50,2,2,equal-image median of within-image medians among frozen composite top-50 rows
mavrokoilius,image_balanced_selected50,Equal-image frozen top 50,nc_area_ratio,Nucleus/cell area ratio,0.159787,50,2,2,equal-image median of within-image medians among frozen composite top-50 rows
mavrokoilius,literal_largest50_eligible,Literal largest 50,cell_area_um2,Cell area (um2),264.0024,50,2,2,median among literal largest 50
mavrokoilius,literal_largest50_eligible,Literal largest 50,nuc_area_um2,Nucleus area (um2),39.6936,50,2,2,median among literal largest 50
mavrokoilius,literal_largest50_eligible,Literal largest 50,nc_area_ratio,Nucleus/cell area ratio,0.1481215,50,2,2,median among literal largest 50
mavrokoilius,literal_largest100_eligible,Literal largest 100,cell_area_um2,Cell area (um2),254.592,100,2,2,median among literal largest 100
mavrokoilius,literal_largest100_eligible,Literal largest 100,nuc_area_um2,Nucleus area (um2),39.1176,100,2,2,median among literal largest 100
mavrokoilius,literal_largest100_eligible,Literal largest 100,nc_area_ratio,Nucleus/cell area ratio,0.1517725,100,2,2,median among literal largest 100
mavrokoilius,eligible_candidate_pool,All eligible candidates,cell_area_um2,Cell area (um2),223.8336,303,2,2,median among all eligible candidates
mavrokoilius,eligible_candidate_pool,All eligible candidates,nuc_area_um2,Nucleus area (um2),37.1088,303,2,2,median among all eligible candidates
mavrokoilius,eligible_candidate_pool,All eligible candidates,nc_area_ratio,Nucleus/cell area ratio,0.168933,303,2,2,median among all eligible candidates
mavrokoilius,manual_keep_pool,Manual keeps,cell_area_um2,Cell area (um2),225.7056,13,2,2,median among manual keeps
mavrokoilius,manual_keep_pool,Manual keeps,nuc_area_um2,Nucleus area (um2),36.7344,13,2,2,median among manual keeps
mavrokoilius,manual_keep_pool,Manual keeps,nc_area_ratio,Nucleus/cell area ratio,0.159677,13,2,2,median among manual keeps
monticola,composite_selected50,Frozen composite top 50,cell_area_um2,Cell area (um2),238.3848,50,2,2,median among frozen composite top 50
monticola,composite_selected50,Frozen composite top 50,nuc_area_um2,Nucleus area (um2),38.9448,50,2,2,median among frozen composite top 50
monticola,composite_selected50,Frozen composite top 50,nc_area_ratio,Nucleus/cell area ratio,0.1572345,50,2,2,median among frozen composite top 50
monticola,image_balanced_selected50,Equal-image frozen top 50,cell_area_um2,Cell area (um2),238.5252,50,2,2,equal-image median of within-image medians among frozen composite top-50 rows
monticola,image_balanced_selected50,Equal-image frozen top 50,nuc_area_um2,Nucleus area (um2),39.8592,50,2,2,equal-image median of within-image medians among frozen composite top-50 rows
monticola,image_balanced_selected50,Equal-image frozen top 50,nc_area_ratio,Nucleus/cell area ratio,0.1637705,50,2,2,equal-image median of within-image medians among frozen composite top-50 rows
monticola,literal_largest50_eligible,Literal largest 50,cell_area_um2,Cell area (um2),256.1256,50,2,2,median among literal largest 50
monticola,literal_largest50_eligible,Literal largest 50,nuc_area_um2,Nucleus area (um2),39.6072,50,2,2,median among literal largest 50
monticola,literal_largest50_eligible,Literal largest 50,nc_area_ratio,Nucleus/cell area ratio,0.154312,50,2,2,median among literal largest 50
monticola,literal_largest100_eligible,Literal largest 100,cell_area_um2,Cell area (um2),244.0944,100,2,2,median among literal largest 100
monticola,literal_largest100_eligible,Literal largest 100,nuc_area_um2,Nucleus area (um2),39.6864,100,2,2,median among literal largest 100
monticola,literal_largest100_eligible,Literal largest 100,nc_area_ratio,Nucleus/cell area ratio,0.1609525,100,2,2,median among literal largest 100
monticola,eligible_candidate_pool,All eligible candidates,cell_area_um2,Cell area (um2),207.216,360,3,2,median among all eligible candidates
monticola,eligible_candidate_pool,All eligible candidates,nuc_area_um2,Nucleus area (um2),39.3624,360,3,2,median among all eligible candidates
monticola,eligible_candidate_pool,All eligible candidates,nc_area_ratio,Nucleus/cell area ratio,0.1883385,360,3,2,median among all eligible candidates
monticola,manual_keep_pool,Manual keeps,cell_area_um2,Cell area (um2),238.5072,7,2,2,median among manual keeps
monticola,manual_keep_pool,Manual keeps,nuc_area_um2,Nucleus area (um2),38.1456,7,2,2,median among manual keeps
monticola,manual_keep_pool,Manual keeps,nc_area_ratio,Nucleus/cell area ratio,0.160652,7,2,2,median among manual keeps
ocoee,composite_selected50,Frozen composite top 50,cell_area_um2,Cell area (um2),273.2184,50,3,3,median among frozen composite top 50
ocoee,composite_selected50,Frozen composite top 50,nuc_area_um2,Nucleus area (um2),41.2128,50,3,3,median among frozen composite top 50
ocoee,composite_selected50,Frozen composite top 50,nc_area_ratio,Nucleus/cell area ratio,0.1497875,50,3,3,median among frozen composite top 50
ocoee,image_balanced_selected50,Equal-image frozen top 50,cell_area_um2,Cell area (um2),269.7264,50,3,3,equal-image median of within-image medians among frozen composite top-50 rows
ocoee,image_balanced_selected50,Equal-image frozen top 50,nuc_area_um2,Nucleus area (um2),39.6072,50,3,3,equal-image median of within-image medians among frozen composite top-50 rows
ocoee,image_balanced_selected50,Equal-image frozen top 50,nc_area_ratio,Nucleus/cell area ratio,0.149621,50,3,3,equal-image median of within-image medians among frozen composite top-50 rows
ocoee,literal_largest50_eligible,Literal largest 50,cell_area_um2,Cell area (um2),288.8496,50,2,2,median among literal largest 50
ocoee,literal_largest50_eligible,Literal largest 50,nuc_area_um2,Nucleus area (um2),43.9272,50,2,2,median among literal largest 50
ocoee,literal_largest50_eligible,Literal largest 50,nc_area_ratio,Nucleus/cell area ratio,0.150188,50,2,2,median among literal largest 50
ocoee,literal_largest100_eligible,Literal largest 100,cell_area_um2,Cell area (um2),278.0928,100,2,2,median among literal largest 100
ocoee,literal_largest100_eligible,Literal largest 100,nuc_area_um2,Nucleus area (um2),43.6896,100,2,2,median among literal largest 100
ocoee,literal_largest100_eligible,Literal largest 100,nc_area_ratio,Nucleus/cell area ratio,0.1545845,100,2,2,median among literal largest 100
ocoee,eligible_candidate_pool,All eligible candidates,cell_area_um2,Cell area (um2),237.6792,556,3,3,median among all eligible candidates
ocoee,eligible_candidate_pool,All eligible candidates,nuc_area_um2,Nucleus area (um2),40.104,556,3,3,median among all eligible candidates
ocoee,eligible_candidate_pool,All eligible candidates,nc_area_ratio,Nucleus/cell area ratio,0.1690305,556,3,3,median among all eligible candidates
ocoee,manual_keep_pool,Manual keeps,cell_area_um2,Cell area (um2),240.4008,6,3,3,median among manual keeps
ocoee,manual_keep_pool,Manual keeps,nuc_area_um2,Nucleus area (um2),40.3056,6,3,3,median among manual keeps
ocoee,manual_keep_pool,Manual keeps,nc_area_ratio,Nucleus/cell area ratio,0.176554,6,3,3,median among manual keeps
perlapsus,composite_selected50,Frozen composite top 50,cell_area_um2,Cell area (um2),255.8808,50,3,3,median among frozen composite top 50
perlapsus,composite_selected50,Frozen composite top 50,nuc_area_um2,Nucleus area (um2),35.5752,50,3,3,median among frozen composite top 50
perlapsus,composite_selected50,Frozen composite top 50,nc_area_ratio,Nucleus/cell area ratio,0.1433005,50,3,3,median among frozen composite top 50
perlapsus,image_balanced_selected50,Equal-image frozen top 50,cell_area_um2,Cell area (um2),245.1168,50,3,3,equal-image median of within-image medians among frozen composite top-50 rows
perlapsus,image_balanced_selected50,Equal-image frozen top 50,nuc_area_um2,Nucleus area (um2),35.2224,50,3,3,equal-image median of within-image medians among frozen composite top-50 rows
perlapsus,image_balanced_selected50,Equal-image frozen top 50,nc_area_ratio,Nucleus/cell area ratio,0.148672,50,3,3,equal-image median of within-image medians among frozen composite top-50 rows
perlapsus,literal_largest50_eligible,Literal largest 50,cell_area_um2,Cell area (um2),276.0696,50,2,2,median among literal largest 50
perlapsus,literal_largest50_eligible,Literal largest 50,nuc_area_um2,Nucleus area (um2),40.86,50,2,2,median among literal largest 50
perlapsus,literal_largest50_eligible,Literal largest 50,nc_area_ratio,Nucleus/cell area ratio,0.146164,50,2,2,median among literal largest 50
perlapsus,literal_largest100_eligible,Literal largest 100,cell_area_um2,Cell area (um2),256.032,100,3,3,median among literal largest 100
perlapsus,literal_largest100_eligible,Literal largest 100,nuc_area_um2,Nucleus area (um2),38.6496,100,3,3,median among literal largest 100
perlapsus,literal_largest100_eligible,Literal largest 100,nc_area_ratio,Nucleus/cell area ratio,0.147184,100,3,3,median among literal largest 100
perlapsus,eligible_candidate_pool,All eligible candidates,cell_area_um2,Cell area (um2),226.5552,253,3,3,median among all eligible candidates
perlapsus,eligible_candidate_pool,All eligible candidates,nuc_area_um2,Nucleus area (um2),36.5616,253,3,3,median among all eligible candidates
perlapsus,eligible_candidate_pool,All eligible candidates,nc_area_ratio,Nucleus/cell area ratio,0.162067,253,3,3,median among all eligible candidates
perlapsus,manual_keep_pool,Manual keeps,cell_area_um2,Cell area (um2),220.4784,4,2,2,median among manual keeps
perlapsus,manual_keep_pool,Manual keeps,nuc_area_um2,Nucleus area (um2),38.4264,4,2,2,median among manual keeps
perlapsus,manual_keep_pool,Manual keeps,nc_area_ratio,Nucleus/cell area ratio,0.1737555,4,2,2,median among manual keeps
tilleyi,composite_selected50,Frozen composite top 50,cell_area_um2,Cell area (um2),249.4368,50,2,2,median among frozen composite top 50
tilleyi,composite_selected50,Frozen composite top 50,nuc_area_um2,Nucleus area (um2),39.384,50,2,2,median among frozen composite top 50
tilleyi,composite_selected50,Frozen composite top 50,nc_area_ratio,Nucleus/cell area ratio,0.1585835,50,2,2,median among frozen composite top 50
tilleyi,image_balanced_selected50,Equal-image frozen top 50,cell_area_um2,Cell area (um2),248.7816,50,2,2,equal-image median of within-image medians among frozen composite top-50 rows
tilleyi,image_balanced_selected50,Equal-image frozen top 50,nuc_area_um2,Nucleus area (um2),39.384,50,2,2,equal-image median of within-image medians among frozen composite top-50 rows
tilleyi,image_balanced_selected50,Equal-image frozen top 50,nc_area_ratio,Nucleus/cell area ratio,0.1585815,50,2,2,equal-image median of within-image medians among frozen composite top-50 rows
tilleyi,literal_largest50_eligible,Literal largest 50,cell_area_um2,Cell area (um2),259.488,50,2,2,median among literal largest 50
tilleyi,literal_largest50_eligible,Literal largest 50,nuc_area_um2,Nucleus area (um2),42.1128,50,2,2,median among literal largest 50
tilleyi,literal_largest50_eligible,Literal largest 50,nc_area_ratio,Nucleus/cell area ratio,0.160623,50,2,2,median among literal largest 50
tilleyi,literal_largest100_eligible,Literal largest 100,cell_area_um2,Cell area (um2),250.3512,100,2,2,median among literal largest 100
tilleyi,literal_largest100_eligible,Literal largest 100,nuc_area_um2,Nucleus area (um2),40.9752,100,2,2,median among literal largest 100
tilleyi,literal_largest100_eligible,Literal largest 100,nc_area_ratio,Nucleus/cell area ratio,0.1624765,100,2,2,median among literal largest 100
tilleyi,eligible_candidate_pool,All eligible candidates,cell_area_um2,Cell area (um2),225.6048,347,2,2,median among all eligible candidates
tilleyi,eligible_candidate_pool,All eligible candidates,nuc_area_um2,Nucleus area (um2),39.1824,347,2,2,median among all eligible candidates
tilleyi,eligible_candidate_pool,All eligible candidates,nc_area_ratio,Nucleus/cell area ratio,0.173471,347,2,2,median among all eligible candidates
tilleyi,manual_keep_pool,Manual keeps,cell_area_um2,Cell area (um2),213.84,7,2,2,median among manual keeps
tilleyi,manual_keep_pool,Manual keeps,nuc_area_um2,Nucleus area (um2),39.4272,7,2,2,median among manual keeps
tilleyi,manual_keep_pool,Manual keeps,nc_area_ratio,Nucleus/cell area ratio,0.191739,7,2,2,median among manual keeps
valtos,composite_selected50,Frozen composite top 50,cell_area_um2,Cell area (um2),280.5912,50,2,2,median among frozen composite top 50
valtos,composite_selected50,Frozen composite top 50,nuc_area_um2,Nucleus area (um2),48.7656,50,2,2,median among frozen composite top 50
valtos,composite_selected50,Frozen composite top 50,nc_area_ratio,Nucleus/cell area ratio,0.1773525,50,2,2,median among frozen composite top 50
valtos,image_balanced_selected50,Equal-image frozen top 50,cell_area_um2,Cell area (um2),280.0296,50,2,2,equal-image median of within-image medians among frozen composite top-50 rows
valtos,image_balanced_selected50,Equal-image frozen top 50,nuc_area_um2,Nucleus area (um2),48.8736,50,2,2,equal-image median of within-image medians among frozen composite top-50 rows
valtos,image_balanced_selected50,Equal-image frozen top 50,nc_area_ratio,Nucleus/cell area ratio,0.176742,50,2,2,equal-image median of within-image medians among frozen composite top-50 rows
valtos,literal_largest50_eligible,Literal largest 50,cell_area_um2,Cell area (um2),294.3072,50,2,2,median among literal largest 50
valtos,literal_largest50_eligible,Literal largest 50,nuc_area_um2,Nucleus area (um2),50.6376,50,2,2,median among literal largest 50
valtos,literal_largest50_eligible,Literal largest 50,nc_area_ratio,Nucleus/cell area ratio,0.1710695,50,2,2,median among literal largest 50
valtos,literal_largest100_eligible,Literal largest 100,cell_area_um2,Cell area (um2),282.2688,100,2,2,median among literal largest 100
valtos,literal_largest100_eligible,Literal largest 100,nuc_area_um2,Nucleus area (um2),50.4432,100,2,2,median among literal largest 100
valtos,literal_largest100_eligible,Literal largest 100,nc_area_ratio,Nucleus/cell area ratio,0.1777995,100,2,2,median among literal largest 100
valtos,eligible_candidate_pool,All eligible candidates,cell_area_um2,Cell area (um2),243.1728,335,2,2,median among all eligible candidates
valtos,eligible_candidate_pool,All eligible candidates,nuc_area_um2,Nucleus area (um2),48.7152,335,2,2,median among all eligible candidates
valtos,eligible_candidate_pool,All eligible candidates,nc_area_ratio,Nucleus/cell area ratio,0.200291,335,2,2,median among all eligible candidates
valtos,manual_keep_pool,Manual keeps,cell_area_um2,Cell area (um2),242.2656,11,2,2,median among manual keeps
valtos,manual_keep_pool,Manual keeps,nuc_area_um2,Nucleus area (um2),49.2336,11,2,2,median among manual keeps
valtos,manual_keep_pool,Manual keeps,nc_area_ratio,Nucleus/cell area ratio,0.206253,11,2,2,median among manual keeps
welteri,composite_selected50,Frozen composite top 50,cell_area_um2,Cell area (um2),277.416,50,2,2,median among frozen composite top 50
welteri,composite_selected50,Frozen composite top 50,nuc_area_um2,Nucleus area (um2),44.928,50,2,2,median among frozen composite top 50
welteri,composite_selected50,Frozen composite top 50,nc_area_ratio,Nucleus/cell area ratio,0.160534,50,2,2,median among frozen composite top 50
welteri,image_balanced_selected50,Equal-image frozen top 50,cell_area_um2,Cell area (um2),279.5616,50,2,2,equal-image median of within-image medians among frozen composite top-50 rows
welteri,image_balanced_selected50,Equal-image frozen top 50,nuc_area_um2,Nucleus area (um2),46.0944,50,2,2,equal-image median of within-image medians among frozen composite top-50 rows
welteri,image_balanced_selected50,Equal-image frozen top 50,nc_area_ratio,Nucleus/cell area ratio,0.165581,50,2,2,equal-image median of within-image medians among frozen composite top-50 rows
welteri,literal_largest50_eligible,Literal largest 50,cell_area_um2,Cell area (um2),296.5104,50,2,2,median among literal largest 50
welteri,literal_largest50_eligible,Literal largest 50,nuc_area_um2,Nucleus area (um2),47.6208,50,2,2,median among literal largest 50
welteri,literal_largest50_eligible,Literal largest 50,nc_area_ratio,Nucleus/cell area ratio,0.156977,50,2,2,median among literal largest 50
welteri,literal_largest100_eligible,Literal largest 100,cell_area_um2,Cell area (um2),287.1864,100,2,2,median among literal largest 100
welteri,literal_largest100_eligible,Literal largest 100,nuc_area_um2,Nucleus area (um2),46.7352,100,2,2,median among literal largest 100
welteri,literal_largest100_eligible,Literal largest 100,nc_area_ratio,Nucleus/cell area ratio,0.1628285,100,2,2,median among literal largest 100
welteri,eligible_candidate_pool,All eligible candidates,cell_area_um2,Cell area (um2),255.5424,285,4,2,median among all eligible candidates
welteri,eligible_candidate_pool,All eligible candidates,nuc_area_um2,Nucleus area (um2),44.4096,285,4,2,median among all eligible candidates
welteri,eligible_candidate_pool,All eligible candidates,nc_area_ratio,Nucleus/cell area ratio,0.175663,285,4,2,median among all eligible candidates
welteri,manual_keep_pool,Manual keeps,cell_area_um2,Cell area (um2),281.6496,9,2,2,median among manual keeps
welteri,manual_keep_pool,Manual keeps,nuc_area_um2,Nucleus area (um2),45.1584,9,2,2,median among manual keeps
welteri,manual_keep_pool,Manual keeps,nc_area_ratio,Nucleus/cell area ratio,0.169975,9,2,2,median among manual keeps
