species,estimator,estimator_label,metric,metric_label,estimate,n_pairs,n_images,n_specimens,estimand
apalachicolae,literal_largest100_eligible,Literal largest 100,nc_area_ratio,Nucleus/cell area ratio,0.1492555,100,2,2,median among literal largest 100
apalachicolae,eligible_candidate_pool,All eligible candidates,cell_area_um2,Cell area (um2),244.0008,268,2,2,median among all eligible candidates
apalachicolae,eligible_candidate_pool,All eligible candidates,nuc_area_um2,Nucleus area (um2),38.0664,268,2,2,median among all eligible candidates
apalachicolae,eligible_candidate_pool,All eligible candidates,nc_area_ratio,Nucleus/cell area ratio,0.154109,268,2,2,median among all eligible candidates
apalachicolae,manual_keep_pool,Manual keeps,cell_area_um2,Cell area (um2),277.0416,51,2,2,median among manual keeps
apalachicolae,manual_keep_pool,Manual keeps,nuc_area_um2,Nucleus area (um2),41.7744,51,2,2,median among manual keeps
apalachicolae,manual_keep_pool,Manual keeps,nc_area_ratio,Nucleus/cell area ratio,0.151556,51,2,2,median among manual keeps
auriculatus,composite_selected50,Frozen composite top 50,cell_area_um2,Cell area (um2),282.8232,50,2,2,median among frozen composite top 50
auriculatus,composite_selected50,Frozen composite top 50,nuc_area_um2,Nucleus area (um2),47.2392,50,2,2,median among frozen composite top 50
auriculatus,composite_selected50,Frozen composite top 50,nc_area_ratio,Nucleus/cell area ratio,0.1669835,50,2,2,median among frozen composite top 50
auriculatus,image_balanced_selected50,Equal-image frozen top 50,cell_area_um2,Cell area (um2),275.526,50,2,2,equal-image median of within-image medians among frozen composite top-50 rows
auriculatus,image_balanced_selected50,Equal-image frozen top 50,nuc_area_um2,Nucleus area (um2),47.3004,50,2,2,equal-image median of within-image medians among frozen composite top-50 rows
auriculatus,image_balanced_selected50,Equal-image frozen top 50,nc_area_ratio,Nucleus/cell area ratio,0.1717105,50,2,2,equal-image median of within-image medians among frozen composite top-50 rows
auriculatus,literal_largest50_eligible,Literal largest 50,cell_area_um2,Cell area (um2),291.0384,50,2,2,median among literal largest 50
auriculatus,literal_largest50_eligible,Literal largest 50,nuc_area_um2,Nucleus area (um2),47.1744,50,2,2,median among literal largest 50
auriculatus,literal_largest50_eligible,Literal largest 50,nc_area_ratio,Nucleus/cell area ratio,0.1603405,50,2,2,median among literal largest 50
auriculatus,literal_largest100_eligible,Literal largest 100,cell_area_um2,Cell area (um2),280.188,100,2,2,median among literal largest 100
auriculatus,literal_largest100_eligible,Literal largest 100,nuc_area_um2,Nucleus area (um2),47.0088,100,2,2,median among literal largest 100
auriculatus,literal_largest100_eligible,Literal largest 100,nc_area_ratio,Nucleus/cell area ratio,0.16634,100,2,2,median among literal largest 100
auriculatus,eligible_candidate_pool,All eligible candidates,cell_area_um2,Cell area (um2),235.4976,444,3,2,median among all eligible candidates
auriculatus,eligible_candidate_pool,All eligible candidates,nuc_area_um2,Nucleus area (um2),45.7128,444,3,2,median among all eligible candidates
