species,primary_genome_pg,primary_genome_se_pg,primary_genome_gb,primary_n_images,primary_n_specimens,primary_n_nuclei,primary_n_analysis_ready_images,primary_total_strict_images,primary_cv_measurement_pct,primary_cv_area_pct,primary_measurement_kind,primary_state,primary_state_converged,primary_state_capped_not_converged,primary_support_unit,primary_support_tier,primary_source_image_existing_pct,primary_tile_manifest_existing_pct,primary_mask_existing_pct,primary_roi_zip_existing_pct,alternate_state,alternate_genome_pg,alternate_n_images,alternate_n_specimens,alternate_source_image_existing_pct,cross_state_pct_diff,primary_selection_reason,bundle_origin,reconstruction_method,reconstruction_source_path,reconstruction_source_sha256,raw_image_trace_path,raw_image_trace_sha256,genome_state_summary_path,genome_state_summary_sha256,result_status,flag_summary
D. intermedius,17.1847,,16.8066,1,1,266,1,2,,,linked_nucleus_iod,brightfield,False,False,image_median_nucleus_iod,analysis_ready_strict_core,100.0,100.0,100.0,0.0,,,,,,,analysis_ready_images_preferred,reconstructed_from_upstream_linked_runs,brightfield_only_analysis_ready_preferred_specimen_mean_of_image_median_linked_nucleus_iod_scaled_to_fuscus,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,2ab33add2ac4eaddc61df49dc443193a05790ef9b70dc4a79299f6086047ec45,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,2ab33add2ac4eaddc61df49dc443193a05790ef9b70dc4a79299f6086047ec45,path_analysis/data/external/derived/cellprofiler_genome_state_summary.csv,4a5c77e6715e40655b4b7bba46ff4c94885d02255c5bf0c3267f740ba145ced5,sensitivity_limited,low_image_count; low_specimen_count
D. kanawha,15.9361,1.5958,15.5855,2,2,505,0,2,14.1615,14.1615,linked_nucleus_iod,brightfield,False,False,specimen_mean_image_median_nucleus_iod,all_strict_core_images,100.0,100.0,100.0,0.0,,,,,,,all_strict_core_images_used,reconstructed_from_upstream_linked_runs,brightfield_only_analysis_ready_preferred_specimen_mean_of_image_median_linked_nucleus_iod_scaled_to_fuscus,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,2ab33add2ac4eaddc61df49dc443193a05790ef9b70dc4a79299f6086047ec45,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,2ab33add2ac4eaddc61df49dc443193a05790ef9b70dc4a79299f6086047ec45,path_analysis/data/external/derived/cellprofiler_genome_state_summary.csv,4a5c77e6715e40655b4b7bba46ff4c94885d02255c5bf0c3267f740ba145ced5,caution,low_image_count; no_analysis_ready_images
D. marmoratus,13.404,0.0221,13.1091,4,2,439,0,4,0.2337,0.2337,linked_nucleus_iod,brightfield,False,False,specimen_mean_image_median_nucleus_iod,all_strict_core_images,100.0,100.0,100.0,0.0,,,,,,,all_strict_core_images_used,reconstructed_from_upstream_linked_runs,brightfield_only_analysis_ready_preferred_specimen_mean_of_image_median_linked_nucleus_iod_scaled_to_fuscus,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,2ab33add2ac4eaddc61df49dc443193a05790ef9b70dc4a79299f6086047ec45,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,2ab33add2ac4eaddc61df49dc443193a05790ef9b70dc4a79299f6086047ec45,path_analysis/data/external/derived/cellprofiler_genome_state_summary.csv,4a5c77e6715e40655b4b7bba46ff4c94885d02255c5bf0c3267f740ba145ced5,minor_caution,no_analysis_ready_images
D. mavrokoilius,12.384,,12.1116,1,1,294,1,3,,,linked_nucleus_iod,brightfield,False,False,image_median_nucleus_iod,analysis_ready_strict_core,100.0,100.0,100.0,0.0,,,,,,,analysis_ready_images_preferred,reconstructed_from_upstream_linked_runs,brightfield_only_analysis_ready_preferred_specimen_mean_of_image_median_linked_nucleus_iod_scaled_to_fuscus,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,2ab33add2ac4eaddc61df49dc443193a05790ef9b70dc4a79299f6086047ec45,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,2ab33add2ac4eaddc61df49dc443193a05790ef9b70dc4a79299f6086047ec45,path_analysis/data/external/derived/cellprofiler_genome_state_summary.csv,4a5c77e6715e40655b4b7bba46ff4c94885d02255c5bf0c3267f740ba145ced5,sensitivity_limited,low_image_count; low_specimen_count
D. monticola,12.881,0.2248,12.5976,4,2,602,0,4,2.4679,2.4679,linked_nucleus_iod,brightfield,False,False,specimen_mean_image_median_nucleus_iod,all_strict_core_images,100.0,100.0,100.0,0.0,,,,,,,all_strict_core_images_used,reconstructed_from_upstream_linked_runs,brightfield_only_analysis_ready_preferred_specimen_mean_of_image_median_linked_nucleus_iod_scaled_to_fuscus,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,2ab33add2ac4eaddc61df49dc443193a05790ef9b70dc4a79299f6086047ec45,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,2ab33add2ac4eaddc61df49dc443193a05790ef9b70dc4a79299f6086047ec45,path_analysis/data/external/derived/cellprofiler_genome_state_summary.csv,4a5c77e6715e40655b4b7bba46ff4c94885d02255c5bf0c3267f740ba145ced5,minor_caution,no_analysis_ready_images
D. ochrophaeus,13.5462,1.8866,13.2482,3,2,76,0,3,19.6957,19.6957,linked_nucleus_iod,brightfield,False,False,specimen_mean_image_median_nucleus_iod,all_strict_core_images,100.0,100.0,100.0,0.0,,,,,,,all_strict_core_images_used,reconstructed_from_upstream_linked_runs,brightfield_only_analysis_ready_preferred_specimen_mean_of_image_median_linked_nucleus_iod_scaled_to_fuscus,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,2ab33add2ac4eaddc61df49dc443193a05790ef9b70dc4a79299f6086047ec45,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,2ab33add2ac4eaddc61df49dc443193a05790ef9b70dc4a79299f6086047ec45,path_analysis/data/external/derived/cellprofiler_genome_state_summary.csv,4a5c77e6715e40655b4b7bba46ff4c94885d02255c5bf0c3267f740ba145ced5,minor_caution,no_analysis_ready_images
D. ocoee,14.2798,,13.9656,1,1,283,1,3,,,linked_nucleus_iod,brightfield,False,False,image_median_nucleus_iod,analysis_ready_strict_core,100.0,100.0,100.0,0.0,,,,,,,analysis_ready_images_preferred,reconstructed_from_upstream_linked_runs,brightfield_only_analysis_ready_preferred_specimen_mean_of_image_median_linked_nucleus_iod_scaled_to_fuscus,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,2ab33add2ac4eaddc61df49dc443193a05790ef9b70dc4a79299f6086047ec45,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,2ab33add2ac4eaddc61df49dc443193a05790ef9b70dc4a79299f6086047ec45,path_analysis/data/external/derived/cellprofiler_genome_state_summary.csv,4a5c77e6715e40655b4b7bba46ff4c94885d02255c5bf0c3267f740ba145ced5,sensitivity_limited,low_image_count; low_specimen_count
D. perlapsus,13.4187,0.692,13.1235,3,3,417,0,3,8.9319,8.9319,linked_nucleus_iod,brightfield,False,False,specimen_mean_image_median_nucleus_iod,all_strict_core_images,100.0,100.0,100.0,0.0,,,,,,,all_strict_core_images_used,reconstructed_from_upstream_linked_runs,brightfield_only_analysis_ready_preferred_specimen_mean_of_image_median_linked_nucleus_iod_scaled_to_fuscus,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,2ab33add2ac4eaddc61df49dc443193a05790ef9b70dc4a79299f6086047ec45,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,2ab33add2ac4eaddc61df49dc443193a05790ef9b70dc4a79299f6086047ec45,path_analysis/data/external/derived/cellprofiler_genome_state_summary.csv,4a5c77e6715e40655b4b7bba46ff4c94885d02255c5bf0c3267f740ba145ced5,minor_caution,no_analysis_ready_images
D. tilleyi,15.5655,,15.2231,1,1,300,1,2,,,linked_nucleus_iod,brightfield,False,False,image_median_nucleus_iod,analysis_ready_strict_core,100.0,100.0,100.0,0.0,,,,,,,analysis_ready_images_preferred,reconstructed_from_upstream_linked_runs,brightfield_only_analysis_ready_preferred_specimen_mean_of_image_median_linked_nucleus_iod_scaled_to_fuscus,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,2ab33add2ac4eaddc61df49dc443193a05790ef9b70dc4a79299f6086047ec45,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,2ab33add2ac4eaddc61df49dc443193a05790ef9b70dc4a79299f6086047ec45,path_analysis/data/external/derived/cellprofiler_genome_state_summary.csv,4a5c77e6715e40655b4b7bba46ff4c94885d02255c5bf0c3267f740ba145ced5,sensitivity_limited,low_image_count; low_specimen_count
D. valtos,20.6625,,20.2079,1,1,336,1,2,,,linked_nucleus_iod,brightfield,False,False,image_median_nucleus_iod,analysis_ready_strict_core,100.0,100.0,100.0,0.0,,,,,,,analysis_ready_images_preferred,reconstructed_from_upstream_linked_runs,brightfield_only_analysis_ready_preferred_specimen_mean_of_image_median_linked_nucleus_iod_scaled_to_fuscus,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,2ab33add2ac4eaddc61df49dc443193a05790ef9b70dc4a79299f6086047ec45,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,2ab33add2ac4eaddc61df49dc443193a05790ef9b70dc4a79299f6086047ec45,path_analysis/data/external/derived/cellprofiler_genome_state_summary.csv,4a5c77e6715e40655b4b7bba46ff4c94885d02255c5bf0c3267f740ba145ced5,sensitivity_limited,low_image_count; low_specimen_count
D. welteri,16.5223,,16.1588,1,1,335,1,4,,,linked_nucleus_iod,brightfield,False,False,image_median_nucleus_iod,analysis_ready_strict_core,100.0,100.0,100.0,0.0,,,,,,,analysis_ready_images_preferred,reconstructed_from_upstream_linked_runs,brightfield_only_analysis_ready_preferred_specimen_mean_of_image_median_linked_nucleus_iod_scaled_to_fuscus,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,2ab33add2ac4eaddc61df49dc443193a05790ef9b70dc4a79299f6086047ec45,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,2ab33add2ac4eaddc61df49dc443193a05790ef9b70dc4a79299f6086047ec45,path_analysis/data/external/derived/cellprofiler_genome_state_summary.csv,4a5c77e6715e40655b4b7bba46ff4c94885d02255c5bf0c3267f740ba145ced5,sensitivity_limited,low_image_count; low_specimen_count
