species,n_specimens_strict,n_images_strict,n_analysis_ready_images,n_pairs_strict,species_median_cell_area_um2,species_median_nuc_area_um2,cell_area_um2_q1,cell_area_um2_q3,cell_area_um2_ci_low,cell_area_um2_ci_high,cell_area_um2_bootstrap_sd,nucleus_area_um2_q1,nucleus_area_um2_q3,nucleus_area_um2_ci_low,nucleus_area_um2_ci_high,nucleus_area_um2_bootstrap_sd,linked_effective_n,linked_support_label,linked_support_warnings,linked_n_selected_manual_total,linked_n_selected_auto,species_median_nc_ratio,species_median_cytoplasm_area_um2,low_support_for_species_median,source_file,source_sha256,bundle_origin,estimation_method
D. kanawha,2,2,1,50,257.0256,40.5504,239.6016,271.7712,247.32,271.7712,6.986396,37.2672,44.9856,38.6208,46.1952,1.893275,18.08477,medium,auto_dominant,13,37,0.1615,211.29840000000002,False,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/species_estimates_verified.csv,a5dc977182b11cf1419e8435379e3957eaabaff7a16286b291e5bd761a42bfb5,verified_species_dataset,weighted_median_selected_reviewed_linked_pairs
D. marmoratus,2,2,1,50,261.6048,44.5248,248.1264,273.6576,255.2112,265.12416,2.790585,42.1776,46.8432,42.1776,46.2672,0.94543,47.666062,medium,auto_dominant,11,39,0.1703245,216.756,False,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/species_estimates_verified.csv,a5dc977182b11cf1419e8435379e3957eaabaff7a16286b291e5bd761a42bfb5,verified_species_dataset,weighted_median_selected_reviewed_linked_pairs
D. mavrokoilius,2,2,2,50,249.6816,40.2624,233.6112,262.44,239.7024,256.2624,5.778007,36.9072,42.9264,35.7264,43.56,2.220583,45.710904,medium,auto_dominant,6,44,0.151946,211.65120000000002,False,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/species_estimates_verified.csv,a5dc977182b11cf1419e8435379e3957eaabaff7a16286b291e5bd761a42bfb5,verified_species_dataset,weighted_median_selected_reviewed_linked_pairs
D. monticola,2,2,1,50,238.2624,39.6,222.6672,258.9264,222.6672,251.9568,6.108422,36.1584,41.9904,37.4112,42.5088,1.209398,32.603005,medium,auto_dominant,13,37,0.1572345,200.93040000000002,False,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/species_estimates_verified.csv,a5dc977182b11cf1419e8435379e3957eaabaff7a16286b291e5bd761a42bfb5,verified_species_dataset,weighted_median_selected_reviewed_linked_pairs
D. ochrophaeus,2,2,0,50,269.352,47.1888,248.4,279.216,248.4,275.7456,7.137996,42.4944,51.9552,40.968,52.3152,3.608693,24.195603,medium,,50,0,0.18992399999999998,217.3032,False,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/species_estimates_verified.csv,a5dc977182b11cf1419e8435379e3957eaabaff7a16286b291e5bd761a42bfb5,verified_species_dataset,weighted_median_selected_reviewed_linked_pairs
D. ocoee,3,3,1,50,265.2912,39.384,259.8768,275.328,259.8768,277.2864,4.851258,38.1744,41.5728,38.0592,41.7888,1.031959,28.98968,medium,auto_dominant,5,45,0.14978750000000002,230.52960000000002,False,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/species_estimates_verified.csv,a5dc977182b11cf1419e8435379e3957eaabaff7a16286b291e5bd761a42bfb5,verified_species_dataset,weighted_median_selected_reviewed_linked_pairs
D. perlapsus,3,3,1,50,244.6704,35.4096,236.2608,266.7024,236.1312,267.8256,10.692499,34.3296,38.7072,33.5232,40.4496,1.8591,31.640852,medium,auto_dominant,6,44,0.1433005,221.9976,False,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/species_estimates_verified.csv,a5dc977182b11cf1419e8435379e3957eaabaff7a16286b291e5bd761a42bfb5,verified_species_dataset,weighted_median_selected_reviewed_linked_pairs
D. tilleyi,2,2,2,50,249.264,39.456,240.3216,262.6992,243.4464,255.1968,3.162996,37.7424,42.9552,38.376,41.5296,0.984839,42.108077,medium,auto_dominant,7,43,0.1585835,208.98719999999997,False,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/species_estimates_verified.csv,a5dc977182b11cf1419e8435379e3957eaabaff7a16286b291e5bd761a42bfb5,verified_species_dataset,weighted_median_selected_reviewed_linked_pairs
D. valtos,2,2,1,50,280.872,48.7728,265.1616,294.408,264.1248,301.7952,10.000108,47.2608,51.9984,47.664,50.5152,0.733003,49.896071,medium,auto_dominant,8,42,0.17735250000000002,229.176,False,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/species_estimates_verified.csv,a5dc977182b11cf1419e8435379e3957eaabaff7a16286b291e5bd761a42bfb5,verified_species_dataset,weighted_median_selected_reviewed_linked_pairs
D. welteri,2,2,1,50,280.9008,46.728,264.6576,293.6592,268.2288,290.808,6.908923,42.8112,49.5648,42.2928,51.3648,2.54948,44.389538,medium,auto_dominant,9,41,0.160534,232.3872,False,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/species_estimates_verified.csv,a5dc977182b11cf1419e8435379e3957eaabaff7a16286b291e5bd761a42bfb5,verified_species_dataset,weighted_median_selected_reviewed_linked_pairs
