species,n_selected_pairs,n_selected_images,n_selected_specimens,effective_n,support_label,support_warnings,estimated_genome_pg_estimate,estimated_genome_pg_q1,estimated_genome_pg_q3,estimated_genome_pg_weighted_mean,estimated_genome_pg_weighted_trimmed_mean,estimated_genome_pg_weighted_geometric_mean,estimated_genome_pg_ci_low,estimated_genome_pg_ci_high,estimated_genome_pg_bootstrap_sd,subset_name,pct_shift_vs_all_selected
D. kanawha,9,1,1,8.971256,low,low_pair_count; low_image_count; low_specimen_count; auto_dominant,13.478141,12.804391,14.856638,13.910141,13.869056,13.852274,11.923813,15.242064,0.917016,high_iod_qc,-17.623637
D. kanawha,45,1,1,44.757491,limited,low_image_count; low_specimen_count; auto_dominant,13.250501,12.777268,14.609127,13.461166,13.479058,13.402411,12.739098,14.271624,0.386206,image_qc_pass,-19.01494
D. marmoratus,50,2,2,47.666062,medium,auto_dominant,17.891595,16.907544,18.645433,17.864849,17.831035,17.815687,15.872772,21.416353,1.688238,all_selected,
D. marmoratus,11,1,1,10.954486,low,low_pair_count; low_image_count; low_specimen_count; auto_dominant,16.11175,15.499648,16.841738,16.126535,16.140664,16.107297,14.461885,16.947887,0.74609,high_iod_qc,-9.94794
D. marmoratus,20,1,1,19.884163,limited,low_pair_count; low_image_count; low_specimen_count; auto_dominant,15.868875,15.083956,16.762482,16.005433,15.966324,15.970087,15.183639,16.841738,0.427191,image_qc_pass,-11.30542
D. mavrokoilius,50,2,2,45.710904,medium,auto_dominant,14.859402,13.778666,16.347019,14.965915,15.050832,14.82966,12.312278,19.24896,1.748384,all_selected,
D. mavrokoilius,14,2,2,6.705421,low,low_pair_count; auto_dominant,13.166136,12.570969,14.52733,13.097914,13.286301,13.02024,11.668269,14.935136,0.939529,high_iod_qc,-11.39525
D. mavrokoilius,50,2,2,45.710904,medium,auto_dominant,13.016767,12.070047,14.319913,13.110072,13.184459,12.990713,11.429624,14.963963,0.961354,image_qc_pass,-12.400463
D. monticola,50,2,2,32.603005,medium,auto_dominant,16.202877,15.366771,16.764068,15.99908,16.079607,15.912047,14.35838,19.380158,1.548984,all_selected,
D. monticola,21,1,1,20.74163,limited,low_pair_count; low_image_count; low_specimen_count; auto_dominant,14.632565,13.228023,14.923621,14.169339,14.233209,14.119173,12.881751,15.178224,0.698196,high_iod_qc,-9.69156
D. monticola,40,1,1,39.395951,limited,low_image_count; low_specimen_count; auto_dominant,14.1026,13.024956,14.383115,13.784489,13.809651,13.724218,13.182961,14.6824,0.397796,image_qc_pass,-12.962366
D. ochrophaeus,50,2,2,24.195603,medium,,12.74789,11.887323,13.718123,12.805132,12.811501,12.768577,11.261151,15.624737,1.285275,all_selected,
D. ocoee,50,3,3,28.98968,medium,auto_dominant,16.704642,16.108168,17.620287,16.783896,16.792051,16.740921,14.701072,20.46141,1.634682,all_selected,
D. ocoee,9,1,1,8.994759,low,low_pair_count; low_image_count; low_specimen_count; auto_dominant,15.458774,14.901291,16.204415,15.565864,15.495116,15.546957,13.831255,16.496093,0.813682,high_iod_qc,-7.458218
D. ocoee,12,1,1,11.993149,low,low_pair_count; low_image_count; low_specimen_count; auto_dominant,14.898885,14.361593,15.617521,15.059094,15.018499,15.044159,14.161925,15.988662,0.482433,image_qc_pass,-10.809912
D. perlapsus,50,3,3,31.640852,medium,auto_dominant,13.703187,12.905983,14.835239,13.909387,13.770967,13.810289,11.844426,17.245068,1.464155,all_selected,
D. perlapsus,13,1,1,12.984173,low,low_pair_count; low_image_count; low_specimen_count; auto_dominant,10.991993,10.823771,12.073501,11.309953,11.377339,11.275808,10.099076,12.35097,0.700618,high_iod_qc,-19.785133
