panel,species,n_selected_pairs,n_selected_images,n_selected_specimens,effective_n,weighted_median_nuc_iod,nuc_iod_q1,nuc_iod_q3,estimated_genome_pg,estimated_genome_pg_q1,estimated_genome_pg_q3,reference_species,reference_genome_pg,reference_weighted_median_nuc_iod,reference_scale_pg_per_iod,iod_ratio_to_reference,median_clarity_signal,median_shape_signal,support_label,support_warnings
balanced_qc_only,D. fuscus,100,8,4,96.694296,738.334404,657.705687,901.350942,16.360000,14.573430,19.972117,D. fuscus,16.360000,738.334404,0.022158,1.000000,0.670785,0.545334,medium,
balanced_qc_only,D. gvnigeusgwotli,100,1,1,100.000000,894.813386,822.942521,949.841821,19.827258,18.234745,21.046577,D. fuscus,16.360000,738.334404,0.022158,1.211935,0.647709,0.577644,low,low_image_count; low_specimen_count
balanced_qc_only,D. intermedius,100,2,2,100.000000,1037.152774,961.835666,1129.539635,22.981212,21.312337,25.028318,D. fuscus,16.360000,738.334404,0.022158,1.404720,0.697307,0.585405,medium,
balanced_qc_only,D. kanawha,100,2,2,100.000000,941.359144,868.563200,1037.916748,20.858618,19.245607,22.998140,D. fuscus,16.360000,738.334404,0.022158,1.274977,0.771041,0.535336,medium,
balanced_qc_only,D. marmoratus,100,4,2,42.240000,771.137813,682.488659,1017.808066,17.086857,15.122571,22.552572,D. fuscus,16.360000,738.334404,0.022158,1.044429,0.642287,0.541113,medium,
balanced_qc_only,D. mavrokoilius,100,3,2,58.597403,736.646324,675.946324,862.067851,16.322596,14.977606,19.101683,D. fuscus,16.360000,738.334404,0.022158,0.997714,0.725482,0.574391,medium,
balanced_qc_only,D. monticola,100,4,2,99.919936,819.295713,637.914524,944.635230,18.153939,14.134898,20.931210,D. fuscus,16.360000,738.334404,0.022158,1.109654,0.632613,0.508829,medium,
balanced_qc_only,D. ochrophaeus,65,2,2,31.015385,758.447782,719.207005,800.895713,16.805672,15.936175,17.746232,D. fuscus,16.360000,738.334404,0.022158,1.027242,0.520000,0.508974,medium,
balanced_qc_only,D. ocoee,100,3,3,99.980198,953.727653,889.926053,1008.512258,21.132680,19.718965,22.346596,D. fuscus,16.360000,738.334404,0.022158,1.291729,0.804743,0.592699,medium,
balanced_qc_only,D. perlapsus,100,3,3,99.980198,830.888080,762.335145,917.983053,18.410803,16.891808,20.340651,D. fuscus,16.360000,738.334404,0.022158,1.125355,0.718626,0.539792,medium,
balanced_qc_only,D. tilleyi,100,2,2,100.000000,914.948254,854.048738,986.282368,20.273406,18.923996,21.854026,D. fuscus,16.360000,738.334404,0.022158,1.239206,0.739018,0.579135,medium,
balanced_qc_only,D. valtos,100,2,2,100.000000,1240.555357,1175.974950,1312.118012,27.488203,26.057231,29.073887,D. fuscus,16.360000,738.334404,0.022158,1.680208,0.792039,0.593432,medium,
balanced_qc_only,D. welteri,100,4,2,59.307536,751.490912,692.774401,849.321315,16.651522,15.350482,18.819246,D. fuscus,16.360000,738.334404,0.022158,1.017819,0.719884,0.522002,medium,
current_top50_all_selected,D. amphileucus,50,2,2,36.480000,1021.196105,952.536374,1058.866367,17.491533,16.315496,18.136767,D. fuscus,16.360000,955.134616,0.017128,1.069165,0.478615,0.618104,medium,size_darkness_selected_top50
current_top50_all_selected,D. anicetus,50,1,1,50.000000,871.067102,825.852922,908.916288,14.920052,14.145602,15.568350,D. fuscus,16.360000,955.134616,0.017128,0.911984,0.468873,0.548851,low,low_image_count; low_specimen_count; size_darkness_selected_top50
current_top50_all_selected,D. apalachicolae,50,2,2,47.120000,891.738877,833.630295,966.809161,15.274128,14.278816,16.559967,D. fuscus,16.360000,955.134616,0.017128,0.933626,0.498652,0.617416,medium,size_darkness_selected_top50
current_top50_all_selected,D. auriculatus,50,2,2,7.680000,1041.965095,968.242568,1092.340331,17.847274,16.584519,18.710125,D. fuscus,16.360000,955.134616,0.017128,1.090909,0.421262,0.650828,limited,size_darkness_selected_top50
current_top50_all_selected,D. bairdi,50,1,1,50.000000,1085.385052,1042.840659,1154.826546,18.590991,17.862271,19.780418,D. fuscus,16.360000,955.134616,0.017128,1.136369,0.447476,0.597838,low,low_image_count; low_specimen_count; size_darkness_selected_top50
current_top50_all_selected,D. brimleyorum,50,2,2,42.000000,994.189684,948.217228,1068.731864,17.028954,16.241516,18.305748,D. fuscus,16.360000,955.134616,0.017128,1.040890,0.503767,0.592772,medium,size_darkness_selected_top50
current_top50_all_selected,D. campi,50,2,2,49.280000,852.691081,785.138189,894.887360,14.605298,13.448220,15.328056,D. fuscus,16.360000,955.134616,0.017128,0.892744,0.487774,0.608121,medium,size_darkness_selected_top50
current_top50_all_selected,D. folkertsi,50,2,2,47.120000,919.338162,855.407620,971.758017,15.746861,14.651829,16.644734,D. fuscus,16.360000,955.134616,0.017128,0.962522,0.508333,0.617722,medium,size_darkness_selected_top50
current_top50_all_selected,D. fuscus,50,4,4,10.093714,955.134616,810.470694,1055.101915,16.360000,13.882128,18.072287,D. fuscus,16.360000,955.134616,0.017128,1.000000,0.470590,0.644057,limited,size_darkness_selected_top50
current_top50_all_selected,D. gvnigeusgwotli,50,1,1,50.000000,913.688262,836.210315,968.359210,15.650087,14.323008,16.586517,D. fuscus,16.360000,955.134616,0.017128,0.956607,0.476378,0.573578,low,low_image_count; low_specimen_count; size_darkness_selected_top50
current_top50_all_selected,D. intermedius,50,2,2,49.680000,1085.363392,1002.940044,1158.937238,18.590620,17.178834,19.850828,D. fuscus,16.360000,955.134616,0.017128,1.136346,0.443048,0.646761,medium,size_darkness_selected_top50
current_top50_all_selected,D. kanawha,50,2,2,18.000000,955.231554,883.103816,1011.131437,16.361660,15.126222,17.319140,D. fuscus,16.360000,955.134616,0.017128,1.000101,0.434519,0.625182,limited,size_darkness_selected_top50
current_top50_all_selected,D. marmoratus,50,2,2,48.000000,1047.146633,987.101515,1088.563488,17.936026,16.907544,18.645433,D. fuscus,16.360000,955.134616,0.017128,1.096334,0.407261,0.646675,medium,size_darkness_selected_top50
