panel,species,n_selected_pairs,n_selected_images,n_selected_specimens,effective_n,weighted_median_nuc_iod,nuc_iod_q1,nuc_iod_q3,estimated_genome_pg,estimated_genome_pg_q1,estimated_genome_pg_q3,reference_species,reference_genome_pg,reference_weighted_median_nuc_iod,reference_scale_pg_per_iod,iod_ratio_to_reference,median_clarity_signal,median_shape_signal,support_label,support_warnings
balanced_qc_curated,D. fuscus,50,8,4,49.777778,716.701163,656.699314,889.882815,16.360000,14.990349,20.313184,D. fuscus,16.360000,716.701163,0.022827,1.000000,0.669208,0.560928,medium,
balanced_qc_curated,D. gvnigeusgwotli,50,1,1,50.000000,894.813386,822.581786,944.627308,20.425734,18.776917,21.562826,D. fuscus,16.360000,716.701163,0.022827,1.248517,0.698406,0.608434,low,low_image_count; low_specimen_count
balanced_qc_curated,D. intermedius,50,2,2,50.000000,1015.297941,962.063932,1124.639300,23.176011,21.960849,25.671926,D. fuscus,16.360000,716.701163,0.022827,1.416627,0.725760,0.581645,medium,
balanced_qc_curated,D. kanawha,50,2,2,50.000000,983.809009,868.645624,1047.694786,22.457220,19.828407,23.915528,D. fuscus,16.360000,716.701163,0.022827,1.372691,0.789564,0.557256,medium,
balanced_qc_curated,D. marmoratus,50,4,2,36.480000,835.573754,682.488659,1043.522851,19.073482,15.579038,23.820296,D. fuscus,16.360000,716.701163,0.022827,1.165861,0.706948,0.498338,medium,
balanced_qc_curated,D. mavrokoilius,50,3,2,40.615385,746.837214,675.946324,862.067851,17.047910,15.429697,19.678258,D. fuscus,16.360000,716.701163,0.022827,1.042048,0.747534,0.632610,medium,
balanced_qc_curated,D. monticola,50,4,2,49.920000,819.295713,665.008254,927.285741,18.701906,15.180016,21.166974,D. fuscus,16.360000,716.701163,0.022827,1.143148,0.680421,0.521627,medium,
balanced_qc_curated,D. ochrophaeus,50,2,2,18.000000,786.770460,726.475800,800.895713,17.959458,16.583124,18.281893,D. fuscus,16.360000,716.701163,0.022827,1.097766,0.560577,0.510256,limited,
balanced_qc_curated,D. ocoee,50,3,3,49.959184,948.659169,882.030437,1001.647179,21.654861,20.133940,22.864408,D. fuscus,16.360000,716.701163,0.022827,1.323647,0.842743,0.598528,medium,
balanced_qc_curated,D. perlapsus,50,3,3,49.959184,817.595448,774.534520,914.293785,18.663094,17.680151,20.870409,D. fuscus,16.360000,716.701163,0.022827,1.140776,0.755721,0.557292,medium,
balanced_qc_curated,D. tilleyi,50,2,2,50.000000,947.429588,864.758550,1001.580564,21.626794,19.739678,22.862887,D. fuscus,16.360000,716.701163,0.022827,1.321931,0.828297,0.587056,medium,
balanced_qc_curated,D. valtos,50,2,2,50.000000,1268.313726,1188.303621,1316.495140,28.951554,27.125179,30.051382,D. fuscus,16.360000,716.701163,0.022827,1.769655,0.843322,0.625954,medium,
balanced_qc_curated,D. welteri,50,4,2,45.311203,747.645396,692.774401,854.629146,17.066358,15.813828,19.508456,D. fuscus,16.360000,716.701163,0.022827,1.043176,0.728576,0.547995,medium,
balanced_qc_only,D. amphileucus,50,3,2,44.865979,942.462995,791.533375,1047.664998,21.513422,18.068181,23.914848,D. fuscus,16.360000,716.701163,0.022827,1.315001,0.800112,0.559096,medium,
balanced_qc_only,D. anicetus,50,1,1,50.000000,870.299702,832.273047,923.962826,19.866164,18.998137,21.091122,D. fuscus,16.360000,716.701163,0.022827,1.214313,0.733606,0.567551,low,low_image_count; low_specimen_count
balanced_qc_only,D. apalachicolae,50,2,2,50.000000,881.408436,826.277470,940.763225,20.119741,18.861277,21.474622,D. fuscus,16.360000,716.701163,0.022827,1.229813,0.791278,0.566572,medium,
balanced_qc_only,D. auriculatus,50,4,2,48.354244,859.903510,734.720065,1047.742092,19.628853,16.771314,23.916608,D. fuscus,16.360000,716.701163,0.022827,1.199808,0.712279,0.581541,medium,
balanced_qc_only,D. bairdi,50,1,1,50.000000,1069.748318,1016.998612,1126.727695,24.418940,23.214832,25.719597,D. fuscus,16.360000,716.701163,0.022827,1.492600,0.772125,0.557025,low,low_image_count; low_specimen_count
balanced_qc_only,D. brimleyorum,50,2,2,50.000000,1036.361831,1002.108912,1145.173003,23.656833,22.874948,26.140645,D. fuscus,16.360000,716.701163,0.022827,1.446017,0.863412,0.598029,medium,
balanced_qc_only,D. campi,50,2,2,50.000000,838.180469,773.596976,867.621495,19.132985,17.658750,19.805029,D. fuscus,16.360000,716.701163,0.022827,1.169498,0.693773,0.611834,medium,
balanced_qc_only,D. folkertsi,50,2,2,50.000000,946.374396,896.787509,1013.659625,21.602707,20.470796,23.138614,D. fuscus,16.360000,716.701163,0.022827,1.320459,0.808746,0.620354,medium,
balanced_qc_only,D. fuscus,50,8,4,49.777778,716.701163,656.699314,889.882815,16.360000,14.990349,20.313184,D. fuscus,16.360000,716.701163,0.022827,1.000000,0.669208,0.560928,medium,
balanced_qc_only,D. gvnigeusgwotli,50,1,1,50.000000,894.813386,822.581786,944.627308,20.425734,18.776917,21.562826,D. fuscus,16.360000,716.701163,0.022827,1.248517,0.698406,0.608434,low,low_image_count; low_specimen_count
balanced_qc_only,D. intermedius,50,2,2,50.000000,1022.339952,968.369403,1129.539635,23.336758,22.104783,25.783785,D. fuscus,16.360000,716.701163,0.022827,1.426452,0.780916,0.582873,medium,
balanced_qc_only,D. kanawha,50,2,2,50.000000,941.359144,853.007177,1037.916748,21.488225,19.471431,23.692327,D. fuscus,16.360000,716.701163,0.022827,1.313461,0.804044,0.551020,medium,
balanced_qc_only,D. marmoratus,50,4,2,36.480000,835.573754,682.488659,1043.522851,19.073482,15.579038,23.820296,D. fuscus,16.360000,716.701163,0.022827,1.165861,0.706948,0.498338,medium,
balanced_qc_only,D. mavrokoilius,50,3,2,40.615385,746.837214,675.946324,862.067851,17.047910,15.429697,19.678258,D. fuscus,16.360000,716.701163,0.022827,1.042048,0.747534,0.632610,medium,
balanced_qc_only,D. monticola,50,4,2,49.920000,819.295713,665.008254,927.285741,18.701906,15.180016,21.166974,D. fuscus,16.360000,716.701163,0.022827,1.143148,0.680421,0.521627,medium,
balanced_qc_only,D. ochrophaeus,50,2,2,18.000000,786.770460,726.475800,800.895713,17.959458,16.583124,18.281893,D. fuscus,16.360000,716.701163,0.022827,1.097766,0.560577,0.510256,limited,
balanced_qc_only,D. ocoee,50,3,3,49.959184,948.659169,882.030437,1001.647179,21.654861,20.133940,22.864408,D. fuscus,16.360000,716.701163,0.022827,1.323647,0.842743,0.598528,medium,
balanced_qc_only,D. perlapsus,50,3,3,49.959184,817.595448,774.534520,914.293785,18.663094,17.680151,20.870409,D. fuscus,16.360000,716.701163,0.022827,1.140776,0.755721,0.557292,medium,
balanced_qc_only,D. tilleyi,50,2,2,50.000000,947.429588,864.758550,1001.580564,21.626794,19.739678,22.862887,D. fuscus,16.360000,716.701163,0.022827,1.321931,0.828297,0.587056,medium,
balanced_qc_only,D. valtos,50,2,2,50.000000,1266.031921,1188.297914,1316.495140,28.899468,27.125049,30.051382,D. fuscus,16.360000,716.701163,0.022827,1.766471,0.851521,0.617844,medium,
balanced_qc_only,D. welteri,50,4,2,45.311203,747.645396,692.774401,854.629146,17.066358,15.813828,19.508456,D. fuscus,16.360000,716.701163,0.022827,1.043176,0.728576,0.547995,medium,
current_top50_all_selected,D. amphileucus,50,2,2,36.480000,1021.196105,952.536374,1058.866367,17.491533,16.315496,18.136767,D. fuscus,16.360000,955.134616,0.017128,1.069165,0.478615,0.618104,medium,size_darkness_selected_top50
current_top50_all_selected,D. anicetus,50,1,1,50.000000,871.067102,825.852922,908.916288,14.920052,14.145602,15.568350,D. fuscus,16.360000,955.134616,0.017128,0.911984,0.468873,0.548851,low,low_image_count; low_specimen_count; size_darkness_selected_top50
current_top50_all_selected,D. apalachicolae,50,2,2,47.120000,891.738877,833.630295,966.809161,15.274128,14.278816,16.559967,D. fuscus,16.360000,955.134616,0.017128,0.933626,0.498652,0.617416,medium,size_darkness_selected_top50
current_top50_all_selected,D. auriculatus,50,2,2,7.680000,1041.965095,968.242568,1092.340331,17.847274,16.584519,18.710125,D. fuscus,16.360000,955.134616,0.017128,1.090909,0.421262,0.650828,limited,size_darkness_selected_top50
current_top50_all_selected,D. bairdi,50,1,1,50.000000,1085.385052,1042.840659,1154.826546,18.590991,17.862271,19.780418,D. fuscus,16.360000,955.134616,0.017128,1.136369,0.447476,0.597838,low,low_image_count; low_specimen_count; size_darkness_selected_top50
current_top50_all_selected,D. brimleyorum,50,2,2,42.000000,994.189684,948.217228,1068.731864,17.028954,16.241516,18.305748,D. fuscus,16.360000,955.134616,0.017128,1.040890,0.503767,0.592772,medium,size_darkness_selected_top50
current_top50_all_selected,D. campi,50,2,2,49.280000,852.691081,785.138189,894.887360,14.605298,13.448220,15.328056,D. fuscus,16.360000,955.134616,0.017128,0.892744,0.487774,0.608121,medium,size_darkness_selected_top50
current_top50_all_selected,D. folkertsi,50,2,2,47.120000,919.338162,855.407620,971.758017,15.746861,14.651829,16.644734,D. fuscus,16.360000,955.134616,0.017128,0.962522,0.508333,0.617722,medium,size_darkness_selected_top50
